REWARD_ID,SCORE_TYPE,EXP_SCORE,REWARD_TYPE,REWARD_VALUE,REWARD_QTY
1,1,1000,3,0,10000
2,1,2500,100,2001,5
3,1,5000,3,0,30000
4,1,10000,100,2001,10
5,1,20000,3,0,50000
6,1,30000,100,2001,20
7,2,30000,3,0,50000
8,2,50000,3,0,100000
9,2,100000,3,0,150000
10,2,150000,3,0,200000
11,2,200000,3,0,250000
12,2,300000,3,0,300000
13,2,400000,3,0,400000
14,2,500000,3,0,500000
15,2,600000,3,0,600000
16,2,700000,3,0,700000
17,2,800000,3,0,800000
18,3,100000,3,0,20000
19,3,300000,100,2001,10
20,3,500000,3,0,50000
21,3,1000000,100,2001,20
22,3,1300000,3,0,100000
23,3,1500000,100,2001,40
24,3,2000000,3,0,200000
25,3,2500000,100,2001,80
26,3,3000000,3,0,300000
27,3,4000000,100,2001,100
