ALLIANCE_LEVEL,EXP,MAX_POINT,MEMBER
1,60000,0,30
2,150000,0,30
3,270000,0,30
4,420000,0,30
5,636000,0,30
6,912000,0,30
7,1248000,0,30
8,1644000,0,30
9,2100000,0,30
10,2652000,0,30
11,3294000,0,30
12,4026000,0,30
13,4848000,0,30
14,5760000,0,30
15,6798000,0,30
16,7956000,0,30
17,9234000,0,30
18,10632000,0,30
19,12150000,0,30
20,13824000,0,30
21,15648000,0,31
22,17622000,0,32
23,19896000,0,33
24,22530000,0,34
25,25584000,0,35
26,29178000,0,36
27,33432000,0,37
28,38466000,0,38
29,44460000,0,39
30,51594000,0,40
