RETURN_GROUP_ID,RETURN_DAYS,REWARD_ID,RETURN_REWARD_TYPE,REWARD_TYPE,REWARD_VALUE,REWARD_QTY,REWARD_RESET,BUY_USER,ICON,HIGHLIGHT
1,0,1,1,307,2106,1,1,0,0,0
1,0,2,1,307,2155,1,1,0,0,0
1,0,3,1,307,2155,1,1,0,0,0
1,0,4,1,307,2155,1,1,0,0,0
1,0,5,1,307,2163,1,1,0,0,0
1,0,6,1,307,2163,1,1,0,0,0
1,0,7,1,307,2163,1,1,0,0,0
1,0,8,2,500,50051,1,1,0,shop_booster_hero02,0
1,0,9,2,500,50052,1,1,0,shop_booster_rate_item,0
1,0,10,2,500,50053,1,1,0,shop_booster_gold02,0
2,0,1,1,307,2106,1,1,0,0,0
2,0,2,1,307,2160,1,1,0,0,0
2,0,3,1,307,2160,1,1,0,0,0
2,0,4,1,307,2162,1,1,0,0,0
2,0,5,1,307,2162,1,1,0,0,0
2,0,6,1,100,1070001,1000,1,0,0,0
2,0,7,1,100,1020005,1000,1,0,0,0
2,0,8,2,500,50053,1,1,0,shop_booster_gold02,0
2,0,9,2,500,50052,1,1,0,shop_booster_rate_item,0
2,0,10,2,500,50054,1,1,0,shop_booster_rate_item,0
3,0,1,1,307,2205,1,1,0,0,0
3,0,2,1,100,1070001,1000,1,0,0,0
3,0,3,1,100,1020005,1000,1,0,0,0
3,0,4,1,307,2258,1,1,0,0,0
3,0,5,1,100,1140001,300,1,0,0,0
3,0,6,1,100,1140002,500,1,0,0,0
3,0,7,1,100,1140003,500,1,0,0,0
3,0,8,2,500,50053,1,1,0,shop_booster_gold02,0
3,0,9,2,500,50052,1,1,0,shop_booster_rate_item,0
3,0,10,2,500,50054,1,1,0,shop_booster_rate_item,0
