ATTR_CONVERT_MATERIAL_ID,ATTR_CONVERT_PRICE,ATTR_CONVERT_RESULT_TYPE,ATTR_CONVERT_RESULT_ID,ATTR_CONVERT_RESULT_QTY
1160101,30000,100,1150001,2
1160102,40000,100,1150001,3
1160103,50000,100,1150001,4
1160104,60000,100,1150001,6
1160105,75000,100,1150001,8
1160106,100000,100,1150001,10
1160201,30000,100,1150001,2
1160202,40000,100,1150001,3
1160203,50000,100,1150001,4
1160204,60000,100,1150001,6
1160205,75000,100,1150001,8
1160206,100000,100,1150001,10
1160301,30000,100,1150001,2
1160302,40000,100,1150001,3
1160303,50000,100,1150001,4
1160304,60000,100,1150001,6
1160305,75000,100,1150001,8
1160306,100000,100,1150001,10
1160401,30000,100,1150001,2
1160402,40000,100,1150001,3
1160403,50000,100,1150001,4
1160404,60000,100,1150001,6
1160405,75000,100,1150001,8
1160406,100000,100,1150001,10
