TYPE	TEXT
1	للصبللصبً ॣ ॣh ॣ ॣ
1	ابن الخول
1	ابن الزب
1	ابن العلق
1	ابن القحبة
1	ابن الكس
1	ابن الكلب
1	ابن اللبوة
1	ابن المتناك
1	ابن المتناكة
1	ابن المخنث
1	ابن المعرّص
1	ابن الوسخة
1	الله يحرقك
1	أحا
1	أحيه
1	أهبل
1	بزاز
1	بضان
1	بنت الخول
1	بنت الزب
1	بنت الشرموطة
1	بنت العلق
1	بنت القحبة
1	بنت الكلب
1	بنت اللبوة
1	بنت المتناكة
1	بنت المخنث
1	بنت المعرّص
1	بنت الوسخة
1	بيضان
1	تأخذ في طيزك
1	تيس
1	ثكلتك امك
1	حرامي
1	حرامية
1	حصان
1	خرة
1	خريانة
1	خسيس
1	خول
1	زب
1	زبر
1	زفت
1	زي الزفت
1	سافل
1	سحقًا
1	شاذ
1	شخة
1	شراميط
1	شرمطة
1	شرموط
1	شرموطة
1	طز
1	طز فيك
1	طيز
1	طيز أمك
1	طيزها
1	عبيط
1	عربيد
1	عرص
1	علق
1	علوق
1	فشخ
1	قحبة
1	قذر
1	كذاب
1	كس
1	كس أمك
1	كسه
1	كسها
1	كلوت
1	لبزة
1	لبوة
1	لعين
1	متانيك
1	متناكة
1	مخنث
1	مص بزاز
1	معرّص
1	معفن
1	منتاك
1	منحط
1	ناك
1	نصاب
1	هجمي
1	واطي
1	وسخ
1	وسخة
1	يخرب بيت أمك
1	يخرب بيتك
1	ينيك
1	卐
1	卍卍
1	卍卐
1	卐卐
1	卐卍
