TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	adolf
0	binladen
0	chink
0	hitler
0	holocaust
0	kike
0	kkk
0	nazi
0	nigga
0	nigger
0	osama
0	pedo
0	penis
0	proudboy
0	pussy
0	racist
0	shit
0	skinhead
0	slut
0	swastika
0	vagina
0	whore
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	fag
1	kike
1	nigger
1	penis
1	proudboy
1	shit
1	slut
1	whore
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	$ex
2	$hit
2	(.y.)
2	@$$
2	@nal
2	@nalhole
2	2girls1cup
2	5h1t
2	5hit
2	a$$
2	a$$whipe
2	a$$wipe
2	a_s_s
2	a55
2	adultery
2	adultsexshop
2	adultsonly
2	adultvideo
2	adultzone
2	afric00n
2	africoon
2	aftercum
2	ahegao
2	ahole
2	aidsbearer
2	alphanigg
2	americ00n
2	analcumdrip
2	analdoctor
2	analpunisher
2	angeladevi
2	angeldust
2	anolinctus
2	antichrist
2	anus
2	aperape
2	arschloch
2	arsehole
2	aryan
2	ash0le
2	ash0les
2	asholes
2	asiacarrera
2	ass
2	assbandit
2	assbasher
2	assface
2	assfukka
2	assh0le
2	assh0lez
2	asshat
2	asshole
2	assholes
2	assholz
2	asshunter
2	asskiss
2	asslick
2	assman
2	assmaster
2	asspound
2	assram
2	assrammer
2	assrape
2	asswhole
2	asswipe
2	aurorasnow
2	autist
2	autistic
2	azzhole
2	b!+ch
2	b!nl@den
2	b!tch
2	b00b
2	b00bs
2	b17ch
2	b1tch
2	ballsack
2	bassterds
2	bastardz
2	basterds
2	basterdz
2	bdsm
2	be@n b@nd!t
2	be@n b@ndit
2	beaner
2	beanlicker
2	beastiality
2	beavereater
2	bestiality
2	bi+ch
2	bi7ch
2	biach
2	biatch
2	bigfatasscow
2	bigtits
2	bigtitties
2	bimbo
2	binya
2	biotch
2	bitch
2	bitcher
2	bitchers
2	bitches
2	bitchface
2	bitchfaces
2	bitchin
2	bitching
2	blackanese
2	blackenstein
2	blackie
2	blaxican
2	bloodyhell
2	blowjob
2	blueball
2	bollock
2	bollocks
2	bollok
2	boner
2	boners
2	boob
2	boobies
2	boobs
2	boofer
2	booobs
2	boooobs
2	booooobs
2	booooooobs
2	bootylicious
2	bugger
2	bukake
2	bukakke
2	bukkake
2	bullshirt
2	bumsnudel
2	burnthe
2	burntheblks
2	burnthejews
2	bustanut
2	bustydusty
2	butplugg
2	buttbang
2	buttboy
2	buttertruff
2	buttfloss
2	butthead
2	butthhead
2	butthole
2	buttlick
2	buttman
2	buttmonkey
2	buttmuch
2	buttmunch
2	buttmuncher
2	buttnugget
2	buttocks
2	buttpirate
2	butt-pirate
2	buttplug
2	buttplugs
2	buttslam
2	buttstain
2	buttwipe
2	c()()n
2	c00n
2	c0ck
2	c0cks
2	c0cksucker
2	c0k
2	cabron
2	callgirl
2	cameljockey
2	cameltoe
2	candyandes
2	cannabis
2	carpetmuncher
2	carporno
2	carsex
2	caucazoid
2	cawk
2	cawks
2	cazzo
2	ch!ngch0ng
2	ch!nk
2	cherry boy
2	cherry_boy
2	cherryboy
2	chigger
2	chinaman
2	chinawhite
2	ching chang chong
2	ching chong
2	chingchong
2	chinky
2	choad
2	chokeoncocks
2	christilake
2	chugger
2	chugmonster
2	chupa
2	chuppa
2	circlejerk
2	circumcise
2	cl1t
2	clirotis
2	clit
2	clitoris
2	clits
2	clowjob
2	cnts
2	cntz
2	cnut
2	cocaina
2	cocaine
2	coccaine
2	cock
2	cockface
2	cockhead
2	cock-head
2	cockmunch
2	cockmuncher
2	cocks
2	cocksuck
2	cocksucked
2	cocksucker
2	cock-sucker
2	cocksucking
2	cocksucks
2	cocksuka
2	cocksukka
2	cocostarfish
2	coitus
2	cojones
2	cokmuncher
2	coksucka
2	condom
2	coochie
2	coon
2	cootch
2	cooter
2	cooze
2	coprophagy
2	copulate
2	cornhole
2	cornholes
2	cosex
2	cracka
2	crackdealer
2	cracker
2	crackerass
2	crackhead
2	crackpipe
2	cracksmoker
2	creamer
2	creamtits
2	creem
2	crystalmeth
2	cullons
2	cum
2	cumboy
2	cumbubble
2	cumbucket
2	cumcatcher
2	cumdump
2	cumdumpster
2	cumeater
2	cumguz
2	cummer
2	cumming
2	cumonmyface
2	cums
2	cumshooter
2	cumshot
2	cumslot
2	cumstain
2	cumtaster
2	cunilingus
2	cunillingus
2	cunnilingus
2	cunninlingus
2	cunnnnt
2	cunnnt
2	cunnter
2	cunny
2	cyberfuc
2	d!ck
2	d!cksucker
2	d1ck
2	d4mn
2	dammit
2	damoimsex
2	dank
2	dankhoe
2	danknugg
2	darkwanker
