TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	(.)(.)
0	(.)y(.)
0	@!@
0	8=====3
0	8=====d
0	8====3
0	8====d
0	8===3
0	8===d
0	8==d
0	8==m==3
0	8==m=3
0	8=d
0	8=m==3
0	bastarda
0	bastardo
0	biatch
0	bitch
0	bollera
0	boluda
0	boludo
0	boyera
0	bukake
0	bukkake
0	cabrón
0	chingada
0	chocho
0	chumino
0	coña
0	coño
0	dick
0	droga
0	drogo
0	drogue
0	etarra
0	falopa
0	falopera
0	falopero
0	farlopa
0	farlopera
0	farlopero
0	fascista
0	folla
0	follar
0	fornica
0	fulana
0	furcia
0	gayola
0	gigolo
0	gilipollas
0	guarra
0	hachis
0	hachís
0	heroína
0	hinchahuevos
0	hinchapelotas
0	hitler
0	homosexual
0	hostia
0	huevada
0	huevon
0	huevón
0	idiota
0	jilipollas
0	jilipoyas
0	jilipuertas
0	joda
0	joder
0	jodo
0	joto
0	l.s.d
0	lameconchas
0	lameculo
0	lefa
0	lerda
0	lerdo
0	lsd
0	m.d.m.a
0	malcogida
0	malcogido
0	malfollada
0	malparida
0	malparido
0	mamada
0	mamar
0	mamarracha
0	mamarracho
0	mames
0	mamon
0	maricón
0	mariguana
0	marihuana
0	marijuana
0	marika
0	marikita
0	marikon
0	mariposón
0	mariquita
0	masturba
0	mdma
0	mierda
0	mojon
0	motherfucker
0	negrera
0	negrero 
0	nigga
0	nigger
0	orgasmo
0	pedofilo
0	pedrasta
0	penis
0	perra
0	polla
0	porn
0	prostituta
0	prostituto
0	pussy
0	puta
0	puteo
0	putera
0	puterío
0	putero
0	putiferio
0	putita
0	putito
0	puto
0	ramera
0	shit
0	skinhead
0	slut
0	subnormal
0	sudaca
0	sudaka
0	tarada
0	tarado
0	terrorista
0	testículo
0	teta
0	tetona
0	tijeritas
0	tirapedos
0	tocacojones
0	tocahuevos
0	tocapelotas
0	tonta
0	tonto
0	tontodelculo
0	tontolava
0	tortillera
0	toto
0	tragaleche
0	tragapollas
0	tragasables
0	tranca
0	trincarse
0	tripi
0	trola
0	vagina
0	verga
0	viola
0	viole
0	violo
0	vulva
0	zoofilia
0	zoofilo
0	zoófilo
0	zorra
0	zorrear
0	zorrita
0	zorrón
0	zurullo
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	(.)(.)
1	(.)y(.)
1	@!@
1	8=====3
1	8=====d
1	8====3
1	8====d
1	8===3
1	8===d
1	8==d
1	8==m==3
1	8==m=3
1	8=d
1	8=m==3
1	bastarda
1	bastardo
1	biatch
1	bitch
1	bollera
1	boluda
1	boludo
1	boyera
1	bukake
1	bukkake
1	cabrón
1	chingada
1	chocho
1	chumino
1	coño
1	dick
1	droga
1	drogo
1	drogue
1	etarra
1	falopa
1	falopera
1	falopero
1	farlopa
1	farlopera
1	farlopero
1	fascista
1	folla
1	follar
1	fornica
1	fulana
1	furcia
1	gayola
1	gigolo
1	gilipollas
1	guarra
1	hachis
1	hachís
1	heroína
1	hinchahuevos
1	hinchapelotas
1	hitler
1	homosexual
1	hostia
1	huevada
1	huevon
1	huevón
1	idiota
1	jilipollas
1	jilipoyas
1	jilipuertas
1	joda
1	joder
1	jodo
1	joto
1	l.s.d
1	lameconchas
1	lameculo
1	lerda
1	lerdo
1	lsd
1	m.d.m.a
1	malcogida
1	malcogido
1	malfollada
1	malparida
1	malparido
1	mamada
1	mamar
1	mamarracha
1	mamarracho
1	mames
1	mamon
1	maricón
1	mariguana
1	marihuana
1	marijuana
1	marika
1	mariposón
1	mariquita
1	masturba
1	mdma
1	mierda
1	mojon
1	motherfucker
1	negrera
1	negrero 
1	nigga
1	nigger
1	orgasmo
1	pedofilo
1	pedrasta
1	penis
1	porn
1	prostituta
1	prostituto
1	pussy
1	puteo
1	putera
1	puterío
1	putero
1	putiferio
1	putita
1	putito
1	puto
1	ramera
1	sexo
1	shit
1	skinhead
1	slut
1	subnormal
1	sudaca
1	sudaka
1	tarada
1	tarado
1	terrorista
1	testículo
1	teta
1	tetona
1	tijeritas
1	tirapedos
1	tocacojones
1	tocahuevos
1	tocapelotas
1	tonta
1	tonto
1	tontodelculo
1	tontolava
1	tortillera
1	toto
1	tragaleche
1	tragapollas
1	tragasables
1	tranca
1	trincarse
1	tripi
1	vagina
1	verga
1	vulva
1	zoofilia
1	zoofilo
1	zoófilo
1	zorra
1	zorrear
1	zorrita
1	zorrón
1	zurullo
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	anal
2	anfetamina
2	ano
2	anormal
2	anus
2	asaltacunas
2	autista
2	awebao
2	babosa
2	baboso
2	baturro
2	besugo
2	borracha
2	borracho
