TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	$hit
0	$lut
0	$uck
0	(.)(.)
0	(.)y(.)
0	@!@
0	@nal
0	2mer
0	8=====3
0	8=====d
0	8====3
0	8====d
0	8===3
0	8===d
0	8==d
0	8==m==3
0	8==m=3
0	8=d
0	8=m==3
0	admin
0	adolf hitler
0	asshole
0	attardé
0	batard
0	bitch
0	blowjob
0	boob
0	cacaboudin
0	chier
0	chieur
0	chieuse
0	chink
0	clito
0	cocaine
0	connard
0	connasse
0	couille
0	couillon
0	drogue
0	ecstasy
0	emerdeur
0	encul
0	enflure
0	enfoiré
0	fascite
0	gangbang
0	genocide
0	génocide
0	godemiché
0	gogol
0	gouine
0	groslard
0	hashish
0	heroine
0	l.s.d
0	lds
0	lesbo
0	levrette
0	loumni
0	m.d.m.a
0	mangemerde
0	marijuana
0	masochist
0	masturb
0	masturber
0	mdma
0	meinkampf
0	merde
0	motherfucker
0	negre
0	negro
0	négro
0	nenette
0	nigger
0	orgasm
0	osama
0	pétasse
0	pipi
0	pisse
0	porn
0	pussy
0	putain
0	pute
0	sacamerde
0	salop
0	shit
0	slut
0	sodomi
0	sodomy
0	sucebite
0	swastika
0	terrorist
0	zezette
0	zizi
0	zob
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	$hit
1	$lut
1	$uck
1	(.)(.)
1	(.)y(.)
1	@!@
1	@nal
1	2mer
1	8=====3
1	8=====d
1	8====3
1	8====d
1	8===3
1	8===d
1	8==d
1	8==m==3
1	8==m=3
1	8=d
1	adolf hitler
1	biatch
1	bitch
1	chier
1	clito
1	cocaine
1	connard
1	connasse
1	couille
1	ecstasy
1	emmerdeur
1	fdp
1	godemiché
1	gouine
1	groslard
1	heroine
1	l.s.d
1	lesbo
1	levrette
1	lopette
1	loumni 
1	lsd
1	m.d.m.a
1	masturb
1	mdma
1	merde
1	motherfucker
1	negre
1	nègre
1	negro
1	pédé
1	pédophile
1	penis
1	pétasse
1	porn
1	putain
1	shit
1	tafiole
1	tantouse
1	vagin
1	zeub
1	zizi
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	( . y . )
2	(.)(.)
2	(.)y(.)
2	(.y.)
2	@$$
2	@nal
2	@nalhole
2	5h1t
2	5hit
2	8=====3
2	8=====d
2	8====3
2	8====d
2	8===3
2	8===d
2	8==d
2	8==m==3
2	8==m=3
2	8=d
2	8=m==3
2	a$$
2	a_s_s
2	a55
2	abruti
2	aftercum
2	aids
2	aller vous faire enculer
2	aller vous faire foutre
2	aller vous faire mettre
2	aller*vous*faire*enculer
2	aller*vous*faire*foutre
2	aller*vous*faire*mettre
2	aller_vous_faire_enculer
2	aller_vous_faire_foutre
2	aller_vous_faire_mettre
2	aller-vous-faire-enculer
2	aller-vous-faire-foutre
2	aller-vous-faire-mettre
2	allez vous faire enculer
2	allez vous faire foutre
2	allez vous faire mettre
2	allez*vous*faire*enculer
2	allez*vous*faire*foutre
2	allez*vous*faire*mettre
2	allez_vous_faire_enculer
2	allez_vous_faire_foutre
2	allez_vous_faire_mettre
2	allezvousfaireenculé
2	allezvousfaireenculer
2	allez-vous-faire-enculer
2	allezvousfairefoutre
2	allez-vous-faire-foutre
2	allez-vous-faire-mettre
2	alphanigg
2	americunt
2	anabook
2	anal
2	analcumdrip
2	anale
2	anales
2	andicapé
2	andicapée
2	andicapés
2	angrybird
2	animalsvsmutants
2	antichrist
2	anulingus
2	anus
2	arsehole
2	aryan
2	ash0le
2	ash0les
2	asholes
2	ass
2	asses
2	assface
2	assfucker
2	ass-fucker
2	assh0le
2	assh0lez
2	asskiss
2	asslick
2	assrape
2	asswhole
2	atardé
2	avale mon foutre
2	avale mon sperme
2	avale*mon*foutre
2	avale*mon*sperme
2	avale_mon_foutre
2	avale_mon_sperme
2	avale-mon-foutre
2	avale-mon-sperme
2	avorton
2	azzhole
2	b!nl@den
2	b*tard
2	b..e
2	b.te
2	b_tard
2	b_te
2	b00b*
2	b17ch
2	b1tch
2	baisable
2	baise
2	baisé
2	baisée
2	baiser
2	baiseur
2	baiseuse
2	baltringue
2	bander
2	bastardz
2	basterds
2	basterdz
2	batar
2	bâtar
2	bâtard
2	batart
2	bâtart
2	bdsm
2	beauf
2	bédave
2	bédo
2	benladen
2	bi+ch
2	bi7ch
2	biatch
2	bico
2	bicot
2	bicots
2	bigtits
2	bigtitties
2	biloute
2	bimbo
2	binladen
2	biroute
2	bistouquette
2	bitcher
2	bitchers
2	bitches
2	bitching
2	bite
2	bitembois
2	bitte
2	bl*wj*b
2	bl*wjob
2	blaireau
2	blondasse
2	blowj*b
2	boche
2	booob
2	bordel
