TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	agenkupon
0	agenvoucher
0	allah
0	anakTuhan
0	bacod
0	bgst
0	biarawan
0	biarawati
0	biji
0	bijilu
0	bijimeledak
0	bispak
0	budha
0	cheat
0	cheatmaster
0	cibailah
0	cibailu
0	cocotbau
0	codjing
0	dick
0	etet
0	ewe
0	galer
0	habib
0	hindu
0	islam
0	itilbau
0	jembudkuda
0	jembutgondrong
0	jesus
0	jokilevel
0	kontol
0	kontolbotak
0	kristen
0	kulitpeler
0	kuple
0	lacur
0	lovengentots
0	mamakkaulonte
0	memekbasah
0	memekkeset
0	motherfucker
0	muhammad
0	mukakntol
0	ngehekabis
0	ngewe
0	ntodlah
0	ntodtetek
0	ntodyuk
0	palakontl
0	palapeler
0	palkon
0	pantat
0	pantatburik
0	pantatsemok
0	parlonte
0	pascol
0	pastur
0	pelerketekuk
0	pendeta
0	penis
0	pentilkuda
0	pepekkau
0	puki
0	pukijem
0	pukimai
0	tantegirang
0	teroris
0	tete
0	tetekkendor
0	tilji
0	todjing
0	todlah
0	unclefucker
0	ustad
0	voucher
0	yesus
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	$#!+
1	allah
1	bacod
1	bgst
1	biji
1	bijilu
1	bijimeledak
1	bispak
1	cibailah
1	cibailu
1	clit
1	cocotbau
1	codjing
1	entod
1	etet
1	ewe
1	galer
1	itilbau
1	jembudkuda
1	jembutgondrong
1	jesus
1	kimak
1	Klit
1	kontolbotak
1	kulitpeler
1	kuple
1	mamakkaulonte
1	memekbasah
1	memekkeset
1	motherfucker
1	mukakntol
1	ngehekabis
1	ngentots
1	ngewe
1	ntodlah
1	ntodtetek
1	ntodyuk
1	palakontl
1	palapeler
1	palkon
1	pantatburik
1	pantatsemok
1	parlonte
1	pascol
1	pelerketekuk
1	penis
1	pentilkuda
1	pepekkau
1	puki
1	pukijem
1	pukimai
1	tahi
1	tetekkendor
1	tilji
1	yesus
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	$#!+@$$
2	$#!+b@g
2	$#!+b@gg3r
2	$#!+brains
2	$#!+breath
2	$#!+canned
2	$#!+cunt
2	$#!+dick
2	$#!+face
2	$#!+faced
2	$#!+head
2	$#!+hole
2	$#!+house
2	$#!+lest
2	$#!+spitter
2	$#!+stain
2	$#!+ter
2	$#!+ting
2	$#!+ty
2	$h!z
2	$h!zn!t
2	$hit
2	$kullfuck
2	$lu+
2	$lu+b@g
2	$lut
2	$lutb@g
2	$m3g
2	$p!c
2	$p!ck
2	$uck
2	( . ) ( . )
2	( . ) y ( . )
2	( . )y( . )
2	(.) y (.)
2	(.)(.)
2	(.)y(.)
2	,,|,
2	..|.
2	@$$
2	@$$ jab3r
2	@$$ l!ck
2	@$$ munch
2	@$$ nigger
2	@$$ suck3r
2	@$$b@g
2	@$$bag
2	@$$face
2	@$$munch
2	@$$munch3r
2	@$$suck3r
2	@nus
2	@s$
2	@ss
2	@ss bandit
2	@ss banger
2	@ss lick
2	@ss monker
2	@ss sh!t
2	@ss sucker
2	@ssbag
2	@ssbandit
2	@ssbanger
2	@ssc0ck
2	@ssccr@cker
2	@sscracker
2	@ssface
2	@ssfuck
2	@ssh0le
2	@ssh3ad
2	@sshead
2	@sshole
2	@ss-j@bber
2	@ss-jabber
2	@ssjacker
2	@ss-jacker
2	@ssl!cker
2	@sslick
2	@sslicker
2	@ss-licker
2	@ssm0nker
2	@ssmonkey
2	@ssmunch
2	@ssmunch3r
2	@ssmuncher
2	@ssnigger
2	@ssshit
2	@sssucker
2	|@vd@
2	|@vdu
2	|@vdy@
2	|und
2	+!t
2	+!tfuck
2	+!ts
2	+!ttyfuck
2	+@rd
2	+w@t
2	+w@tlips
2	+w@ts
2	+w@tw@ffle
2	13r
2	15l4m
2	15lam
2	1er
2	1sl4m
2	1slam
2	1und
2	4jj
2	4jj1
2	4kkasi
2	4ll4h
2	4llah
2	4nj1ng
2	4nj1nk
2	4njenk
2	4njing
2	4njink
2	4ssh0i3
2	4ssh0ie
2	4ssh0l3
2	4ssh0le
2	4sshoi3
2	4sshoie
2	4sshol3
2	4sshole
2	4ssl1ck
2	4sslick
2	7uh4n
2	7uhan
2	8==========d
2	8=========d
2	8========d
2	8=======d
2	8======d
2	8=====d
2	8====d
2	8===d
2	8==d
2	8=d
2	8udh4
2	8udha
2	a n j i n g
2	a n j i n k
2	a n u s
2	a s s
2	a s s b a g
2	a s s h o l e
2	a$$
2	a$$h0le
2	a$$hole
2	a$s
2	a$scock
2	a$scracker
2	a$sface
2	a$sfuck
2	aaulad
2	ahole
2	aidmk
2	amcik
2	an jink
