TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	(.)(.)
0	(.)y(.)
0	8=====3
0	8=====d
0	8====3
0	8====d
0	8===3
0	8===d
0	8==d
0	8==m==3
0	8==m=3
0	8=d
0	8=m==3
0	americunt
0	amfetamine
0	anticristo
0	bagascia
0	bastarda
0	bastarde
0	bastardi
0	bastardo
0	bastardogesù
0	bdsm
0	benito 
0	biatch
0	bitch
0	bocchinaro
0	cazzo
0	ciula
0	clitoride
0	cocaina
0	cock
0	coglione
0	coglioni
0	cornuto
0	diobastardo
0	diocane
0	diomangiamerda
0	diomerda
0	dionecrofilo
0	diopedofilo
0	dioporcello
0	dioporcile
0	dioporco
0	dioscimmia
0	diosegaiolo
0	droga
0	ecstasy
0	eroina
0	faggot
0	fascista
0	frocio
0	gesùmangiamerda
0	gesùmerda
0	gesùnecrofilo
0	gesùpedofilo
0	gesùporcello
0	gesùporco
0	gesùsegaiolo
0	handicappato
0	hashish
0	Hitler
0	l.s.d
0	lsd
0	m.m.d.a
0	madonnabocchinara
0	madonnamaiale
0	madonnamangiamerda
0	madonnamerda
0	madonnanecrofila
0	madonnapedofila
0	madonnaporca
0	madonnaporcella
0	madonnaputtana
0	madonnazozza
0	marijuana
0	masturbatore
0	merda
0	mmda
0	nazista
0	negri
0	negro
0	nigga
0	nigger
0	pedofilo
0	penis
0	pompinaro
0	pompino
0	porn
0	prostituta
0	puttana
0	scopare
0	sesso
0	sessuale
0	shit
0	slut
0	stronza
0	stronzo
0	terrorist
0	tettona
0	trombare
0	trombata
0	vaffanculo
0	vagina
0	vergine
0	whore
0	zoccola
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	(.)(.)
1	(.)y(.)
1	8=====3
1	8=====d
1	8====3
1	8====d
1	8===3
1	8===d
1	8==d
1	8==m==3
1	8==m=3
1	8=d
1	8=m==3
1	americunt
1	amfetamine
1	anticristo
1	arsehole
1	aryan
1	assface
1	asshole
1	assrape
1	bagascia
1	bastarda
1	bastarde
1	bastardi
1	bastardo
1	bastardogesù
1	bdsm
1	benito 
1	biatch
1	bitch
1	bocchinaro
1	bocchino
1	bukkake
1	cappella
1	cazzo
1	ciula
1	clitoride
1	cocaina
1	cock
1	coglione
1	coglioni
1	cornuto
1	diobastardo
1	diocane
1	diomangiamerda
1	diomerda
1	dionecrofilo
1	diopedofilo
1	dioporcello
1	dioporcile
1	dioporco
1	dioscimmia
1	diosegaiolo
1	droga
1	ecstasy
1	faggot
1	fascista
1	frocio
1	gesùmangiamerda
1	gesùmerda
1	gesùnecrofilo
1	gesùporcello
1	gesùporco
1	gesùsegaiolo
1	handicappato
1	hashish
1	hitler
1	l.s.d
1	leccaculo
1	lsd
1	m.m.d.a
1	madonnabocchinara
1	madonnamaiala
1	madonnamangiamerda
1	madonnamerda
1	madonnanecrofila
1	madonnapedofila
1	madonnaporca
1	madonnaporcella
1	madonnazozza
1	marijuana
1	masturbatore
1	merda
1	mmda
1	nazista
1	negri
1	negro
1	nigga
1	nigger
1	pedofilo
1	penis
1	pompinaro
1	pompino
1	porcodio
1	porn
1	prostituta
1	puttana
1	sborra
1	scopare
1	sesso
1	sessuale
1	shit
1	slut
1	stronza
1	stronzo
1	terrorist
1	tettona
1	troia
1	trombare
1	trombata
1	vaffanculo
1	vagina
1	whore
1	zoccola
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	admin
2	aids
2	anale
2	ano
2	anul
2	anus
2	arrapare
2	arrapate
2	arrazzare
2	arrusa
2	arrusi
2	aryan
2	ass
2	asses
2	assman
2	bagasce
2	bagiana
2	baldracca
2	bast#rd
2	bast4rd
2	bastard
2	basterds
2	basterdz
2	battere
2	battona
2	beci
2	belini
2	belino
2	bi+ch
2	bi7ch
2	bigtits
2	bigtitties
2	binladen
2	bl0wj0b
2	bl0wjob
2	blowj0b
2	blowjob
2	bo0b
2	bocch1n
2	bocchinara
2	bocchinari
2	bocchini
2	bocchino
2	bofilo
2	boiata
2	bondage
2	bordello
2	brinca
2	bucodelc#lo
2	bucodelculo
2	budiùlo
2	buk4k
2	bukake
2	bukakke
2	bukk4k
2	bukkake
2	busone
2	butthead
2	butthole
2	buttplug
2	c#ga
2	c#glion
2	c#ne
2	c#nt
2	c#zz
2	c.a.z.z.o
2	c.h.e.c.c.a
2	c.u.l.0
2	c@cca
2	c@g@
2	c@ga
2	c@ppella
2	cacare
2	cacca
2	cacche
2	caciocappella
2	caga
2	cagna
2	cappella
2	castrare
2	castrazione
2	cazz1
2	cazza
2	cazzi
2	c-a-z-z-o
2	cazzu
2	cheapwhore
2	checca
2	c-h-e-c-c-a
2	chiappa
