TYPE	TEXT
0	넷마블
0	netmarble
0	$hit
0	$lut
0	$uck
0	(.)(.)
0	(.)y(.)
0	.co
0	.com
0	.net
0	@!@
0	@$$
0	@nal
0	@nalhole
0	@nus
0	@s$
0	@ss
0	@sshole
0	@yahoo
0	\ 
0	\\
0	⊙6◐
0	○
0	○⑥○
0	◎6◎
0	☎060
0	00xx
0	0⑥0
0	0rgasim
0	0rgasims
0	0rgasm
0	2girls1cup
0	8=====d
0	8====d
0	8===d
0	8==d
0	8=d
0	abuse
0	admin
0	adolf
0	adult
0	adultsexshop
0	adultvideo
0	adultzone
0	aeja
0	aemchang
0	anal
0	angrybird
0	animalsvsmutants
0	annal
0	anul
0	anus
0	aol.com
0	arabozi
0	asahinet.jp
0	asiangirl
0	asshole
0	auone.jp
0	auone-net.jp
0	avm
0	avsm
0	awoodong
0	bagayaro
0	baka
0	bakayaro
0	bangsungi
0	bbaga
0	bbagayaro
0	bbagoori
0	bbagury
0	bbaka
0	bbakayaro
0	bbakdaegari
0	bbakyu
0	bbaltong
0	bbeokyu
0	beheading
0	beollae
0	binladen
0	bitch
0	bluehole
0	blueholesquall
0	blueholestudio
0	bochu
0	bogy
0	bojunggae
0	bojunkkae
0	ⓑⓞⓩⓘ
0	bozicam
0	bulal
0	bullae
0	bunsec
0	bunsek
0	byeongshin
0	byeongshinddakari
0	byeongshinsaekki
0	byeontae
0	byeontaesaekki
0	byungddak
0	byungshin
0	byungshinddakari
0	byungshinsakki
0	byuntae
0	byuntaesex
0	c.vodafone
0	c2joy
0	c818
0	c8c8
0	callgirl
0	candycrush
0	carporno
0	carsex
0	ccipal
0	ccival
0	cg.to
0	changnhyu
0	changnom
0	channeyo
0	cherrybugs
0	choda
0	choppari
0	cibal
0	cipal
0	cival
0	cje&m
0	cjｲﾝﾀｰﾈｯﾄ
0	cjインターネット
0	clashofclans
0	clitoris
0	clubero
0	comesek
0	commufa.jp
0	comsek
0	condom
0	cosex
0	cosex.net
0	cunnilingus
0	cunt
0	d.vodafone
0	dabang
0	dakcheo
0	dakcho
0	dakchuhra
0	dakdaegari
0	dakkwang
0	damn
0	damoimsex
0	ddakkari
0	ddalddali
0	ddolchu
0	ddorai
0	dduk
0	dick
0	dijeo
0	dijillae
0	dijinda
0	dildo
0	dion.ne.jp
0	disney.ne.jp
0	docomo
0	docomo.ne.jp
0	doldaegari
0	doumi
0	dragonstriker
0	dupe
0	dwmail.jp
0	economicanimal
0	ecstasy
0	emnet.ne.jp
0	eonet.ne.jp
0	ero2030
0	ero69
0	eroasia
0	erocine
0	erosasia
0	erosian
0	erostyle
0	ezweb
0	ezweb.ne.jp
0	ezweb.ne.jp 
0	ezшeь
0	ezшeь 
0	fag
0	fantadream
0	feallatio
0	fellatio
0	fetish
0	fetish7
0	fetishwoman
0	frd_id
0	fuck
0	fuk
0	gaedaeji
0	gaejiral
0	gaejot
0	gaenari
0	gaesaeggi
0	gaesaekki
0	gaeshibal
0	gaeshibalnyeon
0	gaesori
0	gaesship
0	gagasexy
0	galbo
0	gamemaster
0	gangbang
0	gangshaq
0	gannasaekki
0	gejiral
0	geseki
0	ggondae
0	ggujo
0	gmail
0	gmail.com
0	gocinepia
0	goja
0	gojasex
0	grid
0	guid
0	gulae
0	gスポット
0	gｽﾎﾟｯﾄ
0	h.vodafone
0	hardcore
0	hardcoreporno
0	hentai
0	heojup
0	hitler
0	hogu
0	holocaust
0	homo
0	horo
0	horojabnyeon
0	horosaekki
0	hostmaster
0	hotmail
0	http
0	hujup
0	hulejasik
0	i.softbank.jp
0	ido.ne.jp
0	ijsex
0	ilbe
0	ilbechung
0	ilovesex
0	infoseek.jp
0	islandmonkey
0	iwanyong
0	jaji
0	jamji
0	jangaein
0	japanmonkey
0	japenis
0	japjong
0	japnom
0	jasal
0	ja지
0	jc
0	jenjang
0	jfantasy
0	jgirls
0	jjajung
0	jjindda
0	jjokbali
0	jjok-bali
0	jjokbari
0	jjok-bari
0	jjtv
0	jk
0	jokbali
0	jokbari
0	jokkah
0	jonggannasaekki
0	jonna
0	josenjing
0	josenzing
0	jotbab
0	jotdegari
0	jotgannasaekki
0	jotgatunnom
0	jotgatunnyeon
0	jotgatunsaekki
0	jotgga
0	jotmang
0	jotna
0	joungyang
0	js
0	junglemanstrke
0	jungyang
0	k.vodafone
0	kgirlmolca
0	kgirls
0	kingsex
0	kiss.cg.to
0	kmovie
0	knightschronicle
0	kobej.zzn
0	kochu
0	krtv
0	ksex
0	kuso
0	kusoyaro
0	lesbien
0	live.jp
0	live10tv
0	live69tv
0	livedoor
0	m_star
0	magic_cat_story
0	magiccatstory
0	mail
0	mail.goo
0	manabozi
0	manager
0	mangnani
0	manko
0	marketing
0	master
0	masturbation
0	meatpuppet
