TYPE	TEXT
0	니m창
0	니M창
0	좆
0	빵즈
0	빵쯔
0	니그로
0	똥남아
0	양키
0	짱개
0	튀기
0	chink
0	조센징
0	족바리
0	짱깨
0	쪽바리
0	쪽발이
0	쪽빠리
0	등1신
0	등sin
0	병1신
0	병sin
0	병xin
0	븅1신
0	빙1신
0	시1발
0	시1벌
0	시볼
0	씨1발
0	씹1새
0	미친넌
0	미친뇸
0	미친뇽
0	미친눔
0	미친늠
0	너애미
0	뉘애미
0	느그애미
0	느그애비
0	느애비
0	니할애미
0	미췬넘
0	미췬년
0	미췬놈
0	미췬뇬
0	미췬세끼
0	미칀넘
0	미칀년
0	미칀놈
0	미칀뇬
0	미칀새끼
0	미친넘
0	미친년
0	미친놈
0	미친뇬
0	미친새끼
0	밑힌년
0	썩을년
0	썩을놈
0	아가리
0	아갈
0	아갈빡
0	아갈이
0	아갈창
0	아갈콩
0	아갈통
0	아갈팍
0	아구지
0	아구창
0	간나
0	너거애비
0	너그아비
0	너그애비
0	너아비
0	너애비
0	느개비
0	느애미
0	니아비
0	니애비
0	니할애비
0	아구통
0	존나
0	10넘
0	10놈
0	10발넘
0	10발년
0	10발놈
0	10발눔
0	10밸넘
0	10밸놈
0	10밸늠
0	10버지
0	10새끼
0	10새리
0	10쎄끼
0	10쎈치
0	10알
0	10앨넘
0	10앨놈
0	10앨늠
0	10창
0	10챵
0	10탱
0	10탱아
0	10팔
0	10팔년
0	10팔놈
0	10팔연
0	10할년
0	10할연
0	18냔
0	18넘
0	18년
0	18놈
0	18눔
0	18늠
0	18새끼
0	18세끼
0	18쇠끼
0	18쉑끼
0	18쎄리
0	18쒜끼
0	18쒜리
0	18쒝끼
0	18씨끼
0	2C8
0	2C팔
0	개가뜬
0	개가턴
0	개가툰
0	개가튼
0	개가튼년
0	개가튼뇬
0	개같
0	개같은
0	개같은넘
0	개같은년
0	개같은놈
0	개같은뇬
0	개같은새뀌
0	개객기
0	개꼬치
0	개나발
0	개너마
0	개너므
0	개너므새귀
0	개너므새뀌
0	개너미
0	개넌
0	개넘새뀌
0	개넘쉐뤼
0	개넘쉬끼
0	개노마
0	개놈아
0	개농아
0	개뇨나
0	개뇬
0	개뇸
0	개뇽
0	개눔
0	개느마
0	개늠
0	개늠쉑
0	개늠아
0	개늠의새뀌
0	개도라이
0	개때꺄
0	개때끼
0	개떼끼
0	개발남아
0	개발싸개
0	개병슌
0	개부럴
0	개불랄
0	개불알
0	개붕알
0	개새
0	개새꺄
0	개새뀌
0	개새끼
0	개새리
0	개새야
0	개새이
0	개새킹
0	개색
0	개색기
0	개색깅
0	개색꺄
0	개색뀌
0	개색끼
0	개색들
0	개색휘
0	개색히
0	개샊
0	개샛기
0	개샛끼
0	개샛키
0	개샛킹
0	개샛히
0	개샜끼
0	개생키
0	개샠
0	개샤끼
0	개샤킥
0	개샥
0	개샹늠
0	개샹련
0	개섀끼
0	개세
0	개세기
0	개세끼
0	개세리
0	개세야
0	개세이
0	개세키
0	개섹
0	개섹들
0	개섹히
0	개섺
0	개셃
0	개셋키
0	개셐
0	개셰리
0	개셰이
0	개솩
0	개쇄
0	개쇄기
0	개쇄끼
0	개쇅
0	개쇅갸
0	개쇅기
0	개쇅꺄
0	개쇅끼
0	개쇅캬
0	개쇅키
0	개쇗
0	개쇗기
0	개쇠리
0	개쇸
0	개수작
0	개쉐
0	개쉐뀌
0	개쉐끼
0	개쉐리
0	개쉐이
0	개쉐키
0	개쉑
0	개쉑갸
0	개쉑기
0	개쉑꺄
0	개쉑끼
0	개쉑아
0	개쉑이
0	개쉑캬
0	개쉑키
0	개쉑히
0	개쉢
0	개쉨
0	개쉬
0	개쉬끼
0	개쉬리
0	개쉻
0	개쉽
0	개쉽새에끼
0	개스끼
0	개스래기
0	개스레기
0	개스키
0	개습세
0	개습쌔
0	개싀기
0	개싀끼
0	개싀밸
0	개싀킈
0	개싀키
0	개싏
0	개싑창
0	개싘
0	개시끼
0	개시퀴
0	개시키
0	개식끼
0	개식히
0	개십
0	개십새
0	개십팔
0	개싯기
0	개싯끼
0	개싯키
0	개싴
0	개쌍눔
0	개쌍늠
0	개쌍연
0	개쌍영
0	개쌔
0	개쌔꺄
0	개쌔끼
0	개쌕
0	개쌕끼
0	개쌕들
0	개쌰깨
0	개썅
0	개썅넘
0	개썅년
0	개썅놈
0	개썅늠
0	개썅연
0	개쎄
0	개쎅
0	개쎅들
0	개쎼키
0	개쐐리
0	개쒜
0	개쒜끼
0	개쒜리
0	개쒝
0	개쒝갸
0	개쒝기
0	개쒝꺄
0	개쒝끼
0	개쒝캬
0	개쒝키
0	개쒯
0	개쒸
0	개쒸빨놈
0	개쒹기
0	개쓉
0	개쓰
0	개쓰렉기
0	개씀
0	개씁
0	개씁년
0	개씁블
0	개씁쌔
0	개씁쎄
0	개씌끼
0	개씨끼
0	개씨발넘
0	개씨발뇸
0	개씨발자슥
0	개씨부럴
0	개씨블
0	개씨팔
0	개씨팕
0	개아이
0	개에가튼
0	개염창
0	개욘
0	개자
0	개자석
0	개자쉭
0	개자슥
0	개자싁
0	개자쒹
0	개자씩
0	개작두넘
0	개작두년
0	개작두놈
0	개잡
0	개잡것
0	개잡뇬
0	개잡지랄
0	개저가튼
0	개저엇
0	개젓
0	개젓가튼넘
0	개젖
0	개젗
0	개졋
0	개졎
0	개조또
0	개조옷
0	개족
0	개좆같은
0	개좆같은넘
0	개좇
0	개좌슥
0	개좌식
0	개좝
0	개지랄넘
0	개지랄놈
0	개지럴
0	개짜식
0	개짝
0	개쪼다
0	개창년
0	개팔
0	개평쉰
0	개허러
0	개허벌년
0	개호러
0	개호로
0	개호로년
0	개호로놈
0	개호로새끼
0	개후라
0	개후라년
0	개후라들놈
0	개후라새끼
0	개후랄
0	개후레
0	개후로
0	개후장
0	걔섀끼
0	걔잡넘
0	걔잡년
0	걔잡뇬
0	걔잡지랄
0	거러지
0	거렁뱅이
0	거지년
0	거지련
0	거지새끼
0	거지쉐뀌
0	거지쉑이
0	거지쎄끼
0	거지쒜리
0	게가튼
0	게같은
0	게너마
0	게넘
0	게년
0	게노마
0	게놈아
0	게뇨나
0	게뇬
0	게뇸
0	게뇽
0	게눔
0	게느마
0	게늠
0	게늠아
0	게띠발넘
0	게새
0	게새끼
0	게새리
0	게새이
0	게새키
0	게색
0	게색기
0	게색끼
0	게샛키
0	게세
0	게세꺄
0	게세끼
0	게섹
0	게섹놈아
0	게셋키
0	게쉐
0	게쉐리
0	게쉐이
0	게쉑
0	게쉑아
0	게쉑캬
0	게쉑키
0	게스끼
0	게스래기
0	게스키
0	게시끼
0	게시퀴
0	게싯끼
0	게쌔
0	게쌔기
0	게쌕
0	게쌕끼
0	게쎄
0	게쎅
0	게쒝
0	게쓰래기
0	게쓰레기
0	게씨발넘
0	게에가튼
0	게자쉭
0	게자슥
0	게자시
0	게자식
0	게잡넘
0	게잡년
0	게잡뇬
0	게저엇
0	게젓
0	게젓가튼넘
0	게좆
0	게지랄
0	게지랄놈
0	게팔
0	게호로년
0	게호로놈
0	게호로새끼
0	계뇬
0	계뇽
0	광뇨늬
0	궤놈
0	궤부럴
0	궤시끼
0	궤시키
0	궤쎅
0	그릉뱅이
0	그지년
0	그지새끼
0	그지새키
0	그지색
0	그지좃밥
0	그지좃빱
0	그지좆밥
0	기집년
0	까진년
0	깔다구
0	깔따구
0	깔보년
0	깨쉑
0	깨쌔꺄
0	깨쌔끼
0	깨쌔리
0	깨썌꺄
0	꺠썌끼
0	꺼어저
0	꺼어저라
0	꺼어져
0	꺼어져라
0	꺼져
0	꺼져상년
0	껄떡거
0	껄떡거리
0	껄떡녀
0	껄떡남
0	께세
0	꼬라바
0	꼬져
0	끄져
0	끄지라
0	나이뻐허벌년
0	내미랄
0	내미럴
0	내씨발
0	너두죽어봐
0	너뒤져볼래
0	넌좃밥
0	넌진짜주거써
0	넴병
0	년넘
0	년놈
0	년드
0	년들
0	년아
0	년의자식
0	놈년
0	놈아
0	놈의자식
0	놈팽
0	농아
0	뇬
0	누웠냐씨방새
0	눈까라
0	눈까리
0	눈깔
0	눈깔파고드러
0	눼기미
0	뉘귀미
0	뉘기미
0	뉘김이
0	뉘뮈
0	뉘미
0	뉘미랄
0	뉘미럴
0	뉘미롤
0	뉘미쉬벌
0	뉘밀얼
0	뉘밀할
0	뉘아비
0	뉘애비
0	뉘어미
0	뉘엄마
0	뉘에미
0	뉘이미
0	뉘잉기미
0	뉘집자식
0	뉘집자씩
0	뉘집짜식
0	뉭기랄
0	뉭기럴
0	뉭기리
0	뉭기미
0	늬귀미
0	늬긔미
0	늬기미
0	늬미
0	니귀미
0	니기리
0	니기뮈
0	니김이
0	니년
0	니마즐
0	니머럴
0	니뮈
0	니뮈랄
0	니뮈럴
0	니뮈쒸발
0	니믜
0	니믜창
0	니미
0	니미롤
0	니미룰
0	니미를
0	니밀할
0	니씨브랄
0	니에비
0	니이미
0	니임이
0	니조지다
0	니좆
0	니죠때
0	니죶데
0	니주가리
0	닉이미
0	닉임이
0	닐기랄년
0	님아즐
0	님이랄
0	님이럴
0	님이롤
0	닝기럴
0	닝기리
0	니OH미
0	닦쳐
0	닦쵸
0	대져
0	더어엉신
0	덜은새끼
0	데져
0	데져라
0	데진다
0	데질
0	데질래
0	도란년
0	도른
0	도른것
0	도른년
0	도른놈
0	도른뇸
0	돈년
0	돌은
0	돌은것
0	돌은년
0	돌은놈
0	돌은뇸
0	돌은새끼
0	돌흔
0	돼져
0	돼진다
0	되가리
0	되져라
0	되질
0	되질래
0	됻밥
0	둇같은
0	둥신
0	뒈져
0	뒈져라
0	뒈졌
0	뒈지
0	뒈질
0	뒈질래
0	뒤길넘
0	뒤길놈
0	뒤럴
0	뒤져라
0	뒤졌
0	뒤죠
0	뒤즬
0	뒤지
0	뒤지고
0	뒤질래
0	듀거
0	듀글래
0	듕시나
0	듕신
0	드러운넘
0	드러운년
0	드러운놈
0	드러운새리
0	드러운섀끼
0	드러운셰끼
0	드러운쉐리
0	드러운시끼
0	드런년
0	드런놈
0	드으응신
0	드응신
0	등띤
0	등쉬
0	등쉰
0	등신아
0	등씬
0	듸랄
0	듸뢀
0	듸발
0	듸져
0	듸즬
0	듸진다
0	듸질
0	딍싄
0	딍신
0	디랄
0	디럴
0	디뢀
0	디발
0	디발눔들아
0	디방쉐
0	디봘
0	디저
0	디져
0	디져라
0	디지겠
0	디진다
0	디질래
0	딩쉰
0	딩신
0	딩신아
0	때꺄
0	떠그럴
0	떠라이
0	떠라이세키
0	떨아이
0	또라이새리
0	똘른놈
0	똘봉년
0	씹또라이
0	개똘아이
0	씹똘아이
0	또라이년
0	또라이놈
0	또라이새
0	똘아이년
0	똘아이놈
0	똘아이새
0	똘추
0	똘츄
0	똥물
0	똥쳐먹다
0	뛰발
0	뛰봘
0	뜁새
0	뜨발
0	뜨벌
0	뜨블
0	뜽신
0	띄랄
0	띄발
0	띄밸
0	띄뱅
0	띄벨
0	띄불
0	띕때
0	띕새
0	띕알
0	띠뎅
0	띠랄
0	띠바
0	띠바랄
0	띠박
0	띠발
0	띠발넘
0	띠발년
0	띠발놈
0	띠발뇬
0	띠발섀끼
0	띠발세끼
0	띠발쉐끼
0	띠발스끼
0	띠발시끼
0	띠발아
0	띠발자식
0	띠방
0	띠방새
0	띠방세
0	띠방쉐
0	띠밸
0	띠버럴
0	띠벌
0	띠벙
0	띠벙세
0	띠벨
0	띠병
0	띠병할
0	띠볼
0	띠봉
0	띠봉세
0	띠봉알
0	띠부랄
0	띠부랄놈
0	띠부럴
0	띠부우울
0	띠부울
0	띠불
0	띠불넘
0	띠불년
0	띠불놈
0	띠붕
0	띠붕세
0	띠뷀
0	띠브랄
0	띠브럴
0	띠브울
0	띠블
0	띠블넘
0	띠이바
0	띠이바알
0	띠이발
0	띠이방
0	띠이밸
0	띠이버얼
0	띠이벌
0	띠이볼
0	띠이불
0	띠이붕
0	띠이이발
0	띠이이벌
0	띠이팔
0	띠이펄
0	띠이풀
0	띠파
0	띠팔
0	띠풀
0	띨방
0	띨벙
0	띨빡
0	띨빵
0	띱데
0	띱때
0	띱때끼
0	띱때루
0	띱새
0	띱세
0	띱쉐
0	띱쎄
0	띱쒜
0	띱할
0	띱헐
0	뤼미럴
0	리미랄
0	리미럴
0	리미썅
0	링기미
0	막간뇬
0	막간뇸
0	말자식
0	맛간년
0	맛간놈
0	맛간뇬
0	맛간뇸
0	맛간늠
0	맛간쉑
0	맛간쉨
0	멍청한넘
0	멍청한년
0	멍청한놈
0	목따
0	박큐
0	배갈라
0	배때지
0	뱅쉰
0	뱅싄
0	뱅시
0	뱅시인
0	뱅신
0	뱅신시키
0	뱅틴
0	버러지
0	벅쿠
0	벅큐
0	벙신
0	벨년
0	벨놈
0	벵쉰
0	벵싄
0	벵시
0	벵신
0	벵틴
0	벼언
0	벼엉시나
0	벼엉시이
0	벼엉신
0	벼잉신
0	볍신
0	볍진
0	병닥
0	병딘
0	병따
0	병딱
0	병딲
0	병띤
0	병순
0	병쉔
0	병쉬
0	병쉰
0	병슨
0	병싀
0	병싄
0	병싄아
0	병시
