TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	(.)(.)
0	(.)y(.)
0	@!@
0	8=====3
0	8=====d
0	8====3
0	8====d
0	8===3
0	8===d
0	8==d
0	8==m==3
0	8==m=3
0	8=d
0	8=m==3
0	baitola
0	boceta
0	boquete
0	bosta
0	bronha
0	buceta
0	cabaço
0	caralho
0	cheirador
0	cheiradora
0	cuzao
0	cuzão
0	cuzinho
0	escroto
0	esporrar
0	fascista
0	fdp
0	filhodaputa
0	foda
0	fuder
0	gigolo
0	malcomida
0	masoquista
0	maucomida
0	merda
0	nazista
0	net_marble
0	netmabok
0	netmarbl3
0	netmarbul
0	pederasta
0	pedofilia
0	pedofilo
0	pedófilo
0	penis
0	pepeca
0	pepeka
0	porra
0	punheta
0	puteiro
0	putero
0	siririca
0	terrorista
0	tetona
0	tetuda
0	tetudo
0	tomanocu
0	vagina
0	vtnc
0	xoxota
0	zoofilia
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	(.)(.)
1	(.)y(.)
1	@!@
1	8=====3
1	8=====d
1	8====3
1	8====d
1	8===3
1	8===d
1	8==d
1	8=d
1	8=m==3
1	atrepa
1	atrepá
1	atrepe
1	atrepo
1	baitola
1	bicha
1	boceta
1	boquete
1	bosta
1	brochad
1	bronha
1	buceta
1	bundao
1	bundão
1	cabaco
1	cabaço
1	caralho
1	corno
1	cuzinho
1	escroto
1	esporrar
1	fascista
1	fdp
1	filhodaputa
1	foda
1	fuder
1	gigolo
1	gigolô
1	goza
1	gozá
1	goze
1	malcomida
1	masoquista
1	masturba
1	masturbe
1	masturbo
1	maucomida
1	merda
1	meupau
1	motherfucker
1	nazista
1	pederasta
1	pedofilia
1	pedofilo
1	pedófilo
1	penis
1	pênis
1	picadura
1	pinto
1	pornô
1	pornografia
1	porra
1	puteiro
1	putero
1	sapatao
1	sapatão
1	terrorista
1	tetona
1	tetuda
1	tetudo
1	trepa
1	trepá
1	trepe
1	trepo
1	vagina
1	viado
1	zoofilia
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	açarfnes
2	alternadeira
2	anal
2	antegoza
2	antegozá
2	antegozada
2	antegozadamente
2	antegozadão
2	antegozadas
2	antegozadinha
2	antegozadinhas
2	antegozadinho
2	antegozadinhos
2	antegozado
2	antegozadões
2	antegozadona
2	antegozadonas
2	antegozador
2	antegozadora
2	antegozadoramente
2	antegozadoras
2	antegozadorazinha
2	antegozadorazinhas
2	antegozadores
2	antegozadorezinhos
2	antegozadorezões
2	antegozadorona
2	antegozadoronas
2	antegozadorzão
2	antegozadorzinho
2	antegozados
2	antegozai
2	antegozais
2	antegozam
2	antegozamo
2	antegozamos
2	antegozando
2	antegozante
2	antegozantes
2	antegozara
2	antegozará
2	antegozaram
2	antegozáramos
2	antegozarão
2	antegozaras
2	antegozarás
2	antegozardes
2	antegozarei
2	antegozareis
2	antegozáreis
2	antegozarem
2	antegozaremo
2	antegozaremos
2	antegozares
2	antegozaria
2	antegozariam
2	antegozaríamos
2	antegozarias
2	antegozaríeis
2	antegozarmo
2	antegozarmos
2	antegozas
2	antegozasse
2	antegozásseis
2	antegozassem
2	antegozássemos
2	antegozasses
2	antegozaste
2	antegozastes
2	antegozava
2	antegozavam
2	antegozávamos
2	antegozavas
2	antegozáveis
2	antegoze
2	antegozei
2	antegozeis
2	antegozem
2	antegozemo
2	antegozemos
2	antegozes
2	antegozo
2	antegozou
2	anus
2	ânus
2	aquecd
2	arrombado
2	atrepa
2	atrepá
2	atrepada
2	atrepadamente
2	atrepadão
2	atrepadas
2	atrepadinha
2	atrepadinhas
2	atrepadinho
2	atrepadinhos
2	atrepado
2	atrepadões
2	atrepadona
2	atrepadonas
2	atrepador
2	atrepadora
2	atrepadoramente
2	atrepadoras
2	atrepadorazinha
2	atrepadorazinhas
2	atrepadores
2	atrepadorezinhos
2	atrepadorezões
2	atrepadorona
2	atrepadoronas
2	atrepadorzão
2	atrepadorzinho
2	atrepados
2	atrepai
2	atrepais
2	atrepam
2	atrepamento
2	atrepamentos
2	atrepamo
2	atrepamos
2	atrepando
2	atrepar
2	atrepara
2	atrepará
2	atreparam
2	atrepáramos
2	atreparão
2	atreparas
2	atreparás
2	atrepardes
2	atreparei
2	atrepareis
2	atrepáreis
2	atreparem
2	atreparemo
2	atreparemos
2	atrepares
2	atreparia
2	atrepariam
2	atreparíamos
2	atreparias
2	atreparíeis
2	atreparmo
2	atreparmos
2	atrepas
2	atrepasse
2	atrepásseis
2	atrepassem
2	atrepássemos
2	atrepasses
2	atrepaste
2	atrepastes
2	atrepava
2	atrepavam
2	atrepávamos
2	atrepavas
2	atrepáveis
