TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	$hit
0	$lut
0	$uck
0	(.)(.)
0	(.)y(.)
0	@!@
0	@nal
0	@nus
0	@s$
0	@ss
0	8=====3
0	8=====d
0	8====3
0	8====d
0	8===3
0	8===d
0	8==d
0	8==m==3
0	8==m=3
0	8=d
0	8=m==3
0	bitch
0	dick
0	ＦＵＣＫ
0	fuk
0	mazafuck
0	motherfuck
0	nigga
0	nigger
0	penis
0	porn
0	shit
0	slut
0	vagina
0	whore
0	админ
0	бляд
0	блят
0	вагин
0	гoвн
0	гавн
0	гандон
0	гитлер
0	гондон
0	дерьм
0	ебал
0	ёбал
0	ебан
0	ёбан
0	ебат
0	ебет
0	ебёт
0	ебеш
0	ебёш
0	ебля
0	ёбля
0	ебок
0	ёбок
0	ебун
0	жопа
0	зад
0	манда
0	мастурб
0	наци
0	негр
0	нетмарбл
0	нигга
0	ниггер
0	нигер
0	оргазм
0	охуев
0	охуит
0	педераст
0	пенис
0	пидар
0	пидор
0	пизд
0	порн
0	расист
0	секс
0	сиськ
0	скинхед
0	сталин
0	трах
0	фашист
0	хуе
0	хуё
0	хуй
0	член
0	шалав
0	шлюх
0	экскремент
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	$hit
1	$lut
1	$uck
1	(.)(.)
1	(.)y(.)
1	@!@
1	@nal
1	@nus
1	@s$
1	@ss
1	8=====3
1	8=====d
1	8====3
1	8====d
1	8===3
1	8===d
1	8==d
1	8==m==3
1	8==m=3
1	8=d
1	8=m==3
1	bitch
1	dick
1	fag
1	ＦＵＣＫ
1	fuk
1	mazafuck
1	motherfuck
1	nigga
1	nigger
1	penis
1	porn
1	shit
1	slut
1	suck
1	vagina
1	whore
1	бляд
1	блят
1	вагин
1	гoвн
1	гавн
1	гандон
1	гитлер
1	гомик
1	гондон
1	дерьм
1	ебал
1	ёбал
1	ебан
1	ёбан
1	ебар
1	ебат
1	ебет
1	ебёт
1	ебеш
1	ебёш
1	ебля
1	ёбля
1	ебок
1	ёбок
1	ебун
1	жопа
1	задница
1	манда
1	мастурб
1	наци
1	негр
1	нигга
1	ниггер
1	нигер
1	оргазм
1	охуев
1	охуит
1	педераст
1	пенис
1	пидар
1	пидор
1	пизд
1	порн
1	проститут
1	расист
1	секс
1	сиськ
1	скинхед
1	сталин
1	террор
1	титьк
1	трах
1	фашист
1	хуе
1	хуё
1	хуй
1	шалав
1	шлюх
1	экскремент
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	achko
2	anal
2	ananist
2	anonist
2	anonjuga
2	anus
2	arhipizdrit
2	assenizator
2	bananojob
2	bezbljadskij
2	blevok
2	blevun
2	blja
2	bljad
2	bljad'
2	bljadiada
2	bljadina
2	bljadiwa
2	bljadjuga
2	bljadlivyj
2	bljadnyj
2	bljadogon
2	bljadohod
2	bljadomordyj
2	bljadovina
2	bljadovityj
2	bljadozhopyj
2	bljadskij
2	bljaduha
2	bljadun
2	bljadushka
2	bljadva
2	bljaha
2	bljat
2	bljat'
2	bljujuwij
2	blohojob
2	blyat
2	bobrojob
2	c.y.k.a
2	celka
2	celkodav
2	celkodavka
2	celochka
2	celochnica
2	celochnik
2	chernomazyj
2	chernozadyj
2	chernozhopyj
2	chlenistonogij
2	chlenoglot
2	chlenoglotka
2	chlenoglotskij
2	chlenogolovyj
2	chlenoliz
2	chlenolizka
2	chlenosos
2	chlenososka
2	chlenososyj
2	chlenovoz
2	chlenovozka
2	chlens
2	cyka
2	debilnyj
2	debil'nyj
2	djadejob
2	djadjajobka
2	dolbach
2	dolbajob
2	dolbobljad
2	dolbobljad'
2	dolbojob
2	dolbojobina
2	dolbojobka
2	dolbojobskij
2	dolbojobyj
2	dolboshljop
2	dolboshljopka
2	dolbozhop
2	doldon
2	drachina
2	drachun
2	dristun
2	drochawij
2	drochila
2	drochilka
2	drochilnik
2	drochil'nik
2	drochilnyj
2	drochil'nyj
2	drochilwik
2	drochil'wik
2	drochnik
2	drochnja
2	drochun
2	drochushok
2	duhopjor
2	duplojob
2	duplojobka
2	ebaka
2	ebakvak
2	ebalka
2	ebalnik
2	ebal'nik
2	ebanarot
2	ebanarotka
2	ebanashka
2	ebanat
2	ebanka
2	ebanko
2	eban'ko
2	ebantrop
2	ebantropka
2	ebanutyj
2	ebanyj
2	ebar
2	ebar'
2	ebashka
2	ebatel
2	ebatel'
2	ebatelnica
2	ebatel'nica
2	ebeldos
2	ebel'dos
2	ebicheskij
2	eblamud
2	eblan
2	eblanka
2	ebliha
2	eblivyj
2	ebloban
2	eblojd
2	eblonosik
2	eblososina
2	eblososka
2	eblotrjas
