TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	0rgasm
0	aids
0	analfuck
0	analsex
0	analwhore
0	analzone
0	animalsex
0	ass hole
0	bigcock
0	bigdick
0	biggay
0	blow job
0	blowjob
0	blowjobs
0	cocks
0	cumz
0	dad u die
0	dad you dead
0	damn
0	dick
0	f u c k
0	f u c k - y o u
0	f u c k you
0	f u ck
0	f uck
0	father dead
0	father die
0	father ming daed ror
0	father u dead
0	father u die
0	father you dead
0	father you died
0	father your dead
0	fatherdie
0	ｆｕｃｋ
0	f-u-c-k
0	fukhole
0	gadoor
0	gangbang
0	gaysex
0	headcock
0	hee ban
0	heehak
0	hitler
0	holy shit
0	i na hee
0	i nar hee
0	i ne hee
0	k u a y
0	kadoor
0	kador
0	kuy
0	mae yed
0	maeyet
0	mather you dead
0	mea mung
0	mother dead
0	mother die
0	mother died
0	mother fucker
0	mother ming dead ror
0	mother u dead
0	mother u die
0	mother you dead
0	mother you died
0	motherdie
0	motherfuck
0	mycock
0	mydick
0	na hee
0	na hree
0	naa hee
0	nahee
0	nazi
0	orgasm
0	p0rn
0	penis
0	pennis
0	po mung die
0	po mung tai
0	por dead
0	por die
0	por meung tai
0	por mueng
0	por mueng ror
0	por mun die ror
0	por mun try
0	por mung
0	por tai
0	por u die
0	por u tai
0	por you tai
0	pormung
0	porn
0	pornhup
0	pornography
0	pussie
0	pussis
0	pussy
0	pussyhole
0	s u c k
0	sideline
0	sonteen
0	sperm
0	sud teen
0	sudteen
0	vagina
0	vaginal
0	whore
0	yed
0	yed mea
0	yet hear
0	yet mae
0	yet mai
0	yet mang
0	yet mather !
0	yet mea
0	yetmai
0	your father
0	your father dead
0	your father die
0	your father?
0	your mother
0	your mother dead
0	เ เ ม่ ง
0	เ ย็ ด
0	เ ย็ด
0	เ.ย็.ด
0	เเคมปลิ้น
0	เงี่ยน
0	เจดแม่
0	เจ็ทแม่
0	เจสแม่
0	เจ้าคุณพระสินีนาฏ
0	เจ้าฟ้าทีปังกรรัศมีโชติฯ
0	เจี๊ยว
0	เชี้ย
0	เชี่ยเย้ด
0	เชี่ยเย็ด
0	เชี่ยแดก
0	เชี่ยแม่
0	เชี่ยแม่ง
0	เชี่ยแม่ม
0	เชี่ยแมร่ง
0	เชี่ยแสรด
0	เชี่ยโคด
0	เชี่ยโคตร
0	เชี่ยกรุ
0	เชี่ยกรู
0	เชี่ยกาก
0	เชี่ยกุ
0	เชี่ยครวย
0	เชี่ยควาย
0	เชี่ยคุวย
0	เชี่ยชิบ
0	เชี่ยชิบหาย
0	เชี่ยชิหาย
0	เชี่ยดอก
0	เชี่ยตีน
0	เชี่ยบ้าน
0	เชี่ยป้อ
0	เชี่ยพ่อ
0	เชี่ยพ่อง
0	เชี่ยฟราย
0	เชี่ยฟาย
0	เชี่ยระยำ
0	เชี่ยสถุน
0	เชี่ยสถุล
0	เชี่ยส้นตรีน
0	เชี่ยส้นตีน
0	เชี่ยสรัด
0	เชี่ยสัด
0	เชี่ยสัต
0	เชี่ยสัส
0	เชี่ยสาด
0	เชี่ยสาดด
0	เซ็กจัด
0	เซ็กซ์
0	เด้า
0	เตี่ยม่องหรอ
0	เป็น ค ว ย อะไร
0	เปรด
0	เปรต
0	เมือกกาม
0	เย็ ด
0	เย้ด
0	เย๊ด
0	เย็ด
0	เย็ดสด
0	เย็ต
0	เย็ท
0	เลวสัด
0	เลียแคม
0	เลียแตด
0	เลียครวย
0	เลียจิ๋ม
0	เลียจู๋
0	เลียดอ
0	เลียตีน
0	เลียตูด
0	เลียปลายตีน
0	เลียฝ่าตีน
0	เลียหมอย
0	เลียหัวตีน
0	เลียหัวนม
0	เลียหี
0	เวรตะไล
0	เสียน้ำ
0	เสียบเคย
0	เสียบครวย
0	เสียบจิ๋ม
0	เสียบจู๋
0	เสียบหมอย
0	เสียบหี
0	เสียวจัง
0	เสียวว้อย
0	เห็ดสด
0	เหยด
0	เหย็ด
0	เหี้ย
0	เอากันปะ
0	เอาทีดิ
0	เอาหัวนม
0	เฮี่ย
0	เฮี้ย
0	แ ต ด
0	แ ตด
0	แ ร ด
0	แคมแตด
0	แคมจิ๋ม
0	แคมตูด
0	แคมหมอย
0	แคมหี
0	แดก
0	แดกเชรี้ย
0	แดกเชี่ย
0	แดกเชี้ย
0	แดกเมิง
0	แดกเห็ดสด
0	แดกเหี้ย
0	แดกแคม
0	แดกแตด
0	แดกแม่
0	แดกกะหรี่
0	แดกครวย
0	แดกจิ๋ม
0	แดกจู๋
0	แดกตรีน
0	แดกตีน
0	แดกตูด
0	แดกปลายตรีน
0	แดกปลายตีน
0	แดกป้อเมิง
0	แดกฝ่าตรีน
