TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	$hit
0	4mk
0	a m k
0	a m q
0	a q
0	abaza
0	agzina veririm
0	ağzına veririm
0	akp
0	amın oğlu
0	amına kodumun
0	amina koyarim
0	amına koyarım
0	amini sikerim
0	amını sikerim
0	amk
0	anani avradini
0	ananı avradını
0	anası sikik
0	asagilik kadin
0	aşağılık kadın
0	asarim keserim
0	asarım keserim
0	aşşağılık kadın
0	at yarrağı
0	curuk kadin
0	çürük kadın
0	daga kaldiririm
0	dağa kaldırırım
0	dhkpc
0	eksik etek
0	elimde kalirsin
0	eşekoğlueşek
0	essekogluessek
0	eşşelueşşek
0	eşşeoğlueşşek
0	essolesek
0	gavurun dolu
0	gavurun dölü
0	genelev kadini
0	genelev kadını
0	geri zekali
0	gerizekali
0	gerizekalı
0	got deligini
0	göt deliğini
0	got oglani
0	göt oğlanı
0	götdeliği
0	gotdeligini
0	götdeliğini
0	gotoglani
0	götoğlanı
0	götünden sikerim
0	gotunu keserim
0	götunü keserim
0	gotunu sikerim
0	götünü sikerim
0	grupseks
0	grupsikis
0	gruptecavuz
0	hdp
0	İbne
0	Joygame
0	kani bozuk
0	kanı bozuk
0	karnini deserim
0	karnını deşerim
0	kavatin kizi
0	kavatın kızı
0	komaya sokarım
0	kus beyinli
0	kuş beyinli
0	orospu cocugu
0	orospu Çocuğu
0	p.k.k
0	penis
0	pkk
0	ya cik git ya intihar et
0	yarak
0	yark
0	yarrak
0	yarrak kafalı
1	fuck
1	cunt
1	sex
1	http
1	.com
1	.net
1	.co.
1	www.
1	amini sikerim
1	amını sikerim
1	aq
1	bu sayfayı beğen
1	grupseks
1	grupsikis
1	gruptecavuz
1	İbne
1	kafani gozunu kiracam
1	kafanı gözünü kıracam
1	kafanı gözünü kırıcam
1	karnini deserim
1	karnını deşerim
1	kimden peydahladin
1	kimden peydahladın
1	komaya sokarim
1	komaya sokarım
1	oruspu
1	penis
1	2OO=1OW钻
1	vooh.top
2	gm
2	cm
2	#dhlikecom
2	#hileistiyorum
2	#likedtr
2	#plusliked
2	$hit
2	<----------
2	<---------- sayfasını
2	…4mk
2	0r0spu
2	3st4rg|\/|
2	3starg|\/|
2	3stargm
2	4chan
2	4dm1n
2	4dmin
2	4uck
2	a k
2	a m
2	a$$
2	a$s
2	a.m.k
2	a.m.k.
2	a.m.q
2	a.m.q.
2	a.mk
2	a.mq
2	a.q
2	a.q.
2	a.u.t.o
2	a7a
2	a7aaa
2	a7e
2	aadmin
2	abazan
2	ablacı
2	ablacılık
2	adıma
2	adm1n
2	admiin
2	admin
2	adminn
2	aelurofili
2	agalmatofili
2	agamegold.com
2	agegm.com
2	agenobiyoz
2	agonofili
2	agorafili
2	agzini yuzunu sikerim
2	ağzını yüzünü sikerim
2	ak parti
2	akarofili
2	akıtmak
2	akluofili
2	aktirasi
2	akustikofili
2	albutofili
2	alfamegami
2	alifinör
2	allah belani versin
2	allah belanı versin
2	allah cezani versin
2	allah cezanı versin
2	allahini
2	allahını
2	allopeli
2	allorgazmi
2	allotriorasti
2	altokalsifili
2	alvinolagni
2	am
2	am biti
2	am.k
2	am.q
2	amaksofili
2	amaurofili
2	ambiti
2	amcik
2	amcık
2	amcıklar
2	amelotazi
2	amg
2	amgg
2	amık
2	amikofili
2	amimi
2	amımı
2	amimizi
2	amina
2	amına
2	amini
2	amını
2	aminizi
2	amınızı
2	amişezis
2	amokosizi
2	amq
2	amýna
2	an@l
2	anal
2	analarını
2	analfixiert
2	analingus
2	analinktus
2	anan
2	anani
2	ananı
2	anasını siktiklerim
2	andromani
2	androminetofili
2	angryjesus
2	angut
2	anik
2	anikk
2	anililagni
2	anizonogamist
2	anneni
2	annesiz
2	anoraptus
2	anscheißen
2	antrapoz
2	antropofagolagni
2	anu$
2	anus
2	anutçu
2	anutçuluk
2	aphefili
2	apodizofili
2	aptal
2	aq
2	ar$e
2	arouse
2	arse
2	arsiz
2	arsız
2	artist
2	as$
2	asagilik
2	aşağılık
2	aseksüel
2	asfiksifili
2	asılmak
2	ass
2	aşşağılık
2	asshole
2	atesin basina vurdu
2	ateşin başına vurdu
2	avanak
2	avisodomi
2	avradini
2	avradını
2	ayaga dusururum
2	ayağa düşürürüm
2	ayir
2	azgin
2	azgın
2	b00b
2	b0k
2	b0ktan
2	b0ob
2	b1tch
2	bacaklarini kirarim
2	bacaklarını kırarım
2	bacini
2	bacını
2	bakir
2	bakire
2	ballgag
2	bastard
2	begen
2	beğenene
2	beğenenlere
2	beğenin
2	beğenir
2	bekiret
2	belonefili
2	beni
2	beyinsiz
2	biastofili
2	biatch
2	bicth
2	bilgisiz
2	biseksüel
2	bitch
