TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	～％bqx%％％%X`5x5x%%X5%x
0	a$shole
0	as$hole
0	asshole
0	a漫
0	a書
0	a片
0	bitch
0	butthole
0	ＦＵＣＫ
0	fuk
0	g掰 
0	h站
0	kiss my ass
0	K粉
0	K藥
0	K他命
0	PC蛋蛋
0	penis
0	shit
0	ＳＨＩＴ
0	suck
0	tmd
0	ㄇㄉ  
0	ㄊㄇㄉ
0	ㄐ掰
0	ㄐ巴
0	ㄐ八
0	ㄙㄞ你公
0	ㄙㄞ你娘
0	ㄙㄞ你老母
0	ㄙㄞ你老師
0	ㄙㄞ你母
0	ㄙㄞ你爸
0	咖小
0	姦
0	硍
0	幹GM
0	幹x
0	幹ㄉ你哇哇叫  
0	幹幹
0	幹雞
0	幹機
0	干機掰
0	幹女人猛射精  
0	奸你
0	幹尼
0	幹你
0	幹妳
0	幹您
0	干你娘
0	干妳娘
0	干您娘
0	幹你娘
0	幹妳娘
0	幹你娘雞巴毛  
0	幹你娘大懶巴
0	幹你娘大懶趴  
0	幹尼娘勒
0	幹你娘臭雞掰
0	干你良
0	干你老母
0	干妳老母
0	幹你老母
0	幹妳老母
0	干你馬
0	干你媽
0	干妳馬
0	干妳媽
0	幹你媽
0	幹妳媽
0	幹你媽b
0	幹你媽逼
0	幹你祖宗
0	幹到
0	幹啦
0	幹拎娘
0	趕羚羊
0	幹勒
0	幹哩娘操機歪  
0	幹林
0	姦夫淫婦
0	幹死
0	幹死你
0	奸殺
0	幹我
0	幹我要射了
0	幹汝
0	奸淫
0	姦淫  
0	奸一奸
0	幹一干
0	幹入
0	奸她
0	幹她
0	幹她媽
0	幹的你挖挖叫  
0	幹的你好爽
0	幹譙
0	干七八
0	幹七八
0	奸他
0	幹他
0	幹它
0	幹牠
0	幹他媽
0	幹炮
0	奸暴
0	幹爆
0	幹呼你勇
0	幹齁你爽
0	強姦
0	強殲
0	江豬媳
0	強暴
0	開苞
0	去你媽
0	去妳媽
0	去您媽
0	去你的
0	去妳的
0	去祂媽
0	去她媽
0	去他媽
0	去它媽
0	去牠媽
0	硬挺
0	莖侯
0	雞奸
0	雞姦
0	雞雞
0	雞麥
0	雞掰
0	雞歪
0	雞巴
0	雞芭
0	雞吧
0	雞疤
0	雞巴爛
0	雞巴濫
0	雞巴郎做雞巴代
0	雞巴毛
0	雞巴在癢
0	雞八
0	雞叭
0	尻
0	靠你媽
0	靠杯
0	靠背
0	靠妖
0	靠腰
0	靠么
0	高潮
0	靠爸
0	哭媽逼
0	哭夭
0	公告
0	共狗
0	贛你娘
0	贛您娘
0	灨你娘
0	公三小
0	狂幹
0	狂操
0	狂操你全家
0	掛機
0	姣西
0	狗b
0	狗幹
0	龜公
0	口交
0	龜頭
0	狗操
0	群奸
0	群射
0	叫床
0	叫淫  
0	叫春  
0	妓
0	妓女
0	機掰
0	起秋
0	捏爆你的奶
0	奶頭  
0	內射
0	奶西
0	奶子
0	女乃
0	嫩b
0	你娘雞掰
0	你娘咧
0	你娘卡好
0	你媽了妹
0	你馬的
0	你媽的
0	妳馬的
0	妳媽的
0	你媽逼
0	您母卡好
0	您杯卡好
0	你她馬的
0	你他媽的
0	大雞掰
0	大雞巴
0	大懶啪
0	大懶巴
0	大懶趴
0	臺灣狗
0	懶8
0	懶教
0	懶叫
0	懶啪  
0	懶趴
0	懶巴  
0	懶八
0	爛B
0	亂倫
0	爛屄
0	爛屌
0	爛逼
0	覽叫
0	來幹一炮
0	來插我
0	來爽我
0	綠茶婊
0	輪奸
0	輪姦
0	輪幹
0	輪流幹
0	輪盤賭
0	淋病
0	媽B
0	媽個
0	媽個B
0	媽你個B 
0	媽你個逼 
0	媽你的B
0	媽你的b 
0	媽你的逼
0	馬賣馬屁
0	媽賣媽屁
0	媽的B
0	媽逼
0	媽逼靠
0	賣B
0	賣ID
0	賣QQ
0	賣橘子
0	買賣槍支
0	賣淫
0	賣逼
0	賣號靠
0	猛插
0	綿恒
0	摸咪咪
0	沒屁眼
0	蒙塵藥
0	迷奸
0	迷奸藥
0	迷殲藥
0	迷藥
0	迷魂藥
0	迷幻藥
0	密穴
0	發q
0	勃起
0	發騷
0	幫我吹喇叭
0	扒光
0	法克
0	鴇
0	保險套
0	阝月
0	笨屄
0	噴精
0	噴精在臉上
0	笨逼
0	妣
0	屄
0	屄毛
0	屁眼
0	賓周
0	冰毒
0	私/服
0	死gm
0	死jb
0	駛你公
0	駛你娘
0	駛你老母
0	駛你老師
0	駛你母
0	駛你爸
0	傻屄
0	射精
0	私處
0	死破麻
0	三個代婊
0	三個呆婊
0	三去車侖
0	三級片
0	三唑
0	三唑侖
0	三八雞
