TYPE	TEXT
0	넷마블
0	netmarble
0	fuck
0	fag
0	cunt
0	sex
0	http
0	.com
0	.net
0	.co
0	www.
0	250
0	&
0	*李*洪*志*阿扁
0	*法*轮*功*
0	00sm.cn
0	01gh.com
0	025game.cn
0	0571qq.com
0	09city.com
0	1000scarf.com
0	10mb.cn
0	1100y.com
0	11xp.1243.net.cn
0	1234chengren.1249.net.cn
0	131.com
0	13888wg.com
0	13ml.net
0	158le.com
0	15wy.com
0	166578.cn
0	16dy-圖庫
0	16dy-图库
0	16大
0	17173dl.net
0	17173yxdl.cn
0	173at.com
0	17youle.com
0	18900.com
0	18禁
0	18摸
0	１８歲淫亂
0	1qmsj.com
0	1t1t.com
0	2019-nCoV
0	202333.com
0	208.43.198.56
0	21世纪中国基金会
0	222se圖片
0	222se图片
0	2feiche.cn
0	33bbb走光
0	365gn
0	365tttyx.com
0	37447.cn
0	3kwow.com
0	3P
0	3P炮圖
0	3P炮图
0	47513.cn
0	51hdw.com
0	51jiafen.cn
0	51juezhan.com
0	52ppsa.cn
0	52sxhy.cn
0	54hero.com
0	55sss偷拍區
0	55sss偷拍区
0	567567aa.cn
0	58.253.67.74
0	597ft.com
0	5d6d.com
0	5m5m5m.com
0	6-4tianwang
0	661661.com
0	69nb.com
0	71ka.com
0	77bbb
0	7GG
0	7mmo.com
0	8 仙
0	8188mu.com
0	888895.com
0	88kx.com
0	88mysf.com
0	89-64cdjp
0	8仙
0	91bysd.cn
0	92ey.com
0	92klgh.cn
0	92wydl.com
0	97sese
0	991game.com
0	999日本妹
0	99sa.com
0	a33.com
0	a4u
0	a4y
0	aa.yazhousetu.hi.9705.net.cn
0	aaac.s.51524.com
0	aaad.s.59764.com
0	Abian
0	Abianwansui
0	ADMIN
0	Admin
0	admin
0	Administrator
0	administrator
0	AIDS
0	AIORT墓地
0	Aiort墓地
0	aisenhaoweier
0	AI滋
0	ai滋
0	Alafate
0	Aluoyue
0	anbeijinsan
0	annan
0	any2000.com
0	aobama
0	aomaer
0	ARQUS会议场
0	Arqus会议场
0	asgardcn.com
0	ASSHOLE
0	asshole
0	ATAN的移动石
0	Atan的移动石
0	av
0	A片
0	BAICHI
0	Baichi
0	baijie.1249.net.cn
0	banchan
0	BAOPI
0	Baopi
0	baoweier
0	BAO皮
0	Bao皮
0	BASTARD
0	bastard
0	bazhuwg.cn
0	bbs.766.com
0	bbs.7gg.cn
0	bbs.butcn.com
0	bbs.pkmmo
0	BC
0	Bc
0	bcd.s.59764.com
0	benladeng
0	BIAOZI
0	biaozi
0	BIAO子
0	Biao子
0	bibidu.com
0	BIGNEWS
0	bignews
0	BITCH
0	bitch
0	BI样
0	Bi样
0	bl62.com
0	blacksee.com.cn
0	BLOWJOB
0	BlowJobs
0	bobaoping
0	boxilai
0	BOXUN
0	boxun
0	bulaier
0	bulaoge.com
0	bushi
0	bwowd.com
0	bz176.com
0	B样
0	c a o
0	c5c8.cn
0	canyaa.com
0	CAO
0	cao
0	CAOB
0	caoB
0	CAOBI
0	caobi
0	caogangchuan
0	CAO你
0	cao你
0	cao你大爷
0	cao你妈
0	Carrefour
0	CC小雪
0	cdream.com
0	chailing
0	CHA你
0	cha你
0	chenduxiu
0	chengrenmanhua.1242.net.cn
0	chengrenwangzhi.1242.net.cn
0	chenliangyu
0	chenshuibian
0	chenyi
0	chenyun
0	chenzhili
0	CHINALIBERAL
0	chinaliberal
0	CHINAMZ
0	chinamz
0	chinavfx.net
0	CHINESENEWSNET
0	chinesenewsnet
0	chink
0	chongxianmu.cn
0	chunyilang
0	cikcatv.2om
0	CISHANZONGHUI
0	Cishanzonghui
0	Client
0	CLOCKGEMSTONE
0	Clockgemstone
0	cnaicheng.1174.net.cn
0	CND
0	cnd
0	consignment5173
0	CREADERS
0	creaders
0	CRESTBONE
0	Crestbone
0	CS
0	Cs
0	cS
0	cs
0	cvceo.com
0	d666.com
0	dadati.com
0	DAFA
0	dafa
0	DAJIYUAN
0	dajiyuan
0	dalai
0	dalailama
0	DAMN
0	damn
0	dang
0	dengxiaoping
0	DFDZ
0	dfdz
0	DICK
0	digitallongking.com
0	dingxiang.1243.net.cn
0	dingxiang.1249.net
0	DISHUN
0	DiShun
0	Dishun
0	dishun
0	dl.com
0	dolbbs.com
0	dongtiaoyingji
0	DPP
0	dpp
0	dulumen
0	duowan
0	duowan.com
0	e7sw.cn
0	eee.xaoh.cn
0	eerdeni
0	engesi
0	ent365.com
0	EVENT
0	FALU
0	falu
0	FALUN
0	falun
0	FALUNDAFA
0	falundafa
0	falundafahao
0	falungong
0	FA轮
0	fa轮
0	FEELMISTONE
0	Feelmistone
0	feitengdl.com
0	fisonet.com
0	FKU
0	Fku
0	FLG
0	flg
0	FREECHINA
0	freechina
