LEVEL,CRITICAL,CRITICAL_POWER,DODGE,ATTACK_SPEED,MOVE_SPEED,RECOVERY_RATE,FIRE_RESIST,COLD_RESIST,LIGHTNING_RESIST,POISON_RESIST,MIND_RESIST,ARMOR_PENETRATE,CROWD_CONTROL_TIME,SKILL_COOLTIME,CAPACITY_CONTROL,ADD_PENETRATE_DAMAGE
1,5952,7936,5952,2380,2380,3968,5952,5952,5952,5952,5952,3968,5952,3968,7936,3968
2,2964,3952,2964,1185,1185,1976,2964,2964,2964,2964,2964,1976,2964,1976,3952,1976
3,1973,2631,1973,789,789,1315,1973,1973,1973,1973,1973,1315,1973,1315,2631,1315
4,1479,1972,1479,591,591,986,1479,1479,1479,1479,1479,986,1479,986,1972,986
5,1182,1577,1182,473,473,788,1182,1182,1182,1182,1182,788,1182,788,1577,788
6,986,1315,986,394,394,657,986,986,986,986,986,657,986,657,1315,657
7,845,1127,845,338,338,563,845,845,845,845,845,563,845,563,1127,563
8,739,986,739,295,295,493,739,739,739,739,739,493,739,493,986,493
9,657,876,657,262,262,438,657,657,657,657,657,438,657,438,876,438
10,563,751,563,225,225,375,563,563,563,563,563,375,563,375,751,375
11,514,685,514,205,205,342,514,514,514,514,514,342,514,342,685,342
12,473,630,473,189,189,315,473,473,473,473,473,315,473,315,630,315
13,438,584,438,175,175,292,438,438,438,438,438,292,438,292,584,292
14,408,544,408,163,163,272,408,408,408,408,408,272,408,272,544,272
15,369,492,369,147,147,246,369,369,369,369,369,246,369,246,492,246
16,348,464,348,139,139,232,348,348,348,348,348,232,348,232,464,232
17,328,438,328,131,131,219,328,328,328,328,328,219,328,219,438,219
18,311,415,311,124,124,207,311,311,311,311,311,207,311,207,415,207
19,295,394,295,118,118,197,295,295,295,295,295,197,295,197,394,197
20,275,366,275,110,110,183,275,275,275,275,275,183,275,183,366,183
21,262,350,262,105,105,175,262,262,262,262,262,175,262,175,350,175
22,251,335,251,100,100,167,251,251,251,251,251,167,251,167,335,167
23,241,321,241,96,96,160,241,241,241,241,241,160,241,160,321,160
24,231,309,231,92,92,154,231,231,231,231,231,154,231,154,309,154
25,219,292,219,87,87,146,219,219,219,219,219,146,219,146,292,146
26,211,281,211,84,84,140,211,211,211,211,211,140,211,140,281,140
