NAME,HASH,SIZE,ZIP_SIZE,SIMPLE_HASH
adamwarlock_rank3,806116DD9B7D99846999FD2E2EA1A30E,50636,49654,806116DD9B7D99846999FD2E2EA1A30E
agent_tokken,7E55EFACC1AA94D9CD74635B02CDB5F3,26457,25510,7E55EFACC1AA94D9CD74635B02CDB5F3
anim_abomination,2617F91005FBAFD6BA229172C3EF1F8B,1431704,1225714,4AE3A99DA936346F2AA52AF104B6465C
anim_adamwarlock,4443C07B6F3813E32C701508E2253A55,140218,119477,4443C07B6F3813E32C701508E2253A55
anim_ancientone,1D91197A6859772C8F76DFD3FE807C05,1260925,1082571,626EC9C5C0CCDEBDF3D7B79977EA5E82
anim_annihilus,A25C5DFA97D42CA566E8E8F46B777C53,399910,302711,A25C5DFA97D42CA566E8E8F46B777C53
anim_antiman,BB5E117D83D408F41CBF1A5A985617D6,655807,554976,3D6D0F3458084B3FB4C2877D04A44581
anim_antman,3484896CF145E44E4CA5C2D477F8497D,121052,100706,3484896CF145E44E4CA5C2D477F8497D
anim_apocalypse,A8BCA9DC020DE5F91AD7B2CD57B66E45,63212,50562,A8BCA9DC020DE5F91AD7B2CD57B66E45
anim_blackbolt,12902EBBC653995A6B67CA3B74E86539,233604,200908,12902EBBC653995A6B67CA3B74E86539
anim_blackknight,7A4314A7A263983004E6FA7E6D6573C2,228611,196862,7A4314A7A263983004E6FA7E6D6573C2
anim_blackpanther,AE891D608D55100E096CC0C232CBD061,614549,518636,2746C4E913FDCEFDCF663214C1DD27A3
anim_blackswan,54BC7BBD93AA6EFC1FFF4B9A4BA08ABE,310701,264200,54BC7BBD93AA6EFC1FFF4B9A4BA08ABE
anim_blackwidow,433B43818752888FF9EC6E6F0FC4227B,1418032,1211582,25906E423A7AE3893B6B6D870A99C9AE
anim_blade,0B18DA93F2C16933F63163115E450C69,775541,656412,2CCA29F7BCE583447F31AD273EABB0B7
anim_bluemarvel,EFF951D0A29DBC49F4C0675DBB003865,126222,108657,EFF951D0A29DBC49F4C0675DBB003865
anim_cable,A077B8770DA0E17E844991F682B18F4C,605067,516130,E01C36C1ED3120E13523C412BCF6A265
anim_captainamerica,6C156CA4FB9EBFAA68159E172B1F344C,805090,694711,1A623C11EAC544348E24F8A9F1C0C006
anim_captainmarvel,A3BBD9986BCE44A5AA54F90F03811AFC,841235,717586,F5D5CEC75F5CBE67F70308A79CE77109
anim_carnage,F9796B5DEAED23C2837D9AA65AD4AB5B,384780,328226,F9796B5DEAED23C2837D9AA65AD4AB5B
anim_cassandranova,574C121D1B93EEC28289D5B9A88D229E,144190,123271,574C121D1B93EEC28289D5B9A88D229E
anim_crescent,5925F085E84226F12172311052F871C2,778377,665725,8D16F3C4E00D1E14459F167AEAAB024F
anim_cyclops,EF12FF4FE1D8349E8E79A47B64F1B12D,407236,348594,EF12FF4FE1D8349E8E79A47B64F1B12D
anim_daken,4C56BD67B532163AA561F42919D50F66,305624,260680,4C56BD67B532163AA561F42919D50F66
anim_daredevil,15767B51D8CFCD5C459DDC44BACC06B4,497757,423557,15767B51D8CFCD5C459DDC44BACC06B4
anim_deadpool,80D07FB40512C318C3EB9A31387DD039,357966,303582,80D07FB40512C318C3EB9A31387DD039
anim_doctordoom,4F747E7FC028182BBD4E95740064AC15,135528,114218,4F747E7FC028182BBD4E95740064AC15
anim_doctorstrange,EEDA0777E9490F007DF939EB9AC4D97B,1422814,1193737,3F2F3386047D3E844A7EAEC8FE9198F3
anim_dormammu,9D0FF26650EC2265FEC9A2D1796D7D6F,123534,107924,9D0FF26650EC2265FEC9A2D1796D7D6F
anim_ebonymaw,717EC0B2A25DD4D64055764C1E4A3CE7,249158,210944,717EC0B2A25DD4D64055764C1E4A3CE7
anim_elektra,63E201B5A304C69D9BBD14203BB7CEA4,671477,569287,2D1C16886A8E0BDB1FBD0425C9C9451D
anim_emma,F6BA3A399D5E43A14BF6BB18121F9BF4,1084061,939677,D45D047F5C9250897E3776D0B64061F2
anim_enchantress,C9B8B3BD7F58BF89641AC9D5F5BA1B30,565437,484114,1F221A13039A1FD9D182CB439F87A4B7
anim_falcon,55FE457EB12F360F3876EEBE8010C016,441246,378086,55FE457EB12F360F3876EEBE8010C016
anim_galactus,5CC1B959FBF6B023CE8C2F5AD76855E7,20906,17516,5CC1B959FBF6B023CE8C2F5AD76855E7
anim_ghost,11E1B96709731E9CF0D8B55B64660B78,582342,490052,3A04B89468676880E0387150EF0AFB7A
anim_ghostrider,00CEB876C55954786A7B8CE7B075A18F,511679,437909,00CEB876C55954786A7B8CE7B075A18F
anim_gladiator,100AE308E805B3257F5B728AF5C8EE98,507034,435399,100AE308E805B3257F5B728AF5C8EE98
