FACTION_EVENT_ID,FACTION_SELECT_LOCK_RATE,FACTION_POINT_RATE_01,FACTION_USER_RATE,FACTION_POINT_RATE_02,FACTION_SYMBOL_01,FACTION_SYMBOL_02,FACTION_SELECT_BACKGROUND,FACTION_POINT_SYMBOL,FACTION_LOCK_MIN,FACTION_SELECT_TEXT,FACTION_SELECT_BILL,FACTION_TITLE,FACTION_TITLE_TEXT,FACTION_MAIN_INFO,FACTION_INFO_1,FACTION_INFO_IMAGE_1,FACTION_INFO_2,FACTION_INFO_IMAGE_2
9,100,20000,100,30000,Faction_Symbol_901,Faction_Symbol_902,Faction_Select_Background_900,Faction_Point_Symbol_900,10000,FACTION_SELECT_TEXT_9,FACTION_SELECT_BILL_9,FACTION_TITLE_9,FACTION_TITLE_TEXT_9,FACTION_MAIN_INFO_9,FACTION_AGREE_INFO_9,hero_doctorstrange01_S03,FACTION_OPPOSE_INFO_9,hero_ironman01_S08
10,100,20000,100,30000,Faction_Symbol_901,Faction_Symbol_902,Faction_Select_Background_900,Faction_Point_Symbol_900,10000,FACTION_SELECT_TEXT_9,FACTION_SELECT_BILL_9,FACTION_TITLE_9,FACTION_TITLE_TEXT_9,FACTION_MAIN_INFO_9,FACTION_AGREE_INFO_9,hero_doctorstrange01_S03,FACTION_OPPOSE_INFO_9,hero_ironman01_S08
11,100,20000,100,30000,Faction_Symbol_1101,Faction_Symbol_1102,Faction_Select_Background_1100,Faction_Point_Symbol_1100,10000,FACTION_SELECT_TEXT_11,FACTION_SELECT_BILL_11,FACTION_TITLE_11,FACTION_TITLE_TEXT_11,FACTION_MAIN_INFO_11,FACTION_AGREE_INFO_11,hero_captainAmerica01_S07,FACTION_OPPOSE_INFO_11,hero_cyclops01_S03
12,100,20000,100,30000,Faction_Symbol_1101,Faction_Symbol_1102,Faction_Select_Background_1100,Faction_Point_Symbol_1100,10000,FACTION_SELECT_TEXT_11,FACTION_SELECT_BILL_11,FACTION_TITLE_11,FACTION_TITLE_TEXT_11,FACTION_MAIN_INFO_11,FACTION_AGREE_INFO_11,hero_captainAmerica01_S07,FACTION_OPPOSE_INFO_11,hero_cyclops01_S03
13,100,20000,100,30000,Faction_Symbol_1101,Faction_Symbol_1102,Faction_Select_Background_1100,Faction_Point_Symbol_1100,10000,FACTION_SELECT_TEXT_11,FACTION_SELECT_BILL_11,FACTION_TITLE_11,FACTION_TITLE_TEXT_11,FACTION_MAIN_INFO_11,FACTION_AGREE_INFO_11,hero_captainAmerica01_S07,FACTION_OPPOSE_INFO_11,hero_cyclops01_S03
14,100,20000,100,30000,Faction_Symbol_901,Faction_Symbol_902,Faction_Select_Background_900,Faction_Point_Symbol_900,10000,FACTION_SELECT_TEXT_9,FACTION_SELECT_BILL_9,FACTION_TITLE_9,FACTION_TITLE_TEXT_9,FACTION_MAIN_INFO_9,FACTION_AGREE_INFO_9,hero_doctorstrange01_S03,FACTION_OPPOSE_INFO_9,hero_ironman01_S08
15,100,20000,100,30000,Faction_Symbol_1101,Faction_Symbol_1102,Faction_Select_Background_1100,Faction_Point_Symbol_1100,10000,FACTION_SELECT_TEXT_11,FACTION_SELECT_BILL_11,FACTION_TITLE_11,FACTION_TITLE_TEXT_11,FACTION_MAIN_INFO_11,FACTION_AGREE_INFO_11,hero_captainAmerica01_S07,FACTION_OPPOSE_INFO_11,hero_cyclops01_S03
16,100,20000,100,30000,Faction_Symbol_1101,Faction_Symbol_1102,Faction_Select_Background_1100,Faction_Point_Symbol_1100,10000,FACTION_SELECT_TEXT_11,FACTION_SELECT_BILL_11,FACTION_TITLE_11,FACTION_TITLE_TEXT_11,FACTION_MAIN_INFO_11,FACTION_AGREE_INFO_11,hero_captainAmerica01_S07,FACTION_OPPOSE_INFO_11,hero_cyclops01_S03
17,100,20000,100,30000,Faction_Symbol_1101,Faction_Symbol_1102,Faction_Select_Background_1100,Faction_Point_Symbol_1100,10000,FACTION_SELECT_TEXT_11,FACTION_SELECT_BILL_11,FACTION_TITLE_11,FACTION_TITLE_TEXT_11,FACTION_MAIN_INFO_11,FACTION_AGREE_INFO_11,hero_captainAmerica01_S07,FACTION_OPPOSE_INFO_11,hero_cyclops01_S03
18,100,20000,100,30000,Faction_Symbol_1101,Faction_Symbol_1102,Faction_Select_Background_1100,Faction_Point_Symbol_1100,10000,FACTION_SELECT_TEXT_11,FACTION_SELECT_BILL_11,FACTION_TITLE_11,FACTION_TITLE_TEXT_11,FACTION_MAIN_INFO_11,FACTION_AGREE_INFO_11,hero_captainAmerica01_S07,FACTION_OPPOSE_INFO_11,hero_cyclops01_S03
