FACTION_EVENT_ID,REWARD_ID,REWARD_GROUP_ID,REWARD_FACTION_TYPE,REWARD_FACTION_MIN,REWARD_FACTION_MAX
9,105,90001,6,0,800
9,106,90002,6,0,1600
9,107,90003,6,0,2400
9,108,90004,6,0,3200
9,109,90005,6,0,4000
9,110,90006,6,0,4800
9,111,90007,6,0,5600
9,112,90008,6,0,6400
9,113,90009,6,0,7200
9,114,90010,6,0,8000
9,115,90011,6,0,8800
9,116,90012,6,0,9600
9,117,90013,6,0,10400
9,118,90014,6,0,11200
9,119,90015,6,0,12000
9,120,90016,6,0,12800
9,121,90017,6,0,13600
9,122,90018,6,0,14400
9,123,90019,6,0,15200
9,124,90020,6,0,16000
9,125,90021,6,0,16800
9,126,90022,6,0,17600
9,127,90023,6,0,18400
9,128,90024,6,0,19200
9,129,90025,6,0,20000
9,130,90026,7,0,800
9,131,90027,7,0,1600
9,132,90028,7,0,2400
9,133,90029,7,0,3200
9,134,90030,7,0,4000
9,135,90031,7,0,4800
9,136,90032,7,0,5600
9,137,90033,7,0,6400
9,138,90034,7,0,7200
9,139,90035,7,0,8000
9,140,90036,7,0,8800
9,141,90037,7,0,9600
9,142,90038,7,0,10400
9,143,90039,7,0,11200
9,144,90040,7,0,12000
9,145,90041,7,0,12800
9,146,90042,7,0,13600
9,147,90043,7,0,14400
9,148,90044,7,0,15200
9,149,90045,7,0,16000
9,150,90046,7,0,16800
9,151,90047,7,0,17600
9,152,90048,7,0,18400
9,153,90049,7,0,19200
9,154,90050,7,0,20000
9,155,90051,2,0,0
9,156,90052,3,0,0
9,157,90053,5,1,1
10,158,90054,6,0,300
10,159,90055,6,0,600
10,160,90056,6,0,900
10,161,90057,6,0,1200
10,162,90058,6,0,1500
10,163,90059,6,0,1800
10,164,90060,6,0,2100
10,165,90061,6,0,2400
10,166,90062,6,0,2700
10,167,90063,6,0,3000
10,168,90064,6,0,3300
10,169,90065,6,0,3600
10,170,90066,6,0,3900
10,171,90067,6,0,4200
10,172,90068,6,0,4500
10,173,90069,6,0,4800
10,174,90070,6,0,5100
10,175,90071,6,0,5400
10,176,90072,6,0,5700
10,177,90073,6,0,6000
