GUIDE_QUEST_ID,APPLY,ICON,NEXT_ID,ACHIEVE_TYPE,VALUE_1,VALUE_2,COMPLETE_VALUE,SHIELD_EXP,REWARD_TYPE,REWARD_VALUE,REWARD_QTY,GUIDE_TYPE,TUTO_ID,SCENE_ID,SCENE_OPT,REWARD_CHANNEL,REWARD_TYPE_2,REWARD_VALUE_2,REWARD_QTY_2,REWARD_CHANNEL_2
3000001,1,challenge_guide,3000002,21,10102,0,1,0,3,0,120000,0,54,6,10102,1,102,102,30,1
3000002,1,challenge_guide,3000003,39,1,0,1,0,4,0,15,0,32,7,0,1,100,3004,10,1
3000003,1,challenge_guide,3000004,21,10105,0,1,0,3,0,240000,0,54,6,10105,1,101,101,20,1
3000004,1,challenge_guide,3000005,38,2,0,1,0,4,0,15,0,13,7,0,1,100,2001,15,1
3000005,1,challenge_guide,3000006,37,10,0,1,0,3,0,240000,0,57,7,0,1,102,102,60,1
3000006,1,challenge_guide,3000007,39,2,0,1,0,4,0,15,0,32,7,0,1,100,3004,20,1
3000007,1,challenge_guide,3000008,21,10108,0,1,0,2,0,30,0,54,6,10108,1,100,2001,15,1
3000008,1,challenge_guide,3000009,1,3,0,1,0,3,0,360000,0,19,13,3,1,101,101,40,1
3000009,1,challenge_guide,3000010,38,3,0,1,0,4,0,15,0,13,7,0,1,300,1059,1,0
3000010,1,challenge_guide,3000011,78,1,2,1,0,3,0,360000,0,14,7,0,1,102,102,90,1
3000011,1,challenge_guide,3000012,39,3,0,1,0,4,0,15,0,32,7,0,1,100,10199001,20,1
3000012,1,challenge_guide,3000013,77,1,6,1,0,2,0,30,0,5,7,0,1,100,10199002,20,1
3000013,1,challenge_guide,3000014,21,10205,0,1,0,3,0,480000,0,54,6,10205,1,101,101,80,1
3000014,1,challenge_guide,3000015,38,4,0,1,0,4,0,15,0,13,7,0,1,100,2001,15,1
3000015,1,challenge_guide,3000016,1,13,0,1,0,2,0,30,0,33,13,13,1,100,3005,20,1
3000016,1,challenge_guide,3000017,21,10208,0,1,0,3,0,480000,0,54,6,10208,1,102,102,120,1
3000017,1,challenge_guide,3000018,39,4,0,1,0,4,0,15,0,32,7,0,1,300,1059,1,0
3000018,1,challenge_guide,3000019,21,10301,0,1,0,2,0,30,0,54,6,10301,1,100,10199002,20,1
3000019,1,challenge_guide,3000020,37,25,0,1,0,3,0,600000,0,57,7,0,1,101,101,160,1
3000020,1,challenge_guide,3000021,38,5,0,1,0,4,0,20,0,13,7,0,1,100,2001,15,1
3000021,1,challenge_guide,3000022,21,10303,0,1,0,2,0,30,0,54,6,10303,1,100,3005,100,1
3000022,1,challenge_guide,3000023,3,0,0,1,0,2,0,30,0,56,16,0,1,100,10199002,20,1
3000023,1,challenge_guide,3000024,21,10307,0,1,0,3,0,600000,0,54,6,10307,1,102,102,150,1
3000024,1,challenge_guide,3000025,39,5,0,1,0,4,0,15,0,32,7,0,1,300,1055,1,0
3000025,1,challenge_guide,3000026,7,0,0,1,0,2,0,30,0,31,13,6,1,100,10199002,20,1
3000026,1,challenge_guide,3000027,77,1,7,1,0,2,0,30,0,5,7,0,1,100,10199001,20,1
3000027,1,challenge_guide,3000028,21,10401,0,1,0,3,0,720000,0,54,6,10401,1,101,101,320,1
3000028,1,challenge_guide,3000029,38,6,0,1,0,4,0,15,0,13,7,0,1,300,1055,1,0
3000029,1,challenge_guide,3000030,12,99999,0,1,0,2,0,40,0,16,7,0,1,100,3005,150,1
3000030,1,challenge_guide,3000031,21,10405,0,1,0,3,0,720000,0,54,6,10405,1,100,10199001,20,1
3000031,1,challenge_guide,3000032,77,1,8,1,0,4,0,15,0,5,7,0,1,100,10199002,20,1
3000032,1,challenge_guide,3000033,21,10503,0,1,0,3,0,800000,0,54,6,10503,1,102,102,180,1
3000033,1,challenge_guide,3000034,39,6,0,1,0,4,0,20,0,32,7,0,1,300,1056,1,0
3000034,1,challenge_guide,3000035,37,40,0,1,0,2,0,40,0,57,7,0,1,100,10199001,20,1
3000035,1,challenge_guide,3000036,21,10510,0,1,0,3,0,1000000,0,54,6,10510,1,100,2001,20,1
3000036,1,challenge_guide,3000037,33,0,0,1,0,4,0,20,0,53,35,0,1,100,10199002,20,1
3000037,1,challenge_guide,3000038,78,1,3,1,0,2,0,40,0,14,7,0,1,100,3005,200,1
3000038,1,challenge_guide,3000039,15,3005,0,1,0,3,0,1000000,0,41,7,0,1,100,10199002,20,1
3000039,1,challenge_guide,9999999,37,50,0,1,0,4,0,40,0,57,7,0,1,100,2001,20,1
3100001,1,challenge_guide,3100002,21,10102,0,1,0,3,0,120000,1,54,6,10102,1,307,2169,1,0
3100002,1,challenge_guide,3100003,16,0,0,1,0,4,0,15,1,32,7,0,1,100,3005,60,1
3100003,1,challenge_guide,3100004,21,10108,0,1,0,2,0,40,1,54,6,10108,1,100,2001,15,1
3100004,1,challenge_guide,3100005,1,3,0,2,0,3,0,240000,1,19,13,3,1,307,2152,1,0
3100005,1,challenge_guide,3100006,18,0,0,1,0,4,0,15,1,13,7,0,1,2,0,40,1
3100006,1,challenge_guide,3100007,21,10205,0,1,0,2,0,40,1,54,6,10205,1,100,3005,70,1
3100007,1,challenge_guide,3100008,1,13,0,1,0,3,0,240000,1,33,13,13,1,307,2214,1,0
3100008,1,challenge_guide,3100009,16,0,0,1,0,4,0,15,1,32,7,0,1,100,2001,15,1
3100009,1,challenge_guide,3100010,21,10209,0,1,0,2,0,40,1,54,6,10209,1,100,3005,80,1
3100010,1,challenge_guide,3100011,1,7,0,2,0,3,0,360000,1,46,23,0,1,307,2154,1,0
3100011,1,challenge_guide,3100012,18,0,0,1,0,4,0,15,1,13,7,0,1,300,1059,1,0
3100012,1,challenge_guide,3100013,21,10303,0,1,0,2,0,40,1,54,6,10303,1,100,3005,90,1
3100013,1,challenge_guide,3100014,3,0,0,1,0,3,0,360000,1,56,16,0,1,307,2211,1,0
3100014,1,challenge_guide,3100015,16,0,0,1,0,4,0,15,1,32,7,0,1,100,2001,15,1
3100015,1,challenge_guide,3100016,21,10307,0,1,0,2,0,40,1,54,6,10307,1,100,3005,100,1
3100016,1,challenge_guide,3100017,32,0,0,2,0,3,0,480000,1,31,13,6,1,307,2158,1,0
3100017,1,challenge_guide,3100018,18,0,0,1,0,4,0,15,1,13,7,0,1,300,1059,1,0
3100018,1,challenge_guide,3100019,12,99999,0,3,0,2,0,50,1,16,7,0,1,100,10199001,20,1
3100019,1,challenge_guide,3100020,15,2001,0,1,0,3,0,480000,1,51,13,1,1,307,2215,1,0
3100020,1,challenge_guide,3100021,16,0,0,1,0,4,0,15,1,32,7,0,1,100,2001,15,1
3100021,1,challenge_guide,3100022,6,99999,99999,2,0,2,0,50,1,5,7,0,1,100,3005,100,1
3100022,1,challenge_guide,3100023,50,0,0,1,0,3,0,600000,1,34,34,0,1,307,2167,1,0
3100023,1,challenge_guide,3100024,18,0,0,1,0,4,0,15,1,13,7,0,1,300,1055,1,0
3100024,1,challenge_guide,3100025,9,0,0,1,0,3,0,600000,1,14,7,0,1,307,2212,1,0
3100025,1,challenge_guide,3100026,16,0,0,1,0,4,0,15,1,32,7,0,1,100,2001,15,1
3100026,1,challenge_guide,3100027,21,10510,0,1,0,3,0,720000,1,54,6,10510,1,307,2216,1,0
