POTENTIAL_ID,POINT_PROB,POINT_QTY
10011,600000,100000
10011,400000,100000
10021,600000,100000
10021,400000,100000
10031,600000,100000
10031,400000,100000
10041,600000,100000
10041,400000,100000
10051,600000,100000
10051,400000,100000
10061,600000,100000
10061,400000,100000
10071,600000,100000
10071,400000,100000
10081,600000,100000
10081,400000,100000
10091,600000,100000
10091,400000,100000
10101,600000,100000
10101,400000,100000
10111,600000,100000
10111,400000,100000
10121,600000,100000
10121,400000,100000
10131,600000,100000
10131,400000,100000
10141,600000,100000
10141,400000,100000
10151,600000,100000
10151,400000,100000
10161,600000,100000
10161,400000,100000
10171,600000,100000
10171,400000,100000
10181,600000,100000
10181,400000,100000
10191,600000,100000
10191,400000,100000
10201,600000,100000
10201,400000,100000
10211,600000,100000
10211,400000,100000
10221,600000,100000
10221,400000,100000
10231,600000,100000
10231,400000,100000
10241,600000,100000
10241,400000,100000
10251,600000,100000
10251,400000,100000
10261,600000,100000
10261,400000,100000
10271,600000,100000
10271,400000,100000
10281,600000,100000
10281,400000,100000
10291,600000,100000
10291,400000,100000
10301,600000,100000
10301,400000,100000
10311,600000,100000
10311,400000,100000
10321,600000,100000
10321,400000,100000
10331,600000,100000
10331,400000,100000
10341,600000,100000
10341,400000,100000
10351,600000,100000
10351,400000,100000
10361,600000,100000
10361,400000,100000
10371,600000,100000
10371,400000,100000
10381,600000,100000
10381,400000,100000
10391,600000,100000
10391,400000,100000
10401,600000,100000
10401,400000,100000
10411,600000,100000
10411,400000,100000
10421,600000,100000
10421,400000,100000
10431,600000,100000
10431,400000,100000
10441,600000,100000
10441,400000,100000
10451,600000,100000
10451,400000,100000
10461,600000,100000
10461,400000,100000
10471,600000,100000
10471,400000,100000
10481,600000,100000
10481,400000,100000
10491,600000,100000
10491,400000,100000
10501,600000,100000
10501,400000,100000
10511,600000,100000
10511,400000,100000
10521,600000,100000
10521,400000,100000
10531,600000,100000
10531,400000,100000
10541,600000,100000
10541,400000,100000
10551,600000,100000
10551,400000,100000
10561,600000,100000
10561,400000,100000
10571,600000,100000
10571,400000,100000
10581,600000,100000
10581,400000,100000
10591,600000,100000
10591,400000,100000
10601,600000,100000
10601,400000,100000
10611,600000,100000
10611,400000,100000
10621,600000,100000
10621,400000,100000
10631,600000,100000
10631,400000,100000
10641,600000,100000
10641,400000,100000
10651,600000,100000
10651,400000,100000
10661,600000,100000
10661,400000,100000
10671,600000,100000
10671,400000,100000
10681,600000,100000
10681,400000,100000
10691,600000,100000
10691,400000,100000
10701,600000,100000
10701,400000,100000
10711,600000,100000
10711,400000,100000
10721,600000,100000
10721,400000,100000
10731,600000,100000
10731,400000,100000
10741,600000,100000
10741,400000,100000
10751,600000,100000
10751,350000,100000
10751,50000,100000
10761,600000,100000
10761,400000,100000
10771,600000,100000
10771,400000,100000
10781,600000,100000
10781,400000,100000
10791,600000,100000
10791,400000,100000
10801,600000,100000
10801,400000,100000
10811,600000,100000
10811,400000,100000
10821,600000,100000
10821,400000,100000
10831,600000,100000
10831,400000,100000
10841,600000,100000
10841,400000,100000
10851,600000,100000
10851,400000,100000
10861,600000,100000
10861,400000,100000
10871,600000,100000
10871,400000,100000
10881,600000,100000
10881,400000,100000
10891,600000,100000
10891,400000,100000
10901,600000,100000
10901,400000,100000
10911,600000,100000
10911,400000,100000
10921,600000,100000
10921,400000,100000
10931,600000,100000
10931,400000,100000
10941,600000,100000
10941,400000,100000
10951,600000,100000
10951,400000,100000
10961,600000,100000
10961,400000,100000
10971,600000,100000
10971,400000,100000
10981,600000,100000
10981,400000,100000
11021,600000,100000
11021,400000,100000
11031,600000,100000
11031,400000,100000
11041,600000,100000
11041,400000,100000
11051,600000,100000
11051,350000,100000
11051,50000,100000
11061,600000,100000
11061,400000,100000
11071,600000,100000
11071,400000,100000
11081,600000,100000
11081,400000,100000
11091,600000,100000
11091,400000,100000
11101,600000,100000
11101,400000,100000
11111,600000,100000
11111,400000,100000
11121,600000,100000
11121,400000,100000
11131,600000,100000
11131,400000,100000
11141,600000,100000
11141,400000,100000
11151,600000,100000
11151,400000,100000
11161,600000,100000
11161,350000,100000
11161,50000,100000
11171,600000,100000
11171,400000,100000
11181,600000,100000
11181,400000,100000
11191,600000,100000
11191,400000,100000
11201,600000,100000
11201,400000,100000
11211,600000,100000
11211,400000,100000
11221,600000,100000
11221,400000,100000
11231,600000,100000
11231,400000,100000
11241,600000,100000
11241,350000,100000
11241,50000,100000
11251,600000,100000
11251,350000,100000
11251,50000,100000
11261,600000,100000
11261,400000,100000
11271,600000,100000
11271,400000,100000
11281,600000,100000
11281,400000,100000
11291,600000,100000
11291,400000,100000
11301,600000,100000
11301,400000,100000
11311,600000,100000
11311,400000,100000
11321,600000,100000
11321,400000,100000
11331,600000,100000
11331,400000,100000
11341,600000,100000
11341,400000,100000
11351,600000,100000
11351,400000,100000
11361,600000,100000
11361,400000,100000
11371,600000,100000
11371,400000,100000
11381,600000,100000
11381,400000,100000
11391,600000,100000
11391,350000,100000
11391,50000,100000
11401,600000,100000
11401,350000,100000
11401,50000,100000
11411,600000,100000
11411,350000,100000
11411,50000,100000
11421,600000,100000
11421,350000,100000
11421,50000,100000
11431,600000,100000
11431,400000,100000
11441,600000,100000
11441,400000,100000
11451,600000,100000
11451,400000,100000
11461,600000,100000
11461,400000,100000
11471,600000,100000
11471,400000,100000
11481,600000,100000
11481,400000,100000
11491,600000,100000
11491,400000,100000
11501,600000,100000
11501,400000,100000
11511,600000,100000
11511,400000,100000
11521,600000,100000
11521,350000,100000
11521,50000,100000
11531,600000,100000
11531,400000,100000
11541,600000,100000
11541,400000,100000
11551,600000,100000
11551,400000,100000
11561,600000,100000
11561,400000,100000
11571,600000,100000
11571,400000,100000
11581,600000,100000
11581,400000,100000
11591,600000,100000
11591,400000,100000
11601,600000,100000
11601,400000,100000
11611,600000,100000
11611,400000,100000
11621,600000,100000
11621,400000,100000
11631,600000,100000
11631,400000,100000
11641,600000,100000
11641,350000,100000
11641,50000,100000
11651,600000,100000
11651,400000,100000
11661,600000,100000
11661,400000,100000
11671,600000,100000
11671,400000,100000
11681,600000,100000
11681,350000,100000
11681,50000,100000
11691,600000,100000
11691,400000,100000
11701,600000,100000
11701,400000,100000
11711,600000,100000
11711,400000,100000
11721,600000,100000
11721,400000,100000
11731,600000,100000
11731,400000,100000
11741,600000,100000
11741,400000,100000
11751,600000,100000
11751,400000,100000
11761,600000,100000
11761,400000,100000
11771,600000,100000
11771,400000,100000
11781,600000,100000
11781,400000,100000
11791,600000,100000
11791,350000,100000
11791,50000,100000
11801,600000,100000
11801,400000,100000
11811,600000,100000
11811,400000,100000
11821,600000,100000
11821,400000,100000
11831,600000,100000
11831,350000,100000
11831,50000,100000
11841,600000,100000
11841,400000,100000
11851,600000,100000
11851,400000,100000
11861,600000,100000
11861,400000,100000
11871,600000,100000
11871,400000,100000
11881,600000,100000
11881,400000,100000
11891,600000,100000
11891,400000,100000
11901,600000,100000
11901,400000,100000
11911,600000,100000
11911,400000,100000
11921,600000,100000
11921,400000,100000
11931,600000,100000
11931,400000,100000
11941,600000,100000
11941,400000,100000
11951,600000,100000
11951,400000,100000
11961,600000,100000
11961,400000,100000
11971,600000,100000
11971,400000,100000
11981,600000,100000
11981,400000,100000
11991,600000,100000
11991,350000,100000
11991,50000,100000
12001,600000,100000
12001,400000,100000
12011,600000,100000
12011,400000,100000
12021,600000,100000
12021,400000,100000
12031,600000,100000
12031,400000,100000
12041,600000,100000
12041,400000,100000
12051,600000,100000
12051,400000,100000
12061,600000,100000
12061,400000,100000
12071,600000,100000
12071,400000,100000
12081,600000,100000
12081,400000,100000
12091,600000,100000
12091,400000,100000
12101,600000,100000
12101,400000,100000
12111,600000,100000
12111,400000,100000
12121,600000,100000
12121,400000,100000
12131,600000,100000
12131,400000,100000
12141,600000,100000
12141,400000,100000
12151,600000,100000
12151,400000,100000
12161,600000,100000
12161,400000,100000
12171,600000,100000
12171,400000,100000
12181,600000,100000
12181,400000,100000
12191,600000,100000
12191,400000,100000
12201,600000,100000
12201,400000,100000
12211,600000,100000
12211,400000,100000
12221,600000,100000
12221,350000,100000
12221,50000,100000
12231,600000,100000
12231,400000,100000
12241,600000,100000
12241,400000,100000
12251,600000,100000
12251,400000,100000
12261,600000,100000
12261,350000,100000
12261,50000,100000
12271,600000,100000
12271,400000,100000
12281,600000,100000
12281,400000,100000
12291,600000,100000
12291,400000,100000
12301,600000,100000
12301,400000,100000
12311,600000,100000
12311,400000,100000
12321,600000,100000
12321,400000,100000
12331,600000,100000
12331,400000,100000
12341,600000,100000
12341,400000,100000
12351,600000,100000
12351,350000,100000
12351,50000,100000
12361,600000,100000
12361,400000,100000
12371,600000,100000
12371,400000,100000
12381,600000,100000
12381,400000,100000
12391,600000,100000
12391,400000,100000
12401,600000,100000
12401,350000,100000
12401,50000,100000
12411,600000,100000
12411,350000,100000
12411,50000,100000
12421,600000,100000
12421,400000,100000
12431,600000,100000
12431,400000,100000
12441,600000,100000
12441,350000,100000
12441,50000,100000
12451,600000,100000
12451,400000,100000
12461,600000,100000
12461,400000,100000
12471,600000,100000
12471,400000,100000
12481,600000,100000
12481,400000,100000
12491,600000,100000
12491,400000,100000
12501,600000,100000
12501,400000,100000
12511,600000,100000
12511,400000,100000
12521,600000,100000
12521,400000,100000
12531,600000,100000
12531,350000,100000
12531,50000,100000
12541,600000,100000
12541,400000,100000
12551,600000,100000
12551,400000,100000
12561,600000,100000
12561,400000,100000
12571,600000,100000
12571,400000,100000
12581,600000,100000
12581,400000,100000
12591,600000,100000
12591,350000,100000
12591,50000,100000
12601,600000,100000
12601,400000,100000
12611,600000,100000
12611,400000,100000
12621,600000,100000
12621,400000,100000
12631,600000,100000
12631,400000,100000
12641,600000,100000
12641,350000,100000
12641,50000,100000
12651,600000,100000
12651,400000,100000
12661,600000,100000
12661,400000,100000
12671,600000,100000
12671,350000,100000
12671,50000,100000
12681,600000,100000
12681,400000,100000
12691,600000,100000
12691,400000,100000
12701,600000,100000
12701,350000,100000
12701,50000,100000
12711,600000,100000
12711,400000,100000
12721,600000,100000
12721,400000,100000
12731,600000,100000
12731,400000,100000
12741,600000,100000
12741,400000,100000
12751,600000,100000
12751,400000,100000
12761,600000,100000
12761,400000,100000
12771,600000,100000
12771,400000,100000
12781,600000,100000
12781,400000,100000
12791,600000,100000
12791,400000,100000
12801,600000,100000
12801,400000,100000
12811,600000,100000
12811,400000,100000
12821,600000,100000
12821,400000,100000
12831,600000,100000
12831,350000,100000
12831,50000,100000
12841,600000,100000
12841,400000,100000
12851,600000,100000
12851,350000,100000
12851,50000,100000
12861,600000,100000
12861,400000,100000
12871,600000,100000
12871,400000,100000
12881,600000,100000
12881,400000,100000
12891,600000,100000
12891,400000,100000
12901,600000,100000
12901,400000,100000
12911,600000,100000
12911,400000,100000
12921,600000,100000
12921,350000,100000
12921,50000,100000
12931,600000,100000
12931,350000,100000
12931,50000,100000
20011,600000,100000
20011,350000,100000
20011,50000,100000
20021,600000,100000
20021,350000,100000
20021,50000,100000
20031,600000,100000
20031,350000,100000
20031,50000,100000
20041,600000,100000
20041,350000,100000
20041,50000,100000
20071,600000,100000
20071,350000,100000
20071,50000,100000
20081,600000,100000
20081,350000,100000
20081,50000,100000
20091,600000,100000
20091,350000,100000
20091,50000,100000
20101,600000,100000
20101,350000,100000
20101,50000,100000
20111,600000,100000
20111,350000,100000
20111,50000,100000
20121,600000,100000
20121,350000,100000
20121,50000,100000
20131,600000,100000
20131,350000,100000
20131,50000,100000
20141,600000,100000
20141,350000,100000
20141,50000,100000
20161,600000,100000
20161,350000,100000
20161,50000,100000
20171,600000,100000
20171,350000,100000
20171,50000,100000
20181,600000,100000
20181,350000,100000
20181,50000,100000
20211,600000,100000
20211,350000,100000
20211,50000,100000
20221,600000,100000
20221,350000,100000
20221,50000,100000
20231,600000,100000
20231,350000,100000
20231,50000,100000
20261,600000,100000
20261,350000,100000
20261,50000,100000
20271,600000,100000
20271,350000,100000
20271,50000,100000
20281,600000,100000
20281,350000,100000
20281,50000,100000
20291,600000,100000
20291,350000,100000
20291,50000,100000
20301,600000,100000
20301,350000,100000
20301,50000,100000
20311,600000,100000
20311,350000,100000
20311,50000,100000
20321,600000,100000
20321,350000,100000
20321,50000,100000
20361,600000,100000
20361,350000,100000
20361,50000,100000
20371,600000,100000
20371,350000,100000
20371,50000,100000
20381,600000,100000
20381,350000,100000
20381,50000,100000
20401,600000,100000
20401,350000,100000
20401,50000,100000
20421,600000,100000
20421,350000,100000
20421,50000,100000
20431,600000,100000
20431,350000,100000
20431,50000,100000
20441,600000,100000
20441,350000,100000
20441,50000,100000
20451,600000,100000
20451,350000,100000
20451,50000,100000
20491,600000,100000
20491,350000,100000
20491,50000,100000
20651,600000,100000
20651,350000,100000
20651,50000,100000
20661,600000,100000
20661,350000,100000
20661,50000,100000
20701,600000,100000
20701,350000,100000
20701,50000,100000
20721,600000,100000
20721,350000,100000
20721,50000,100000
20751,600000,100000
20751,350000,100000
20751,50000,100000
20771,600000,100000
20771,350000,100000
20771,50000,100000
20791,600000,100000
20791,350000,100000
20791,50000,100000
20821,600000,100000
20821,350000,100000
20821,50000,100000
20881,600000,100000
20881,350000,100000
20881,50000,100000
20891,600000,100000
20891,350000,100000
20891,50000,100000
20921,600000,100000
20921,350000,100000
20921,50000,100000
20941,600000,100000
20941,350000,100000
20941,50000,100000
20961,600000,100000
20961,350000,100000
20961,50000,100000
21051,600000,100000
21051,350000,100000
21051,50000,100000
21061,600000,100000
21061,350000,100000
21061,50000,100000
21071,600000,100000
21071,350000,100000
21071,50000,100000
21081,600000,100000
21081,350000,100000
21081,50000,100000
21091,600000,100000
21091,350000,100000
21091,50000,100000
21141,600000,100000
21141,350000,100000
21141,50000,100000
21211,600000,100000
21211,350000,100000
21211,50000,100000
21231,600000,100000
21231,350000,100000
21231,50000,100000
21241,600000,100000
21241,350000,100000
21241,50000,100000
21251,600000,100000
21251,350000,100000
21251,50000,100000
21261,600000,100000
21261,350000,100000
21261,50000,100000
21271,600000,100000
21271,350000,100000
21271,50000,100000
21281,600000,100000
21281,350000,100000
21281,50000,100000
21291,600000,100000
21291,350000,100000
21291,50000,100000
21301,600000,100000
