HERO_GROUP_ID,MATERIAL_ID_1,MATERIAL_QTY_1,MATERIAL_ID_2,MATERIAL_QTY_2,MATERIAL_ID_3,MATERIAL_QTY_3,MATERIAL_ID_4,MATERIAL_QTY_4,MATERIAL_ID_5,MATERIAL_QTY_5,REQ_COIN,REQ_TIER
1,1000001,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
2,1000002,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
3,1000003,75,1020002,150,1070001,400,1020005,500,0,0,2500000,1
4,1000004,75,1020004,150,1070001,400,1020005,500,0,0,2500000,1
5,1000005,75,1020002,150,1070001,400,1020005,500,0,0,2500000,1
6,1000006,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
7,1000007,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
8,1000008,75,1020004,150,1070001,400,1020005,500,0,0,2500000,1
9,1000009,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
10,1000010,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
11,1000011,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
12,1000012,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
13,1000013,75,1020004,150,1070001,400,1020005,500,0,0,2500000,1
14,1000014,75,1020004,150,1070001,400,1020005,500,0,0,2500000,1
15,1000015,75,1020002,150,1070001,400,1020005,500,0,0,2500000,1
16,1000016,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
17,1000017,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
18,1000018,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
19,1000019,75,1020002,150,1070001,400,1020005,500,0,0,2500000,1
20,1000020,75,1020002,150,1070001,400,1020005,500,0,0,2500000,1
21,1000021,75,1020004,150,1070001,400,1020005,500,0,0,2500000,1
22,1000022,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
23,1000023,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
24,1000024,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
25,1000025,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
26,1000026,75,1020004,150,1070001,400,1020005,500,0,0,2500000,1
27,1000027,75,1020002,150,1070001,400,1020005,500,0,0,2500000,1
29,1000029,75,1020002,150,1070001,400,1020005,500,0,0,2500000,1
30,1000030,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
31,1000031,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
32,1000032,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
33,1000033,75,1020003,150,1070001,400,1020005,500,0,0,2500000,1
34,1000034,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
35,1000035,75,1020001,150,1070001,400,1020005,500,0,0,2500000,1
