VIP_LEVEL,HIDDEN_ABILITY_1,HIDDEN_ABILITY_2,HIDDEN_ABILITY_3,HIDDEN_ABILITY_4,HIDDEN_ABILITY_5,GRADE
0,0,0,0,0,0,1
1,1201,0,0,0,0,2
2,1201,0,0,0,0,2
3,1201,0,0,0,0,2
4,1201,0,0,0,0,2
5,1301,1302,0,0,0,3
6,1301,1302,0,0,0,3
7,1301,1302,0,0,0,3
8,1301,1302,0,0,0,3
9,1301,1302,0,0,0,3
10,1401,1402,1403,0,0,4
11,1401,1402,1403,0,0,4
12,1401,1402,1403,0,0,4
13,1401,1402,1403,0,0,4
14,1401,1402,1403,0,0,4
15,1501,1502,1503,1504,0,5
16,1501,1502,1503,1504,0,5
17,1501,1502,1503,1504,0,5
18,1501,1502,1503,1504,0,5
19,1501,1502,1503,1504,0,5
20,1601,1602,1603,1604,1605,6
