HIDDEN_STAGE_GROUP,STAGE_ID
711,71101
711,71102
711,71103
711,71104
711,71105
711,71106
713,71301
713,71302
713,71303
713,71304
713,71305
713,71306
714,71401
714,71402
714,71403
714,71404
714,71405
714,71406
715,71501
715,71502
715,71503
715,71504
715,71505
715,71506
716,71601
716,71602
716,71603
716,71604
716,71605
716,71606
717,71701
717,71702
717,71703
717,71704
717,71705
717,71706
718,71801
718,71802
718,71803
718,71804
718,71805
718,71806
719,71901
719,71902
719,71903
719,71904
719,71905
719,71906
720,72001
720,72002
720,72003
720,72004
720,72005
720,72006
721,72101
721,72102
721,72103
721,72104
721,72105
721,72106
722,72201
722,72202
722,72203
722,72204
722,72205
722,72206
723,72301
723,72302
723,72303
723,72304
723,72305
723,72306
724,72401
724,72402
724,72403
724,72404
724,72405
724,72406
725,72501
725,72502
725,72503
725,72504
725,72505
725,72506
726,72601
726,72602
726,72603
726,72604
726,72605
726,72606
