SOUR,DEST,DEST_ALPHA,DEST_PATH,X,Y,W,H
EpicQuest_1_01,img_1,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_1_02,img_1,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_1_03,img_2,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_1_04,img_2,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_13_01,img_3,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_13_02,img_3,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_2_01,img_4,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_2_04,img_4,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_3_02,img_5,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_3_05,img_5,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_4_02,img_6,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_4_03,img_6,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_5_03,img_7,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_5_04,img_7,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_6_01,img_8,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_6_02,img_8,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest_6_04,img_9,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest_6_06,img_9,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest01,img_10,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest02,img_10,,ui/stage/,0.4980469,0,0.4921875,0.8652344
EpicQuest03,img_11,,ui/stage/,0,0,0.4921875,0.8652344
EpicQuest04,img_11,,ui/stage/,0.4980469,0,0.4921875,0.8652344
cc_0001,img_1,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0002,img_1,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0003,img_1,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0004,img_1,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0005,img_1,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0006,img_1,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0007,img_2,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0008,img_2,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0009,img_2,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0010,img_2,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
