SET_ID,SET_1,SET_2,SET_3,SET_4,SET_5,SET_6,SET_7,SET_8,BUFF_GROUP_ID,PRICE,CHANGE_ID,SET_TYPE
1,200,202,203,0,0,0,0,0,1,10000,1,0
2,201,202,203,0,0,0,0,0,2,10000,2,0
3,202,204,207,0,0,0,0,0,3,10000,3,0
4,203,204,207,0,0,0,0,0,4,10000,4,0
5,200,202,204,0,0,0,0,0,5,10000,5,0
6,201,203,205,0,0,0,0,0,6,10000,6,0
7,202,203,206,0,0,0,0,0,7,10000,7,0
8,200,201,204,0,0,0,0,0,8,10000,8,0
9,200,201,206,0,0,0,0,0,9,10000,9,0
10,202,203,205,0,0,0,0,0,10,10000,10,0
11,200,201,207,0,0,0,0,0,11,10000,11,0
12,202,203,207,0,0,0,0,0,12,10000,12,0
13,200,202,203,207,0,0,0,0,13,10000,13,0
14,201,202,203,207,0,0,0,0,14,10000,14,0
15,200,202,205,207,0,0,0,0,15,10000,15,0
16,201,203,206,207,0,0,0,0,16,10000,16,0
17,202,203,204,206,0,0,0,0,17,10000,17,0
18,201,202,205,207,0,0,0,0,18,10000,18,0
19,200,201,204,207,0,0,0,0,19,10000,19,0
20,200,201,206,207,0,0,0,0,20,10000,20,0
21,200,202,203,205,0,0,0,0,21,10000,21,0
22,201,202,203,204,0,0,0,0,22,10000,22,0
23,202,203,204,207,0,0,0,0,23,10000,23,0
24,201,203,205,207,0,0,0,0,24,10000,24,0
25,200,202,204,207,0,0,0,0,25,10000,25,0
26,202,203,205,207,0,0,0,0,26,10000,26,0
27,201,203,204,206,0,0,0,0,27,10000,27,0
28,200,201,205,207,0,0,0,0,28,10000,28,0
29,202,203,207,207,0,0,0,0,29,10000,29,0
30,200,202,203,205,205,207,0,0,30,10000,30,0
31,201,202,203,205,207,207,0,0,31,10000,31,0
32,200,202,203,204,204,207,0,0,32,10000,32,0
33,201,202,203,204,204,206,0,0,33,10000,33,0
34,200,202,203,204,205,207,0,0,34,10000,34,0
35,201,202,203,204,206,207,0,0,35,10000,35,0
36,200,202,203,204,206,207,0,0,36,10000,36,0
37,200,202,203,205,207,207,0,0,37,10000,37,0
38,201,202,203,204,205,206,0,0,38,10000,38,0
39,201,202,203,205,206,207,0,0,39,10000,39,0
40,200,201,202,205,206,207,0,0,40,10000,40,0
41,202,202,203,203,204,207,0,0,41,10000,41,0
42,200,201,202,203,205,204,207,207,42,10000,42,1
43,200,201,202,203,204,206,207,207,43,10000,43,0
44,200,201,202,202,203,203,204,207,44,10000,44,0
45,200,201,202,202,203,203,207,207,45,10000,45,2
46,200,201,202,203,205,206,207,207,46,10000,46,0
47,200,201,202,203,204,205,206,207,47,10000,47,3
48,200,201,202,203,205,207,207,207,48,10000,48,1
49,202,202,203,203,204,206,207,207,49,10000,49,0
50,200,201,202,203,207,207,0,0,50,10000,50,0
51,202,202,203,203,207,207,0,0,51,10000,51,0
52,201,202,203,204,205,207,0,0,52,10000,52,0
53,200,201,202,204,207,207,0,0,53,10000,53,0
54,200,201,202,203,204,207,0,0,54,10000,54,0
55,200,201,205,206,207,207,0,0,55,10000,55,0
56,200,200,201,202,203,205,207,207,56,10000,56,1
57,200,201,202,202,203,203,206,207,57,10000,57,0
58,200,201,202,203,203,204,205,207,58,10000,58,2
59,200,201,202,203,204,207,207,207,59,10000,59,3
60,200,201,202,202,203,206,204,207,60,10000,60,0
61,200,201,201,202,203,206,207,207,61,10000,61,0
