LEADER_BOARD_ID,LEADER_IOS,LEADER_AOS,LEADER_IOS_CN
1,CgkIhtejn9wHEAIQAQ,CgkIhtejn9wHEAIQAQ,marvle_leader_01
2,CgkIhtejn9wHEAIQCQ,CgkIhtejn9wHEAIQCQ,marvle_leader_02
3,CgkIhtejn9wHEAIQCg,CgkIhtejn9wHEAIQCg,marvle_leader_03
4,CgkIhtejn9wHEAIQCw,CgkIhtejn9wHEAIQCw,marvle_leader_04
5,CgkIhtejn9wHEAIQDA,CgkIhtejn9wHEAIQDA,marvle_leader_05
6,CgkIhtejn9wHEAIQDQ,CgkIhtejn9wHEAIQDQ,marvle_leader_06
7,CgkIhtejn9wHEAIQDg,CgkIhtejn9wHEAIQDg,marvle_leader_07
8,CgkIhtejn9wHEAIQDw,CgkIhtejn9wHEAIQDw,marvle_leader_08
9,CgkIhtejn9wHEAIQEA,CgkIhtejn9wHEAIQEA,marvle_leader_09
10,CgkIhtejn9wHEAIQEQ,CgkIhtejn9wHEAIQEQ,marvle_leader_10
11,CgkIhtejn9wHEAIQEg,CgkIhtejn9wHEAIQEg,marvle_leader_11
12,CgkIhtejn9wHEAIQEw,CgkIhtejn9wHEAIQEw,marvle_leader_12
