LEVEL,REQ_SHIELD_LEVEL,REQ_GOLD,REQ_ITEM_ID_1,REQ_ITEM_QTY_1,REQ_ITEM_ID_2,REQ_ITEM_QTY_2,REQ_ITEM_ID_3,REQ_ITEM_QTY_3,TIME,MAX_ANTIMATTER,ANTIMATTER,ICON
1,1,0,0,0,0,0,0,0,1800,240,20,shield_lab_obj01
2,3,8500,10199001,20,0,0,0,0,1800,440,36,shield_lab_obj01
3,5,18800,10199001,30,0,0,0,0,1800,660,55,shield_lab_obj01
4,7,32800,10199001,40,0,0,0,0,1800,930,77,shield_lab_obj01
5,10,61800,10199001,50,0,0,0,0,1800,1430,119,shield_lab_obj01
6,14,125400,10199001,60,10199003,50,0,0,1800,2150,179,shield_lab_obj01
7,18,228300,10199001,75,10199003,60,0,0,1800,3020,251,shield_lab_obj01
8,22,385400,10199001,90,10199003,70,0,0,1800,4280,356,shield_lab_obj01
9,26,615500,10199001,105,10199003,80,0,0,1800,5440,453,shield_lab_obj01
10,30,952300,10199001,120,10199003,90,0,0,1800,7100,591,shield_lab_obj01
11,34,1444300,10199001,140,10199003,110,10199004,50,1800,8560,713,shield_lab_obj01
12,38,2144800,10199001,160,10199003,130,10199004,75,1800,10140,845,shield_lab_obj01
13,42,3026000,10199001,180,10199003,150,10199004,100,1800,12720,1060,shield_lab_obj01
14,46,4017500,10199001,200,10199003,170,10199004,125,1800,14640,1220,shield_lab_obj01
15,50,5211900,10199001,220,10199003,190,10199004,150,1800,18120,1510,shield_lab_obj01
