LEVEL,REQ_SHIELD_LEVEL,REQ_ANTIMATTER,REQ_GOLD,REQ_ITEM_ID_1,REQ_ITEM_QTY_1,REQ_ITEM_ID_2,REQ_ITEM_QTY_2,REQ_ITEM_ID_3,REQ_ITEM_QTY_3,ICON,JACKPOT_PROB
1,1,5100,1700,10199001,5,0,0,0,0,shield_lab_obj03,500
2,3,9200,7400,10199001,10,0,0,0,0,shield_lab_obj03,600
3,5,14100,16400,10199001,15,0,0,0,0,shield_lab_obj03,700
4,7,19700,28700,10199001,20,0,0,0,0,shield_lab_obj03,800
5,10,30400,54100,10199001,25,0,0,0,0,shield_lab_obj03,800
6,14,45700,109700,10199001,35,10199003,20,0,0,shield_lab_obj03,900
7,18,64100,199800,10199001,45,10199003,30,0,0,shield_lab_obj03,1000
8,22,90800,337300,10199001,55,10199003,40,0,0,shield_lab_obj03,1000
9,26,115600,538600,10199001,65,10199003,50,0,0,shield_lab_obj03,1000
10,30,150800,833200,10199001,75,10199003,60,0,0,shield_lab_obj03,1000
11,34,181900,1263700,10199001,90,10199003,75,10199004,50,shield_lab_obj03,1000
12,38,215500,1876700,10199001,105,10199003,90,10199004,60,shield_lab_obj03,1000
13,42,270300,2647700,10199001,120,10199003,105,10199004,70,shield_lab_obj03,1000
14,46,311100,3515300,10199001,135,10199003,120,10199004,80,shield_lab_obj03,1000
15,50,385100,4560400,10199001,150,10199003,135,10199004,90,shield_lab_obj03,1000
