CATEGORY_ID,ORDER,UNLOCK_LEVEL,REWARD_TYPE,REWARD_VALUE,REWARD_QTY,JACKPOT_REWARD_TYPE,JACKPOT_REWARD_VALUE,JACKPOT_REWARD_QTY,COST_ANTIMATTER,MATERIAL_ID_1,MATERIAL_QTY_1,MATERIAL_ID_2,MATERIAL_QTY_2,MATERIAL_ID_3,MATERIAL_QTY_3,MATERIAL_ID_4,MATERIAL_QTY_4,MATERIAL_ID_5,MATERIAL_QTY_5,MATERIAL_TYPE_1,MATERIAL_TYPE_2,MATERIAL_TYPE_3,MATERIAL_TYPE_4,MATERIAL_TYPE_5,COST_CASH,EXCHANGE_COUNT_CASH
1,1,1,300,1551,1,300,1551,2,3000,10199001,30,1100001,10,0,0,0,0,0,0,100,100,0,0,0,25,40
1,2,1,300,1506,1,300,1506,2,1500,10199001,15,1020001,5,0,0,0,0,0,0,100,100,0,0,0,25,40
1,3,1,300,1508,1,300,1508,2,1500,10199001,15,1020002,5,0,0,0,0,0,0,100,100,0,0,0,25,40
1,4,1,300,1507,1,300,1507,2,1500,10199001,15,1020003,5,0,0,0,0,0,0,100,100,0,0,0,25,40
1,5,1,300,1509,1,300,1509,2,1500,10199001,15,1020004,5,0,0,0,0,0,0,100,100,0,0,0,25,40
2,1,1,100,1020001,5,100,1020001,8,3500,10199001,15,1020004,5,0,0,0,0,0,0,100,100,0,0,0,25,40
2,2,1,100,1020002,5,100,1020002,8,3500,10199001,15,1020001,5,0,0,0,0,0,0,100,100,0,0,0,25,40
2,3,1,100,1020003,5,100,1020003,8,3500,10199001,15,1020002,5,0,0,0,0,0,0,100,100,0,0,0,25,40
2,4,1,100,1020004,5,100,1020004,8,3500,10199001,15,1020003,5,0,0,0,0,0,0,100,100,0,0,0,25,40
2,5,5,100,10199001,5,100,10199001,8,3500,10199002,15,0,0,0,0,0,0,0,0,100,0,0,0,0,25,40
2,6,5,100,10199002,5,100,10199002,8,3500,10199001,15,0,0,0,0,0,0,0,0,100,0,0,0,0,25,40
2,7,13,100,1100001,5,100,1100001,8,3500,10199001,20,10199002,15,0,0,0,0,0,0,100,100,0,0,0,25,40
2,8,13,100,1120001,5,100,1120001,8,7000,10199002,20,1110001,10,1070001,5,0,0,0,0,100,100,100,0,0,50,20
2,9,13,100,1110001,5,100,1110001,8,7000,10199002,20,1120001,10,1070001,5,0,0,0,0,100,100,100,0,0,50,20
2,10,14,100,1020005,5,100,1020005,8,7000,10199002,20,1070001,10,1110001,5,0,0,0,0,100,100,100,0,0,50,20
2,11,14,100,1070001,5,100,1070001,8,7000,10199002,20,1020005,10,1110001,5,0,0,0,0,100,100,100,0,0,50,20
3,1,12,100,3005,5,100,3005,8,3500,10199001,10,10199003,5,10199004,5,0,0,0,0,100,100,100,0,0,25,40
3,2,15,100,10199007,5,100,10199007,8,7000,10199001,50,10199003,10,10199004,10,1110001,30,0,0,100,100,100,100,0,50,20
4,1,8,300,1510,1,300,1511,1,7000,10199001,20,1110001,15,10199003,30,0,0,0,0,100,100,100,0,0,50,20
4,2,9,100,7104,1,100,7104,2,7000,10199001,50,1110001,30,10199003,30,0,0,0,0,100,100,100,0,0,50,20
4,3,10,300,1512,1,300,1513,1,7000,10199001,20,1110001,15,10199004,30,0,0,0,0,100,100,100,0,0,50,20
4,4,11,300,1514,1,300,1515,1,7000,10199001,20,1110001,15,10199002,30,0,0,0,0,100,100,100,0,0,50,20
4,5,15,300,1516,1,300,1517,1,7000,10199001,20,1110001,15,10199002,20,0,0,0,0,100,100,100,0,0,50,20
