LEVEL,REQ_SHIELD_LEVEL,REQ_GOLD,REQ_ITEM_ID_1,REQ_ITEM_QTY_1,REQ_ITEM_ID_2,REQ_ITEM_QTY_2,REQ_ITEM_ID_3,REQ_ITEM_QTY_3,BUY_GOODS_COUNT,RENEW_TIME,GOODS_GROUP_ID,RENEW_CNT,RENEW_CNT_FREE,RENEW_PRICE_TYPE,RENEW_PRICE_VALUE,RENEW_PRICE_QTY
1,1,0,0,0,0,0,0,0,6,21600,1,10,1,100,46,100
2,3,6900,10199001,10,0,0,0,0,6,21600,2,10,1,100,46,99
3,5,15200,10199001,15,0,0,0,0,6,21600,3,10,1,100,46,97
4,7,26600,10199001,20,0,0,0,0,6,21600,4,10,1,100,46,96
5,10,50200,10199001,25,0,0,0,0,6,21600,5,10,1,100,46,94
6,14,101900,10199001,35,10199003,20,0,0,6,21600,6,10,1,100,46,93
7,18,185500,10199001,45,10199003,30,0,0,6,21600,7,10,1,100,46,91
8,22,313200,10199001,55,10199003,40,0,0,6,21600,8,10,1,100,46,90
9,26,500100,10199001,65,10199003,50,0,0,6,21600,9,10,1,100,46,88
10,30,773700,10199001,75,10199003,60,0,0,6,21600,10,10,1,100,46,87
11,34,1173500,10199001,90,10199003,75,10199004,50,6,21600,11,10,1,100,46,85
12,38,1742700,10199001,105,10199003,90,10199004,60,6,21600,12,10,1,100,46,84
13,42,2458600,10199001,120,10199003,105,10199004,70,6,21600,13,10,1,100,46,82
14,46,3264200,10199001,135,10199003,120,10199004,80,6,21600,14,10,1,100,46,81
15,50,4234700,10199001,150,10199003,135,10199004,90,6,21600,15,10,1,100,46,79
