LEVEL,REQ_SHIELD_LEVEL,REQ_ANTIMATTER,REQ_GOLD,REQ_ITEM_ID_1,REQ_ITEM_QTY_1,REQ_ITEM_ID_2,REQ_ITEM_QTY_2,REQ_ITEM_ID_3,REQ_ITEM_QTY_3,ICON,GROUP_ID,WARP_GRADE1_RATE,WARP_GRADE2_RATE,WARP_GRADE3_RATE,WARP_GRADE4_RATE,WARP_GRADE5_RATE,WARP_GRADE6_RATE
1,1,0,0,0,0,0,0,0,0,shield_lab_obj02,1,10000,0,0,0,0,0
2,3,7600,6400,10199001,10,0,0,0,0,shield_lab_obj02,1,9500,0,0,0,0,0
3,5,11600,14100,10199001,20,0,0,0,0,shield_lab_obj02,2,9500,0,0,0,0,0
4,7,16200,24600,10199001,30,0,0,0,0,shield_lab_obj02,2,9000,0,0,0,0,0
5,10,25000,46400,10199001,40,0,0,0,0,shield_lab_obj02,3,9000,0,0,0,0,0
6,14,37600,94100,10199001,50,10199003,30,0,0,shield_lab_obj02,3,8500,0,0,0,0,0
7,18,52800,171200,10199001,60,10199003,40,0,0,shield_lab_obj02,4,8500,0,0,0,0,0
8,22,74800,289100,10199001,70,10199003,50,0,0,shield_lab_obj02,4,8000,0,0,0,0,0
9,26,95200,461700,10199001,80,10199003,60,0,0,shield_lab_obj02,5,8000,0,0,0,0,0
10,30,124200,714200,10199001,90,10199003,70,0,0,shield_lab_obj02,5,7500,0,0,0,0,0
11,34,149800,1083200,10199001,110,10199003,85,10199004,30,shield_lab_obj02,6,7500,0,0,0,0,0
12,38,177500,1608600,10199001,130,10199003,100,10199004,45,shield_lab_obj02,6,7000,0,0,0,0,0
13,42,222600,2269500,10199001,150,10199003,115,10199004,60,shield_lab_obj02,6,6500,0,0,0,0,0
14,46,256200,3013100,10199001,170,10199003,130,10199004,75,shield_lab_obj02,6,6000,0,0,0,0,0
15,50,317100,3909000,10199001,190,10199003,145,10199004,90,shield_lab_obj02,6,5500,0,0,0,0,0
