REWARD_ID,HERO_BONUS_LEVEL,TOTAL_HERO_BONUS_POINT,REWARD_LEVEL,BATTLE_POINT,VIP,REWARD_TERM,TICKET,PICK_ID,ICON
10101,1,0,1,0,0,1,5,310101,chest_multi_reward_shield
10102,1,0,1,0,0,0,5,310102,chest_multi_reward_1
10103,1,0,1,0,1,0,5,310103,gold
10104,1,0,1,0,3,0,5,310104,gearup_kit_02
10105,1,0,1,0,5,0,5,310105,ISO8_PINK
10106,1,0,1,0,7,0,5,310106,gearup_kit_01
10107,1,0,1,0,9,0,5,310107,icon_multi_reward_nornstone
10108,1,0,1,0,12,0,5,310108,ISO8_PINK
10109,1,0,1,0,15,0,5,310109,icon_multi_reward_biometrics
10110,1,0,1,0,17,0,5,310110,icon_multi_reward_uru
10111,1,0,1,0,20,0,5,310111,chest_multi_reward_1
10201,1,0,2,500000,0,1,5,310201,chest_multi_reward_shield
10202,1,0,2,500000,0,0,5,310202,chest_multi_reward_1
10203,1,0,2,500000,1,0,5,310203,gold
10204,1,0,2,500000,3,0,5,310204,gearup_kit_02
10205,1,0,2,500000,5,0,5,310205,ISO8_PINK
10206,1,0,2,500000,7,0,5,310206,gearup_kit_01
10207,1,0,2,500000,9,0,5,310207,icon_multi_reward_nornstone
10208,1,0,2,500000,12,0,5,310208,ISO8_PINK
10209,1,0,2,500000,15,0,5,310209,icon_multi_reward_biometrics
10210,1,0,2,500000,17,0,5,310210,icon_multi_reward_uru
10211,1,0,2,500000,20,0,5,310211,chest_multi_reward_1
10301,1,0,3,1500000,0,1,5,310301,chest_multi_reward_shield
10302,1,0,3,1500000,0,0,5,310302,chest_multi_reward_1
10303,1,0,3,1500000,1,0,5,310303,gold
10304,1,0,3,1500000,3,0,5,310304,gearup_kit_02
10305,1,0,3,1500000,5,0,5,310305,ISO8_PINK
10306,1,0,3,1500000,7,0,5,310306,gearup_kit_01
10307,1,0,3,1500000,9,0,5,310307,icon_multi_reward_nornstone
10308,1,0,3,1500000,12,0,5,310308,ISO8_PINK
10309,1,0,3,1500000,15,0,5,310309,icon_multi_reward_biometrics
10310,1,0,3,1500000,17,0,5,310310,icon_multi_reward_uru
10311,1,0,3,1500000,20,0,5,310311,chest_multi_reward_1
10401,1,0,4,3200000,0,1,5,310401,chest_multi_reward_shield
10402,1,0,4,3200000,0,0,5,310402,chest_multi_reward_2
10403,1,0,4,3200000,1,0,5,310403,gold
10404,1,0,4,3200000,3,0,5,310404,gearup_kit_02
10405,1,0,4,3200000,5,0,5,310405,ISO8_PINK
10406,1,0,4,3200000,7,0,5,310406,gearup_kit_01
10407,1,0,4,3200000,9,0,5,310407,icon_multi_reward_nornstone
10408,1,0,4,3200000,12,0,5,310408,ISO8_PINK
10409,1,0,4,3200000,15,0,5,310409,icon_multi_reward_biometrics
10410,1,0,4,3200000,17,0,5,310410,icon_multi_reward_uru
10411,1,0,4,3200000,20,0,5,310411,chest_multi_reward_2
10501,1,0,5,5600000,0,1,5,310501,chest_multi_reward_shield
10502,1,0,5,5600000,0,0,5,310502,chest_multi_reward_3
10503,1,0,5,5600000,1,0,5,310503,gold
10504,1,0,5,5600000,3,0,5,310504,gearup_kit_02
10505,1,0,5,5600000,5,0,5,310505,ISO8_PINK
10506,1,0,5,5600000,7,0,5,310506,gearup_kit_01
10507,1,0,5,5600000,9,0,5,310507,icon_multi_reward_nornstone
10508,1,0,5,5600000,12,0,5,310508,ISO8_PINK
10509,1,0,5,5600000,15,0,5,310509,icon_multi_reward_biometrics
10510,1,0,5,5600000,17,0,5,310510,icon_multi_reward_uru
10511,1,0,5,5600000,20,0,5,310511,chest_multi_reward_3
10601,1,0,6,8800000,0,1,5,310601,chest_multi_reward_shield
10602,1,0,6,8800000,0,0,5,310602,chest_multi_reward_4
10603,1,0,6,8800000,1,0,5,310603,gold
10604,1,0,6,8800000,3,0,5,310604,gearup_kit_02
10605,1,0,6,8800000,5,0,5,310605,ISO8_PINK
10606,1,0,6,8800000,7,0,5,310606,gearup_kit_01
10607,1,0,6,8800000,9,0,5,310607,icon_multi_reward_nornstone
10608,1,0,6,8800000,12,0,5,310608,ISO8_PINK
10609,1,0,6,8800000,15,0,5,310609,icon_multi_reward_biometrics
10610,1,0,6,8800000,17,0,5,310610,icon_multi_reward_uru
10611,1,0,6,8800000,20,0,5,310611,chest_multi_reward_4
10701,1,0,7,13300000,0,1,5,310701,chest_multi_reward_shield
10702,1,0,7,13300000,0,0,5,310702,chest_multi_reward_5
10703,1,0,7,13300000,1,0,5,310703,gold
10704,1,0,7,13300000,3,0,5,310704,gearup_kit_02
