CHALLENGE_FLOOR_ID,STAGE_ID,REWARD_GROUP,HERO_TYPE,CHARACTER,GENDER,HERO_SPECIES,HERO_SUBTYPE,HERO_GROUP_ID,BOSS_MOB_ID,MOB_ID_1,MOB_ID_2,MOB_ID_3,MOB_ID_4,MOB_ID_5
1,760101,200010001,-1,500,-1,300,-1,-1,1290760101,1226760101,0,0,0,0
2,760110,200010002,0,-1,-1,-1,401,-1,1312760110,1313760110,0,0,0,0
3,760124,200010003,-1,-1,-1,-1,422,-1,1296760124,0,0,0,0,0
4,760125,200010004,-1,-1,-1,301,419,-1,1297760125,1298760125,0,0,0,0
5,760126,200010005,-1,-1,-1,-1,421,-1,1299760126,0,0,0,0,0
6,760103,200010006,2,-1,-1,-1,-1,-1,1305760103,0,0,0,0,0
7,760104,200010007,-1,500,-1,301,-1,-1,1227760104,1267760104,1265760104,0,0,0
8,760108,200010008,2,-1,-1,-1,-1,-1,1292760108,0,0,0,0,0
9,760119,200010009,-1,-1,-1,-1,426,-1,1309760119,0,0,0,0,0
10,760111,200010010,-1,500,-1,304,-1,-1,1284760111,0,0,0,0,0
11,760114,200010011,-1,-1,-1,-1,423,-1,1286760114,0,0,0,0,0
12,760115,200010012,-1,-1,-1,-1,407,-1,1234760115,0,0,0,0,0
13,760123,200010013,2,-1,-1,300,-1,-1,692760123,0,0,0,0,0
14,760107,200010014,-1,-1,-1,-1,-1,7,207760107,0,0,0,0,0
15,760109,200010015,-1,500,-1,-1,-1,-1,1293760109,1294760109,0,0,0,0
16,760120,200010016,-1,-1,-1,300,423,-1,1308760120,0,0,0,0,0
17,760117,200010017,-1,-1,-1,-1,409,-1,1311760117,0,0,0,0,0
18,760113,200010018,-1,501,101,-1,-1,-1,1288760113,1289760113,0,0,0,0
19,760112,200010019,1,-1,-1,304,-1,-1,1285760112,0,0,0,0,0
20,760118,200010020,-1,-1,-1,305,-1,-1,1310760118,0,0,0,0,0
21,760121,200010021,-1,500,100,304,-1,-1,731760121,1295760121,0,0,0,0
22,760116,200010022,-1,-1,-1,-1,410,-1,1287760116,0,0,0,0,0
23,760102,200010023,-1,500,-1,-1,411,-1,822760102,621760102,1141760102,1280760102,0,0
24,760106,200010024,-1,501,-1,-1,419,-1,1291760106,0,0,0,0,0
25,760105,200010025,1,-1,101,300,-1,-1,1156760105,0,0,0,0,0
26,760122,200010026,-1,-1,-1,-1,429,-1,1114760122,0,0,0,0,0
27,760127,200010027,0,501,-1,-1,-1,-1,1300760127,0,0,0,0,0
28,760128,200010028,-1,500,-1,304,-1,-1,1301760128,0,0,0,0,0
29,760129,200010029,2,500,101,-1,-1,-1,1302760129,0,0,0,0,0
30,760130,200010030,-1,-1,-1,-1,418,-1,1303760130,1304760130,0,0,0,0
