FLOOR_ID,FLOOR_TYPE,STAGE_SELECT_COUNT,STAGE_GROUP,REWARD_GROUP,FIRST_CLEAR_REWARD_TYPE,FIRST_CLEAR_REWARD_VALUE,FIRST_CLEAR_REWARD_QTY
1,1,3,100010001,100010001,100,2901,1
2,1,3,100010002,100010002,100,2503,1
3,1,3,100010003,100010003,100,2604,1
4,1,3,100010004,100010004,100,2504,1
5,1,3,100010005,100010005,100,2605,1
6,1,3,100010006,100010006,100,2505,1
7,1,3,100010007,100010007,100,2606,1
8,1,3,100010008,100010008,100,1070001,50
9,1,3,100010009,100010009,100,1070002,1
10,1,3,100010010,100010010,100,1070003,1
11,1,3,100010011,100010011,100,1020005,25
12,1,3,100010012,100010012,100,1070004,1
13,1,3,100010013,100010013,100,1070005,1
14,1,3,100010014,100010014,100,1020005,100
15,1,1,100010015,100010015,100,1070006,1
16,1,3,100010016,100010016,100,20612001,1
17,1,3,100010017,100010017,100,20512001,1
18,1,3,100010018,100010018,100,20412001,1
19,1,3,100010019,100010019,100,20312001,1
20,1,3,100010020,100010020,100,20212001,1
21,1,3,100010021,100010021,100,20112001,1
22,1,3,100010022,100010022,100,20012001,1
23,1,3,100010023,100010023,100,20712001,1
24,1,3,100010024,100010024,300,1091,1
25,1,1,100010025,100010025,300,1069,1
26,1,3,100010026,100010026,100,3101,1
27,1,1,100010027,100010027,100,3102,1
28,1,3,100010028,100010028,100,3103,1
29,1,1,100010029,100010029,100,3104,1
30,1,3,100010030,100010030,100,3105,1
31,1,3,100010031,100010031,100,1140001,150
32,1,1,100010032,100010032,100,3901,1
33,1,3,100010033,100010033,307,2277,1
34,1,1,100010034,100010034,100,3703,1
35,1,1,100010035,100010035,100,2951,1
