STAGE_GROUP,STEP,PROB,STAGE_ID,BOSS_MOB_ID,MOB_ID_1,MOB_ID_2,MOB_ID_3,MOB_ID_4,MOB_ID_5
100010001,1,0,230101,622230101,510230101,511230101,597230101,0,0
100010001,2,0,230102,625230102,548230102,604230102,538230102,0,0
100010001,3,0,230103,623230103,520230103,524230103,592230103,0,0
100010002,1,0,260230,610260230,587260230,593260230,602260230,0,0
100010002,2,0,260231,624260231,531260231,579260231,594260231,0,0
100010002,3,0,260232,510260232,518260232,601260232,698260232,0,0
100010003,1,0,230304,620230304,522230304,528230304,0,0,0
100010003,2,0,230305,633230305,521230305,584230305,590230305,0,0
100010003,3,0,230306,636230306,634230306,635230306,0,0,0
100010004,1,0,240415,674240415,641240415,654240415,0,0,0
100010004,2,0,240416,609240416,597240416,553240416,0,0,0
100010004,3,0,240417,630240417,530240417,604240417,628240417,629240417,0
100010005,1,0,260533,585260533,584260533,586260533,587260533,588260533,0
100010005,2,0,260535,621260535,501260535,553260535,572260535,0,0
100010005,3,0,260536,596260536,586260536,589260536,605260536,0,0
100010006,1,0,230601,622230601,510230601,511230601,597230601,0,0
100010006,2,0,230602,625230602,548230602,604230602,538230602,0,0
100010006,3,0,230603,623230603,520230603,524230603,592230603,0,0
100010007,1,0,260729,619260729,504260729,534260729,580260729,0,0
100010007,2,0,260733,585260733,584260733,586260733,587260733,588260733,0
100010007,3,0,260734,616260734,504260734,534260734,611260734,612260734,0
100010008,1,0,230804,620230804,522230804,528230804,0,0,0
100010008,2,0,230805,633230805,521230805,584230805,590230805,0,0
100010008,3,0,230806,636230806,634230806,635230806,0,0,0
100010009,1,0,240913,582240913,507240913,551240913,0,0,0
100010009,2,0,240914,549240914,618240914,620240914,0,0,0
100010009,3,0,240918,668240918,582240918,583240918,580240918,0,0
100010010,1,0,261032,1028261032,1059261032,667261032,610261032,0,0
100010010,2,0,261036,596261036,586261036,589261036,605261036,0,0
100010010,3,0,261037,627261037,606261037,607261037,608261037,614261037,0
100010011,1,0,231107,528231107,595231107,600231107,0,0,0
100010011,2,0,231108,522231108,591231108,615231108,619231108,0,0
100010011,3,0,231109,506231109,692231109,875231109,1085231109,0,0
100010012,1,0,251219,617251219,0,0,0,0,0
100010012,2,0,251220,626251220,0,0,0,0,0
100010012,3,0,251221,712251221,0,0,0,0,0
100010013,1,0,231310,602231310,616231310,585231310,0,0,0
100010013,2,0,231311,596231311,507231311,557231311,0,0,0
100010013,3,0,231312,605231312,601231312,0,0,0,0
100010014,1,0,261429,619261429,504261429,534261429,580261429,0,0
100010014,2,0,261431,624261431,531261431,579261431,594261431,0,0
100010014,3,0,261433,585261433,584261433,586261433,587261433,588261433,0
100010015,1,0,351538,710351538,622351538,625351538,711351538,638351538,667351538
100010016,1,0,231607,528231607,595231607,600231607,0,0,0
100010016,2,0,231609,509231609,583231609,626231609,631231609,0,0
100010016,3,0,231611,596231611,507231611,557231611,0,0,0
100010017,1,0,251722,604251722,0,0,0,0,0
100010017,2,0,251723,613251723,508251723,0,0,0,0
100010017,3,0,251724,699251724,611251724,0,0,0,0
100010018,1,0,261833,585261833,584261833,586261833,587261833,588261833,0
100010018,2,0,261834,616261834,504261834,534261834,611261834,612261834,0
100010018,3,0,261835,621261835,501261835,553261835,572261835,0,0
100010019,1,0,241916,609241916,597241916,553241916,0,0,0
100010019,2,0,241917,630241917,530241917,604241917,628241917,629241917,0
100010019,3,0,241918,668241918,582241918,583241918,580241918,0,0
100010020,1,0,352038,710352038,622352038,625352038,711352038,638352038,667352038
100010020,2,0,352039,653352039,651352039,652352039,656352039,528352039,502352039
100010020,3,0,352040,686352040,683352040,684352040,700352040,687352040,685352040
100010021,1,0,232108,522232108,591232108,615232108,619232108,0,0
100010021,2,0,232110,602232110,616232110,585232110,0,0,0
100010021,3,0,232112,605232112,601232112,0,0,0,0
100010022,1,0,252225,698252225,0,0,0,0,0
100010022,2,0,252226,524252226,0,0,0,0,0
100010022,3,0,252227,507252227,0,0,0,0,0
