GOODS_ID,ICON_1,ICON_2,ICON_3
94098,hero_hulk01,hero_blackwidow01,0
94099,hero_captainAmerica01,hero_sharoncarter01,0
94100,hero_hawkeye01,hero_mockingbird01,0
94101,hero_captainAmerica01,hero_ironman01,hero_blackwidow01
90109,hero_shehulk01,hero_hulk01,sv_redhulk01
90110,hero_shehulk01,hero_hulk01,sv_redhulk01
90111,hero_falcon01,hero_wintersoldier01,hero_warmachine01
90112,hero_falcon01,hero_wintersoldier01,hero_warmachine01
90113,hero_spiderman01,hero_captainmarvel01,sv_venom01
90114,hero_spiderman01,hero_captainmarvel01,sv_venom01
90115,sv_kingpin01,hero_ironman01,hero_warmachine01
90116,hero_antman01,hero_giantman01,sv_yellowjacket01
90117,hero_nicominoru01,sv_malekith01,sv_loki01
90118,sv_yellowjacket01,sv_greengoblin01,0
90119,hero_groot01,hero_thor01,0
90120,hero_nicominoru01,hero_angela01,0
90121,hero_ironman01,hero_antman01,0
90122,hero_captainAmerica01,hero_sharoncarter01,0
90126,hero_blackwidow01,hero_wasp01,0
90127,hero_ironman01,hero_warmachine01,0
90128,hero_nicominoru01,hero_singularity01,0
90129,hero_thor01,hero_vision01,0
90130,hero_sif01,hero_angela01,0
90131,hero_lincoln01,hero_thor01,0
90132,hero_singularity01,hero_vision01,0
90133,hero_philcoulson01,hero_captainAmerica01,0
90041,hero_spiderman01,hero_captainmarvel01,sv_venom01
90042,hero_antman01,hero_giantman01,sv_yellowjacket01
90043,hero_antman01,hero_wasp01,hero_spiderman01
90044,hero_vision01,hero_falcon01,hero_warmachine01
90045,hero_giantman01,sv_yellowjacket01,0
90046,sv_yellowjacket01,hero_ironman01,0
91030,hero_daisyjohnson01,hero_lincoln01,hero_blackbolt01
91031,hero_sif01,hero_thor01,sv_loki01
91032,hero_philcoulson01,hero_thor01,0
91033,hero_daisyjohnson01,hero_deathlok01,0
91034,hero_philcoulson01,hero_daisyjohnson01,hero_mockingbird01
91035,hero_daisyjohnson01,hero_captainAmerica01,hero_daredevil01
91036,hero_spiderman01,sv_venom01,0
91037,hero_daisyjohnson01,hero_blackwidow01,0
91038,hero_daisyjohnson01,hero_blackwidow01,hero_spiderman01
91039,hero_ironman01,hero_hulkbuster01,hero_warmachine01
91040,hero_shehulk01,hero_hulk01,0
91041,hero_lincoln01,hero_deathlok01,0
90072,sv_kingpin01,sv_redskull01,sv_doctoroctopus01
90073,hero_jessicajones01,hero_lukecage01,hero_daredevil01
90141,hero_captainmarvel01,hero_jessicajones01,hero_mockingbird01
90144,hero_jessicajones01,hero_spiderman01,sv_greengoblin01
90078,sv_kingpin01,sv_doctoroctopus01,sv_ultron_boss01
90083,hero_ghostrider01,hero_blade01,hero_punisher01
90088,hero_spiderman01,hero_captainmarvel01,sv_venom01
90092,hero_hawkeye01,hero_mockingbird01,hero_falcon01
90096,hero_jessicajones01,hero_groot01,hero_shehulk01
90150,hero_thor01,hero_blackpanther01,hero_blackbolt01
90151,hero_shehulk01,hero_hulk01,sv_redhulk01
90160,hero_milesmorales01,hero_spiderman01,sv_greengoblin01
90164,hero_daredevil01,hero_ironfist01,hero_elektra01
94001,hero_captainAmerica01,sv_redskull01,sv_modok01
94002,hero_ghostrider01,sv_redskull01,hero_punisher01
94003,hero_ghostrider01,sv_redskull01,sv_modok01
94004,hero_thor01,sv_loki01,0
94005,hero_thor01,sv_loki01,sv_malekith01
94006,hero_blackcat01,hero_elektra01,hero_blackwidow01
94007,hero_spiderman01,hero_daredevil01,0
94008,hero_blackcat01,sv_redskull01,sv_greengoblin01
94009,hero_captainAmerica01,hero_falcon01,hero_wintersoldier01
94010,hero_hawkeye01,hero_blackwidow01,hero_mockingbird01
94011,hero_thor01,sv_loki01,hero_angela01
94012,hero_lukecage01,hero_ironfist01,0
94013,hero_daredevil01,hero_blackwidow01,hero_elektra01
94014,hero_ironman01,hero_hulk01,sv_doctoroctopus01
94015,hero_spiderman01,hero_captainmarvel01,sv_venom01
94016,sv_doctoroctopus01,sv_greengoblin01,sv_venom01
94017,sv_loki01,sv_malekith01,sv_destroyer01
94018,hero_ghostrider01,hero_blade01,hero_punisher01
94019,hero_hawkeye01,sv_bullseye01,hero_punisher01
94020,hero_falcon01,hero_wintersoldier01,hero_warmachine01
94021,hero_blade01,hero_angela01,0
94022,hero_blackwidow01,hero_blackpanther01,hero_blackbolt01
94023,hero_thor01,hero_blackpanther01,hero_blackbolt01
94024,hero_spiderman01,hero_daredevil01,hero_punisher01
94025,sv_kingpin01,hero_elektra01,sv_bullseye01
94026,sv_kingpin01,sv_redskull01,sv_doctoroctopus01
94027,hero_captainAmerica01,hero_sharoncarter01,0
94028,hero_blackwidow01,hero_sharoncarter01,hero_blackcat01
94029,hero_ironfist01,hero_lukecage01,hero_daredevil01
94030,hero_captainAmerica01,hero_captainmarvel01,0
94031,hero_blackwidow01,hero_mockingbird01,hero_sharoncarter01
94032,hero_ironman01,hero_warmachine01,0
94033,sv_ultron_boss01,sv_destroyer01,hero_vision01
94034,hero_ironman01,sv_ultron_boss01,sv_doctoroctopus01
94035,hero_ironman01,hero_hulk01,hero_thor01
94036,hero_captainAmerica01,hero_spiderman01,hero_ironman01
94037,hero_spiderman01,sv_venom01,0
94038,hero_spiderman01,hero_blackbolt01,0
94039,hero_blackcat01,hero_wintersoldier01,hero_elektra01
94040,hero_captainAmerica01,hero_hawkeye01,hero_blackpanther01
94041,sv_ultron_boss01,sv_bullseye01,0
94042,hero_hawkeye01,hero_mockingbird01,hero_falcon01
94043,hero_captainmarvel01,hero_blackbolt01,sv_venom01
94044,hero_daredevil01,hero_ironfist01,hero_elektra01
94045,hero_hulk01,hero_lukecage01,sv_kingpin01
94046,hero_ironman01,hero_hulkbuster01,hero_warmachine01
94047,hero_hulk01,hero_hulkbuster01,hero_thor01
94048,hero_punisher01,hero_daredevil01,0
94049,hero_starlord01,hero_gamora01,hero_drax01
94050,hero_rocketraccoon01,hero_groot01,0
94051,hero_drax01,hero_gamora01,hero_angela01
94052,hero_drax01,sv_destroyer01,0
94053,hero_drax01,hero_ironfist01,sv_kingpin01
94054,hero_starlord01,hero_rocketraccoon01,hero_punisher01
94055,hero_spiderman01,hero_starlord01,hero_rocketraccoon01
94056,hero_groot01,hero_mockingbird01,sv_doctoroctopus01
94057,hero_groot01,hero_mockingbird01,hero_falcon01
94058,sv_yondu01,hero_hawkeye01,0
94059,hero_starlord01,sv_yondu01,0
94060,sv_yondu01,sv_nebula01,sv_ronan01
94061,hero_gamora01,sv_nebula01,0
94062,hero_gamora01,hero_angela01,0
94063,hero_gamora01,hero_hulk01,0
94064,sv_ronan01,sv_nebula01,0
94065,hero_captainAmerica01,hero_starlord01,0
94066,hero_lukecage01,hero_drax01,0
94067,hero_rocketraccoon01,sv_modok01,0
94068,hero_groot01,sv_destroyer01,sv_ronan01
94069,sv_redskull01,sv_loki01,0
94070,sv_malekith01,sv_ronan01,0
94071,hero_ironman01,hero_hulk01,sv_ultron_boss01
94072,hero_thor01,hero_vision01,hero_ironman01
94073,hero_hulkbuster01,hero_hulk01,0
94074,hero_blackwidow01,hero_hulk01,0
94075,hero_thor01,hero_vision01,0
94076,hero_thor01,hero_captainAmerica01,0
94077,hero_vision01,hero_falcon01,hero_warmachine01
94078,hero_hawkeye01,sv_bullseye01,0
94079,hero_daredevil01,hero_blackpanther01,0
94080,hero_blackbolt01,hero_blackpanther01,0
94081,hero_lukecage01,sv_greengoblin01,0
94082,hero_blade01,sv_greengoblin01,0
94083,sv_kingpin01,sv_doctoroctopus01,sv_ultron_boss01
94084,hero_captainAmerica01,hero_wintersoldier01,0
