STAGE_ID,PROB,TICKET_PROB,REWARD_PROB_1,REWARD_TYPE_1,REWARD_VALUE_1,REWARD_QTY_1,RANDOM_PICK_PROB,REWARD_RANDOM_PICK,HIDDEN_STATUS
131201,0,0,0,0,0,0,0,0,0
131202,0,0,0,0,0,0,0,0,0
131203,0,0,0,0,0,0,0,0,0
131204,0,0,0,0,0,0,0,0,0
131205,0,0,0,0,0,0,0,0,0
131206,0,0,0,0,0,0,0,0,0
131301,0,0,0,0,0,0,0,0,0
131302,0,0,0,0,0,0,0,0,0
131303,0,0,0,0,0,0,0,0,0
131304,0,0,0,0,0,0,0,0,0
131305,0,0,0,0,0,0,0,0,0
131306,0,0,0,0,0,0,0,0,0
131401,0,0,0,0,0,0,0,0,0
131402,0,0,0,0,0,0,0,0,0
131403,0,0,0,0,0,0,0,0,0
131404,0,0,0,0,0,0,0,0,0
131405,0,0,0,0,0,0,0,0,0
131406,0,0,0,0,0,0,0,0,0
131501,0,0,0,0,0,0,0,0,0
131502,0,0,0,0,0,0,0,0,0
131503,0,0,0,0,0,0,0,0,0
131504,0,0,0,0,0,0,0,0,0
131505,0,0,0,0,0,0,0,0,0
131506,0,0,0,0,0,0,0,0,0
131601,0,0,0,0,0,0,0,0,0
131602,0,0,0,0,0,0,0,0,0
131603,0,0,0,0,0,0,0,0,0
131604,0,0,0,0,0,0,0,0,0
131605,0,0,0,0,0,0,0,0,0
131606,0,0,0,0,0,0,0,0,0
131701,0,0,0,100,1000112,1,0,99001,1
131702,0,0,0,100,1000112,1,0,99001,1
131703,0,0,0,100,1000112,1,0,99001,1
131704,0,0,0,100,1000112,1,0,99001,1
131801,0,0,0,100,1000111,1,0,99001,1
131802,0,0,0,100,1000111,1,0,99001,1
131803,0,0,0,100,1000111,1,0,99001,1
131804,0,0,0,100,1000111,1,0,99001,1
131901,0,0,0,100,1000114,1,0,99001,1
131902,0,0,0,100,1000114,1,0,99001,1
131903,0,0,0,100,1000114,1,0,99001,1
131904,0,0,0,100,1000114,1,0,99001,1
132001,0,0,0,100,1000110,1,0,99001,1
132002,0,0,0,100,1000110,1,0,99001,1
132003,0,0,0,100,1000110,1,0,99001,1
132004,0,0,0,100,1000110,1,0,99001,1
132101,0,0,0,100,1000115,1,0,99001,1
132102,0,0,0,100,1000115,1,0,99001,1
132103,0,0,0,100,1000115,1,0,99001,1
132104,0,0,0,100,1000115,1,0,99001,1
132201,0,0,0,100,1000130,1,0,99001,1
132202,0,0,0,100,1000130,1,0,99001,1
132203,0,0,0,100,1000130,1,0,99001,1
132204,0,0,0,100,1000130,1,0,99001,1
132301,0,0,0,100,1000131,1,0,99001,1
132302,0,0,0,100,1000131,1,0,99001,1
132303,0,0,0,100,1000131,1,0,99001,1
132304,0,0,0,100,1000131,1,0,99001,1
132401,0,0,0,100,1000132,1,0,99001,1
132402,0,0,0,100,1000132,1,0,99001,1
132403,0,0,0,100,1000132,1,0,99001,1
132404,0,0,0,100,1000132,1,0,99001,1
132501,0,0,0,100,1000133,1,0,99001,1
132502,0,0,0,100,1000133,1,0,99001,1
132503,0,0,0,100,1000133,1,0,99001,1
132504,0,0,0,100,1000133,1,0,99001,1
132601,0,0,0,100,1000134,1,0,99001,1
132602,0,0,0,100,1000134,1,0,99001,1
132603,0,0,0,100,1000134,1,0,99001,1
132604,0,0,0,100,1000134,1,0,99001,1
