STAGE_ID,TARGET_TYPE,TARGET_HIT_TYPE,AUTO_ABILITY_ID,AUTO_ABILITY_PARAM,AUTO_ABILITY_RATE,ABILITY_GROUP_ID,RAID_ABILITY_GROUP_ID,TYPE
60105,0,0,0,0,0,40000,0,1
60205,0,0,0,0,0,40001,0,1
60305,0,0,0,0,0,40002,0,1
60405,0,0,0,0,0,40003,0,1
60505,0,0,0,0,0,40004,0,1
60605,0,0,0,0,0,40005,0,1
60705,0,0,0,0,0,40006,0,1
60805,0,0,0,0,0,40007,0,1
60905,0,0,0,0,0,40008,0,1
60109,0,1,4,0,10000,40009,0,1
60209,0,1,4,0,10000,40010,0,1
60309,0,1,4,0,10000,40011,0,1
60409,0,1,4,0,10000,40012,0,1
60509,0,1,4,0,10000,40013,0,1
60609,0,1,4,0,10000,40014,0,1
60709,0,1,4,0,10000,40015,0,1
60809,0,1,4,0,10000,40016,0,1
60909,0,1,4,0,10000,40017,0,1
60103,0,1,4,0,10000,40018,0,1
60203,0,1,4,0,10000,40019,0,1
60303,0,1,4,0,10000,40020,0,1
60403,0,1,4,0,10000,40021,0,1
60503,0,1,4,0,10000,40022,0,1
60603,0,1,4,0,10000,40023,0,1
60703,0,1,4,0,10000,40024,0,1
60803,0,1,4,0,10000,40025,0,1
60903,0,1,4,0,10000,40026,0,1
70101,0,1,4,0,3000,40027,0,1
70102,0,1,4,0,5000,40028,0,1
70103,0,1,4,0,5000,40029,0,1
70104,0,1,4,0,5000,40030,0,1
70105,0,1,4,0,7500,40031,0,1
70201,0,0,4,0,1500,40032,0,1
70202,0,0,4,0,1500,40033,0,1
70203,0,0,4,0,2000,40034,0,1
70204,0,0,4,0,2000,40035,0,1
70205,0,0,4,0,2000,40036,0,1
70301,1,0,0,0,0,40037,0,1
70302,1,0,0,0,0,40038,0,1
70303,1,0,0,0,0,40039,0,1
70304,1,0,0,0,0,40040,0,1
70305,1,0,0,0,0,40041,0,1
70401,0,0,4,0,5000,40042,0,1
70402,0,0,4,0,5000,40043,0,1
70403,0,0,4,0,5000,40044,0,1
70404,0,0,4,0,5000,40045,0,1
70405,0,0,4,0,5000,40046,0,1
70501,0,1,4,0,500,40047,0,1
70502,0,1,4,0,500,40048,0,1
70503,0,1,4,0,500,40049,0,1
70504,0,1,4,0,500,40050,0,1
70505,0,1,4,0,500,40051,0,1
70601,0,0,0,0,10000,40052,0,1
70602,0,0,0,0,10000,40053,0,1
70603,0,0,0,0,10000,40054,0,1
70604,0,0,0,0,10000,40055,0,1
70605,0,0,0,0,10000,40056,0,1
70701,0,0,11,0,5000,40057,0,1
70702,0,0,11,0,5000,40058,0,1
70703,0,0,11,0,5000,40059,0,1
70704,0,0,11,0,5000,40060,0,1
70705,0,0,11,0,5000,40061,0,1
70801,0,1,4,0,2000,40062,0,1
70802,0,1,4,0,3000,40063,0,1
70803,0,1,4,0,4000,40064,0,1
70804,0,1,4,0,5000,40065,0,1
70805,0,1,4,0,5000,40066,0,1
70901,1,0,0,0,0,40067,0,1
70902,1,0,0,0,0,40068,0,1
70903,1,0,0,0,0,40069,0,1
70904,1,0,0,0,0,40070,0,1
70905,1,0,0,0,0,40071,0,1
71001,0,0,0,0,0,40072,0,1
71002,0,0,0,0,0,40073,0,1
71003,0,0,0,0,0,40074,0,1
71004,0,0,0,0,0,40075,0,1
71005,0,0,0,0,0,40076,0,1
71101,0,0,0,0,0,40077,0,1
71102,0,0,0,0,0,40078,0,1
71103,0,0,0,0,0,40079,0,1
71104,0,0,0,0,0,40080,0,1
71105,0,0,0,0,0,40081,0,1
71201,0,1,4,0,500,40082,0,1
71202,0,1,4,0,500,40083,0,1
71203,0,1,4,0,500,40084,0,1
71204,0,1,4,0,500,40085,0,1
71205,0,1,4,0,500,40086,0,1
101,2,0,0,0,0,40087,0,1
102,2,0,0,0,0,40088,0,1
201,2,0,0,0,0,40089,0,1
150101,0,0,0,0,0,40090,0,1
150201,0,0,0,0,0,40091,0,1
190101,0,0,0,0,0,40092,0,1
190101,1,0,0,0,0,40093,0,1
190102,0,0,0,0,0,40094,0,1
190102,0,0,0,0,0,40095,0,1
190103,0,0,0,0,0,40096,0,1
190103,0,0,0,0,0,40097,0,1
190103,0,0,0,0,0,40098,0,1
190104,0,0,0,0,0,40099,0,1
190104,0,0,0,0,0,40100,0,1
190105,1,0,0,0,0,40101,0,1
