STAGE_TYPE,CAMERA_ANI_USE_TYPE,CAMERA_ANIMATION_ACTIVE_CHARACTER_TYPE,IS_TEAM_MATCH,IS_SUMMONABLE_FRIEND,IS_MOB_STRIKER,IS_CONTROLLABLE_CHARACTER,EnableRunawayWhenTargetOff,FadeInDelay,AutoPlay,SupportAR,IS_SKILL_CONTROL_IMMUNE
1,3,1,0,1,0,1,0,0,6,0,0
3,3,1,0,1,0,1,0,0,6,0,0
5,0,1,0,0,0,1,0,0,3,0,0
6,1,1,0,0,0,1,0,0,0,0,0
7,3,1,0,1,0,1,0,0,6,0,0
8,3,1,0,1,0,1,0,0,3,0,0
9,0,1,0,0,0,1,0,0,3,0,0
13,3,1,0,1,0,1,0,0,6,0,0
14,0,1,1,0,0,1,0,0,3,0,0
15,3,1,0,0,0,1,0,0,3,0,1
16,3,1,0,1,0,1,0,0,6,0,0
18,0,1,0,0,0,1,0,0,0,0,0
19,3,3,0,0,1,1,0,0,0,0,1
20,0,1,1,0,0,1,0,0,0,0,0
22,2,1,0,0,0,0,1,0,3,1,0
23,2,1,0,0,0,1,1,0,3,0,0
24,2,1,0,0,0,1,1,0,3,0,0
25,2,1,0,0,0,1,1,0,3,0,0
26,2,1,1,0,0,1,1,0,3,0,0
27,2,1,1,0,0,1,1,0,3,0,0
28,3,1,0,1,0,1,0,0,6,0,0
29,2,2,0,0,0,1,0,0,0,0,1
30,2,2,0,0,0,1,0,0,0,0,1
31,2,2,0,0,0,1,0,0,0,0,1
32,0,1,0,0,0,0,1,0,3,1,0
33,3,3,0,0,1,1,0,0,0,0,1
34,3,1,0,1,0,1,0,0,6,0,0
35,2,1,1,0,0,1,0,0,3,0,0
36,3,1,0,0,0,1,0,0,0,0,1
37,0,1,0,0,0,1,0,0,3,0,1
38,3,1,0,0,0,1,0,0,0,0,1
39,3,1,0,1,0,1,0,0,6,0,0
40,3,1,0,0,0,0,0,0,0,0,1
41,2,3,0,0,0,1,0,0,0,0,1
42,3,1,0,1,0,1,0,0,6,0,0
43,2,1,0,0,0,1,0,0,3,0,1
44,0,3,0,0,0,1,0,0,0,0,1
45,3,1,0,1,0,1,0,0,6,0,0
46,3,1,0,0,0,0,0,0,0,0,1
47,3,1,0,0,0,1,0,0,6,0,1
48,3,1,0,1,0,1,0,0,6,0,0
49,3,1,0,0,0,0,0,0,6,0,1
50,3,1,0,0,0,0,0,0,6,0,1
52,3,1,0,1,0,1,0,0,6,0,0
54,2,1,0,1,0,1,0,0,6,0,0
55,0,1,0,0,0,0,0,0,3,0,0
56,3,1,0,1,0,1,0,0,0,0,0
57,2,1,0,0,0,1,1,0,3,0,0
58,2,1,0,0,0,1,1,0,3,0,0
59,3,1,0,1,0,1,0,0,6,0,0
60,2,1,0,0,0,1,1,0,3,0,0
61,2,1,0,0,0,1,1,0,6,0,0
62,0,1,0,0,0,1,0,0,3,0,0
63,0,3,0,0,0,0,0,0,3,0,0
64,3,1,0,1,0,1,0,0,6,0,0
69,3,2,0,0,0,1,0,0,6,0,0
70,3,1,0,1,0,1,0,0,6,0,0
71,3,1,0,1,0,1,0,0,3,0,0
72,0,3,0,0,0,0,0,0,3,0,0
73,0,1,0,0,0,0,1,0,3,1,0
74,3,1,0,0,0,1,0,0,3,0,1
75,3,1,0,1,0,1,0,0,6,0,0
76,2,1,0,0,0,1,1,0,0,0,0
90,3,1,0,0,0,1,0,0,0,0,0
