UID,NICK,LEAGUE_ID
1,#AGENT006891,1
2,#AGENT006227,1
3,#AGENT006044,1
4,#AGENT006385,1
5,#AGENT005230,1
6,#AGENT008662,1
7,#AGENT009128,1
8,#AGENT004416,1
9,#AGENT009789,1
10,#AGENT006729,1
11,#AGENT005628,1
12,#AGENT004309,1
13,#AGENT004753,1
14,#AGENT003096,2
15,#AGENT007806,2
16,#AGENT006259,2
17,#AGENT001980,2
18,#AGENT006186,2
19,#AGENT005241,2
20,#AGENT006351,2
21,#AGENT007399,2
22,#AGENT002389,2
23,#AGENT007400,2
24,#AGENT007564,2
25,#AGENT003724,2
26,#AGENT001968,2
27,#AGENT006221,3
28,#AGENT001152,3
29,#AGENT007821,3
30,#AGENT006347,3
31,#AGENT005312,3
32,#AGENT005335,3
33,#AGENT009351,3
34,#AGENT006113,3
35,#AGENT003977,3
36,#AGENT007235,3
37,#AGENT007037,3
38,#AGENT006973,3
39,#AGENT005469,3
40,#AGENT002798,3
41,#AGENT004336,4
42,#AGENT001847,4
43,#AGENT009869,4
44,#AGENT003146,4
45,#AGENT007742,4
46,#AGENT006453,4
47,#AGENT003888,4
48,#AGENT003558,4
49,#AGENT006449,4
50,#AGENT007397,4
51,#AGENT004562,4
52,#AGENT007217,4
53,#AGENT006166,4
54,#AGENT001343,4
55,#AGENT007567,4
56,#AGENT008188,4
57,#AGENT008245,5
58,#AGENT001897,5
59,#AGENT003940,5
60,#AGENT007276,5
61,#AGENT008157,5
62,#AGENT006402,5
63,#AGENT005581,5
64,#AGENT007908,5
65,#AGENT005601,5
66,#AGENT008658,5
67,#AGENT002538,5
68,#AGENT008023,6
69,#AGENT004702,6
70,#AGENT006741,6
71,#AGENT001073,6
72,#AGENT007084,6
73,#AGENT004891,6
74,#AGENT007468,6
75,#AGENT005746,6
76,#AGENT002684,6
77,#AGENT005657,6
78,#AGENT009811,6
79,#AGENT006233,6
80,#AGENT004793,6
81,#AGENT006971,6
82,#AGENT006972,6
83,#AGENT006973,6
84,#AGENT006974,6
85,#AGENT006975,6
86,#AGENT006976,6
87,#AGENT006977,6
88,#AGENT006978,6
89,#AGENT006979,6
90,#AGENT006980,6
