ABIL_GROUP_ID,ABIL_ID,LOCAL_FORMAT
0,17,1
0,18,0
0,94,1
0,214,1
0,271,0
0,272,0
0,215,1
0,258,1
0,221,0
0,222,0
0,259,1
0,232,0
0,233,0
1,17,1
1,18,0
2,94,1
3,202,1
4,206,1
5,207,1
6,214,1
6,271,0
6,272,0
7,215,1
8,258,1
8,221,0
8,222,0
9,259,1
9,232,0
9,233,0
10,17,1
10,214,1
10,271,0
10,272,0
10,215,1
10,258,1
10,221,0
10,222,0
10,259,1
10,232,0
10,233,0
10,206,1
10,207,1
11,212,0
11,17,1
11,18,0
11,94,1
11,214,1
11,271,0
11,272,0
11,215,1
11,258,1
11,221,0
11,222,0
11,259,1
11,232,0
11,233,0
