ITEM_ID,MATERIAL_1,MATERIAL_1_QTY,MATERIAL_2,MATERIAL_2_QTY,MATERIAL_3,MATERIAL_3_QTY,MATERIAL_4,MATERIAL_4_QTY,MATERIAL_5,MATERIAL_5_QTY,ENCHANT_PRICE,ENCHANT_RATE
30000102,30000101,1,30000000,1,10199001,3,10199002,2,1020001,2,10000,0
30000103,30000102,1,30000000,1,10199001,4,10199002,3,1020001,2,12000,0
30000104,30000103,1,30000000,2,10199001,6,10199002,4,1020001,3,15000,0
30000105,30000104,1,30000000,2,10199001,8,10199002,5,1020001,3,17000,0
30000106,30000105,1,30000000,3,10199001,10,10199002,8,1020001,5,20000,0
30000202,30000201,1,30000000,1,10199001,3,10199002,2,1020002,2,10000,0
30000203,30000202,1,30000000,1,10199001,4,10199002,3,1020002,2,12000,0
30000204,30000203,1,30000000,2,10199001,6,10199002,4,1020002,3,15000,0
30000205,30000204,1,30000000,2,10199001,8,10199002,5,1020002,3,17000,0
30000206,30000205,1,30000000,3,10199001,10,10199002,8,1020002,5,20000,0
30000302,30000301,1,30000000,1,10199001,3,10199002,2,1020001,2,10000,0
30000303,30000302,1,30000000,1,10199001,4,10199002,3,1020001,2,12000,0
30000304,30000303,1,30000000,2,10199001,6,10199002,4,1020001,3,15000,0
30000305,30000304,1,30000000,2,10199001,8,10199002,5,1020001,3,17000,0
30000306,30000305,1,30000000,3,10199001,10,10199002,8,1020001,5,20000,0
30000402,30000401,1,30000000,1,10199001,3,10199002,2,1020002,2,10000,0
30000403,30000402,1,30000000,1,10199001,4,10199002,3,1020002,2,12000,0
30000404,30000403,1,30000000,2,10199001,6,10199002,4,1020002,3,15000,0
30000405,30000404,1,30000000,2,10199001,8,10199002,5,1020002,3,17000,0
30000406,30000405,1,30000000,3,10199001,10,10199002,8,1020002,5,20000,0
30000502,30000501,1,30000000,1,10199001,3,10199002,2,1020004,2,10000,0
30000503,30000502,1,30000000,1,10199001,4,10199002,3,1020004,2,12000,0
30000504,30000503,1,30000000,2,10199001,6,10199002,4,1020004,3,15000,0
30000505,30000504,1,30000000,2,10199001,8,10199002,5,1020004,3,17000,0
30000506,30000505,1,30000000,3,10199001,10,10199002,8,1020004,5,20000,0
30000602,30000601,1,30000000,1,10199001,3,10199002,2,1020004,2,10000,0
30000603,30000602,1,30000000,1,10199001,4,10199002,3,1020004,2,12000,0
30000604,30000603,1,30000000,2,10199001,6,10199002,4,1020004,3,15000,0
30000605,30000604,1,30000000,2,10199001,8,10199002,5,1020004,3,17000,0
30000606,30000605,1,30000000,3,10199001,10,10199002,8,1020004,5,20000,0
30000702,30000701,1,30000000,1,10199001,3,10199002,2,1020003,2,10000,0
30000703,30000702,1,30000000,1,10199001,4,10199002,3,1020003,2,12000,0
30000704,30000703,1,30000000,2,10199001,6,10199002,4,1020003,3,15000,0
30000705,30000704,1,30000000,2,10199001,8,10199002,5,1020003,3,17000,0
30000706,30000705,1,30000000,3,10199001,10,10199002,8,1020003,5,20000,0
30000802,30000801,1,30000000,1,10199001,3,10199002,2,1020003,2,10000,0
30000803,30000802,1,30000000,1,10199001,4,10199002,3,1020003,2,12000,0
30000804,30000803,1,30000000,2,10199001,6,10199002,4,1020003,3,15000,0
30000805,30000804,1,30000000,2,10199001,8,10199002,5,1020003,3,17000,0
30000806,30000805,1,30000000,3,10199001,10,10199002,8,1020003,5,20000,0
30000902,30000901,1,30000000,1,10199001,3,10199002,2,1020003,2,10000,0
30000903,30000902,1,30000000,1,10199001,4,10199002,3,1020003,2,12000,0
30000904,30000903,1,30000000,2,10199001,6,10199002,4,1020003,3,15000,0
30000905,30000904,1,30000000,2,10199001,8,10199002,5,1020003,3,17000,0
30000906,30000905,1,30000000,3,10199001,10,10199002,8,1020003,5,20000,0
30001002,30001001,1,30000000,1,10199001,3,10199002,2,1020001,2,10000,0
30001003,30001002,1,30000000,1,10199001,4,10199002,3,1020001,2,12000,0
30001004,30001003,1,30000000,2,10199001,6,10199002,4,1020001,3,15000,0
30001005,30001004,1,30000000,2,10199001,8,10199002,5,1020001,3,17000,0
30001006,30001005,1,30000000,3,10199001,10,10199002,8,1020001,5,20000,0
30001102,30001101,1,30000000,1,10199001,3,10199002,2,1020001,2,10000,0
30001103,30001102,1,30000000,1,10199001,4,10199002,3,1020001,2,12000,0
30001104,30001103,1,30000000,2,10199001,6,10199002,4,1020001,3,15000,0
30001105,30001104,1,30000000,2,10199001,8,10199002,5,1020001,3,17000,0
30001106,30001105,1,30000000,3,10199001,10,10199002,8,1020001,5,20000,0
30001202,30001201,1,30000000,1,10199001,3,10199002,2,1020002,2,10000,0
30001203,30001202,1,30000000,1,10199001,4,10199002,3,1020002,2,12000,0
30001204,30001203,1,30000000,2,10199001,6,10199002,4,1020002,3,15000,0
30001205,30001204,1,30000000,2,10199001,8,10199002,5,1020002,3,17000,0
30001206,30001205,1,30000000,3,10199001,10,10199002,8,1020002,5,20000,0
