ID,REQ_CASH_AMT,VIP_EFFECT_1,VIP_EFFECT_2,VIP_EFFECT_3,VIP_EFFECT_4,VIP_EFFECT_5,VIP_EFFECT_6,VIP_EFFECT_7,VIP_EFFECT_8,VIP_EFFECT_9,VIP_EFFECT_10,VIP_EFFECT_11,VIP_EFFECT_12,VIP_EFFECT_13,VIP_EFFECT_14,VIP_EFFECT_15,VIP_EFFECT_16,VIP_EFFECT_17,VIP_EFFECT_18,VIP_EFFECT_19,VIP_EFFECT_20
1,200,9260101,9010102,9200103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,800,9260201,9020202,9010203,9140204,9200205,9250206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2300,9260301,9020302,9010303,9090304,9140305,9200306,9250307,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5300,9260401,9020402,9010403,9090404,9060405,9140406,9200407,9250408,0,0,0,0,0,0,0,0,0,0,0,0
5,9800,9260501,9020502,9010503,9090504,9060505,9050506,9140507,9200508,9250509,0,0,0,0,0,0,0,0,0,0,0
6,16600,9260601,9020602,9010603,9090604,9060605,9050606,9140607,9230608,9200609,9250610,0,0,0,0,0,0,0,0,0,0
7,26800,9260701,9020702,9010703,9090704,9060705,9050706,9140707,9230708,9200709,9250710,0,0,0,0,0,0,0,0,0,0
8,42000,9260801,9020802,9010803,9090804,9060805,9050806,9140807,9230808,9240809,9200810,9250811,0,0,0,0,0,0,0,0,0
9,64800,9260901,9020902,9010903,9090904,9060905,9050906,9140907,9230908,9220909,9240910,9020911,9200912,9250913,0,0,0,0,0,0,0
10,99000,9261001,9021002,9011003,9091004,9061005,9051006,9141007,9231008,9221009,9241010,9021011,9201012,9251013,0,0,0,0,0,0,0
11,143500,9261101,9021102,9011103,9091104,9061105,9051106,9141107,9231108,9221109,9241110,9021111,9121112,9201113,9251114,0,0,0,0,0,0
12,201300,9261201,9021202,9011203,9091204,9061205,9051206,9141207,9231208,9221209,9241210,9021211,9121212,9201213,9251214,0,0,0,0,0,0
13,276400,9261301,9021302,9011303,9091304,9061305,9051306,9141307,9231308,9221309,9241310,9021311,9121312,9251313,9201314,0,0,0,0,0,0
14,374000,9261401,9021402,9011403,9091404,9061405,9051406,9141407,9231408,9221409,9241410,9021411,9121412,9251413,9201414,0,0,0,0,0,0
15,500900,9261501,9021502,9011503,9091504,9061505,9051506,9141507,9231508,9221509,9241510,9021511,9121512,9251513,9271514,9201515,0,0,0,0,0
16,653200,9261601,9021602,9011603,9091604,9061605,9051606,9141607,9231608,9221609,9241610,9021611,9121612,9251613,9271614,9171615,9181616,9201617,9281620,0,0
17,836000,9261701,9021702,9011703,9091704,9061705,9051706,9141707,9231708,9221709,9241710,9021711,9121712,9251713,9271714,9171715,9181716,9191717,9201718,9211719,9281720
18,1037000,9261801,9021802,9011803,9091804,9061805,9051806,9141807,9231808,9221809,9241810,9021811,9121812,9251813,9271814,9171815,9181816,9191817,9201818,9211819,9281820
19,1258100,9261901,9021902,9011903,9091904,9061905,9051906,9141907,9231908,9221909,9241910,9021911,9121912,9251913,9271914,9171915,9181916,9191917,9201918,9211919,9281920
20,1501300,9262001,9022002,9012003,9092004,9062005,9052006,9142007,9232008,9222009,9242010,9022011,9122012,9252013,9272014,9172015,9182016,9192017,9202018,9212019,9282020
